鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物),基隆市中正區新豐街361~390號,15.28,住,,,1061011,土地2建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,81.61999999999999,2,2,1,有,有,3050000,37368,,0.0,0,,RPQNMLLJKIMFFBC17CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路117巷22弄1~30號,91.0,住,,,1061110,土地4建物1車位0,全,一層,透天厝,住家用,木造,,66.12,0,0,0,無,無,1650000,24955,,0.0,0,,RPRNMLOJKIMFFBC57CA
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,1061120,土地0建物0車位1,,,其他,,,,45.95,0,0,0,有,有,420000,,坡道平面,45.95,420000,,RPTNMLOJKIMFFBC77CA
仁愛區,土地,海濱段三小段31~60地號,60.0,商,,,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8754000,145900,,0.0,0,向政府機關承購之案件。,RPTNMLPJKIMFFBC87CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,144.31,住,,,1060925,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060127,191.66,4,2,3,有,有,9850000,51393,,0.0,0,,RPXNMLPJKIMFFBC28CA
中正區,房地(土地+建物),基隆市中正區新豐街161巷61~90號,41.38,住,,,1061105,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740718,112.99,3,2,2,有,無,4000000,35401,,0.0,0,,RPSOMLPJKIMFFBC87CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,176.13,住,,,1060929,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060127,230.84,4,2,4,有,有,11000000,47652,,0.0,0,,RPTOMLPJKIMFFBC97CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,176.13,住,,,1060928,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060127,230.84,4,2,4,有,有,10800000,46786,,0.0,0,,RPUOMLPJKIMFFBC08CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,159.75,住,,,1061106,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060127,210.88,4,2,3,有,有,10700000,50740,,0.0,0,,RPVOMLPJKIMFFBC18CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,162.92,住,,,1061016,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060127,222.25,3,2,4,有,有,10980000,49404,,0.0,0,,RPXOMLPJKIMFFBC38CA
