鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鼓山區,房地(土地+建物),高雄市鼓山區美術南三路241~270號,13.33,住,,,1061005,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921022,125.25999999999999,3,2,2,有,有,6700000,53489,,0.0,0,,RPQNMLLJKIMFFAE27CA
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1991巷1~30號,20.31,住,,,1061029,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710814,77.46,3,2,1,有,無,2980000,38471,,0.0,0,含增建或未登記建物-陽台外移。,RPVPMLPJKIMFFAE38CA
鼓山區,建物,高雄市鼓山區文忠路61~90號,0.0,,,,1061121,土地0建物1車位3,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,310.99,3,2,2,有,有,7080000,22766,坡道平面,64.47,0,,RPOQMLPJKIMFFAE77CA
鼓山區,建物,高雄市鼓山區文忠路61~90號,0.0,,,,1061121,土地0建物1車位3,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050114,162.18,2,2,1,有,有,3690000,22752,坡道平面,64.47,0,,RPQQMLPJKIMFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路31~60號,13.64,商,,,1061104,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931126,125.69999999999999,3,2,2,有,有,6850000,54495,坡道機械,0.0,0,,RPPOMLRJKIMFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區葆禎路61~90號,11.91,住,,,1061122,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010921,105.71000000000001,2,2,1,有,有,6180000,58462,升降機械,0.0,0,,RPRNMLSJKIMFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山一路161巷50弄31~60號,41.29,住,,,1061103,土地3建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720321,95.42,3,2,2,有,無,3400000,35632,,0.0,0,,RPPNMLMKKIMFFAE37CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓山一路133巷1~30號,25.22,住,,,1061106,土地2建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000120,230.72,3,2,2,有,有,13000000,56345,坡道平面,0.0,0,,RPWNMLMKKIMFFAE08CA
鹽埕區,建物,高雄市鹽埕區五福四路63巷31~60號,0.0,,,,1061122,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0570829,70.03,2,2,3,有,無,1000000,14280,,0.0,0,,RPQOMLNKKIMFFAE67CA
鼓山區,房地(土地+建物),高雄市鼓山區大順一路931~960號,11.33,住,,,1061028,土地1建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,133.2,3,2,2,有,有,4500000,33784,,0.0,0,,RPVNMLPKKIMFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區登山街1~30號,51.0,住,,,1061105,土地2建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0630523,127.01,12,2,5,有,無,7500000,59050,,0.0,0,,RPQOMLLLKIMFFAE57CA
前金區,房地(土地+建物),高雄市前金區市中一路91~120號,5.46,住,,,1061108,土地1建物1車位0,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,68.55,2,1,1,有,有,4000000,58352,,0.0,0,,RPVOMLLLKIMFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區建國里鼓山三路91~120號,10.98,其他,,,1061120,土地2建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060608,162.44,3,2,2,有,有,10380000,63645,坡道平面,22.13,1450000,,RPTNMLNLKIMFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區建國里鼓山三路91~120號,14.13,其他,,,1061122,土地2建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060608,220.32,4,2,2,有,有,14200000,63172,坡道平面,22.13,1680000,,RPUOMLQLKIMFFAE48CA
鼓山區,房地(土地+建物),高雄市鼓山區建國里鼓山三路91~120號,9.36,其他,,,1061121,土地2建物1車位0,十六層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060608,140.31,3,2,2,有,有,9200000,65569,,0.0,0,,RPVOMLQLKIMFFAE58CA
苓雅區,房地(土地+建物),高雄市苓雅區福德一路31~60號,25.6,住,,,1061113,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730612,98.12,3,2,1,有,無,3710000,37811,,0.0,0,,RPRPMLOJKIMFFBE97CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路151~180號,19.15,商,,,1061108,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031107,316.63,5,2,3,有,有,32800000,106084,坡道平面,24.41,1800000,含增建或未登記建物-陽台外移。,RPWOMLPJKIMFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區自強三路1~30號,1.94,商,,,1061108,土地2建物1車位0,二十九層,八十五層,套房(1房1廳1衛),商業用,鋼骨鋼筋混凝土造,0880401,50.12,1,1,1,有,無,3500000,69832,,0.0,0,,RPQQMLPJKIMFFBE08CA
新興區,房地(土地+建物),高雄市新興區忠孝一路200巷1~30號,21.6,商,,,1061108,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721121,58.17,3,2,2,有,無,2700000,46416,,0.0,0,,RPWNMLRJKIMFFBE58CA
新興區,房地(土地+建物),高雄市新興區八德一路181~210號,4.03,商,,,1061123,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0700509,33.93,1,1,1,有,有,900000,26525,,0.0,0,,RPSOMLRJKIMFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區仁義街1~30號,10.72,商,,,1061114,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930303,96.54,2,2,1,有,有,5400000,55935,,0.0,0,,RPWNMLSJKIMFFBE68CA
新興區,房地(土地+建物),高雄市新興區復興二路211~240號,106.0,商,,,1061120,土地1建物1車位0,全,三層,透天厝,,加強磚造,0620427,198.64,5,2,3,有,無,32800000,165123,,0.0,0,,RPRNMLTKKIMFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區光華一路31~60號,5.29,商,,,1061107,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051212,75.85,2,2,1,有,有,5350000,70534,,0.0,0,,RPQOMLKLKIMFFBE57CA
苓雅區,車位,高雄市苓雅區和平一路211~240號,3.93,住,,,1061117,土地0建物0車位1,地下層,十一層,其他,,鋼筋混凝土造,0680920,50.52,0,0,0,有,有,1300000,,坡道平面,0.0,1300000,,RPTNMLMLKIMFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區光華一路31~60號,5.05,商,,,1061108,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051212,72.25,2,2,1,有,有,5350000,74048,,0.0,0,,RPPNMLRLKIMFFBE08CA
前鎮區,土地,仁愛段211~240地號,59.0,住,,,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4360000,73898,,0.0,0,含未保存建物,RPQPMLOJKIMFFCE97CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路194巷4弄1~30號,68.72,住,,,1061101,土地2建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0690808,167.62,4,2,3,有,無,7000000,41761,,0.0,0,,RPQNMLPJKIMFFCE87CA
小港區,房地(土地+建物)+車位,高雄市小港區敬業路1~30號,28.17,住,,,1061011,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041201,171.57999999999998,3,2,2,有,有,7880000,45926,坡道平面,19.72,0,含裝潢,RPSOMLPJKIMFFCE18CA
小港區,房地(土地+建物),高雄市小港區桂陽路209巷7弄31~60號,18.26,住,,,1061030,土地0建物1車位0,一層，二層，夾層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0810731,111.4,3,1,2,有,有,4800000,43088,,0.0,0,,RPUOMLPJKIMFFCE38CA
小港區,房地(土地+建物)+車位,高雄市小港區中安路871~900號,27.18,住,,,1061012,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031201,165.9,3,2,2,有,有,7250000,43701,坡道平面,16.51,0,1.含裝潢2.面中安路,RPQPMLPJKIMFFCE08CA
小港區,土地,孔宅段91~120地號,212.5,住,,,1061103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,32941,,0.0,0,,RPRRMLPJKIMFFCE38CA
前鎮區,房地(土地+建物),高雄市前鎮區天山路10巷1~30號,44.78,住,,,1061105,土地1建物1車位0,一層，二層,十六層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850117,274.43,3,2,3,有,無,11000000,40083,,0.0,0,,RPTRMLPJKIMFFCE58CA
小港區,土地,店鎮段一小段1471~1500地號,52.49,商,,,1061117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,75252,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLSJKIMFFCE28CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路194巷6弄1~30號,26.85,商,,,1061114,土地2建物1車位0,三層，電梯樓梯間,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690808,70.05,3,2,1,有,無,2000000,28551,,0.0,0,,RPPOMLRJKIMFFCE08CA
前鎮區,土地,仁愛段31~60地號,66.0,住,,,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2154240,32640,,0.0,0,向政府機關承購之案件。,RPTNMLLKKIMFFCE87CA
小港區,房地(土地+建物),高雄市小港區華明街1~30號,11.93,住,,,1061124,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0880120,110.53,2,2,2,有,有,4450000,40261,,0.0,0,,RPWOMLMKKIMFFCE38CA
前鎮區,房地(土地+建物),高雄市前鎮區修文街1~30號,28.8,住,,,1061115,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731105,114.8,3,1,2,有,無,4500000,39199,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLNKKIMFFCE97CA
小港區,房地(土地+建物),高雄市小港區松崗路132巷1~30號,24.0,住,,,1061108,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670601,48.0,2,1,1,有,無,850000,17708,,0.0,0,,RPVOMLTKKIMFFCE98CA
小港區,房地(土地+建物),高雄市小港區飛機路77巷1~30號,54.0,住,,,1061031,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0691227,126.51,4,2,2,有,無,4600000,36361,,0.0,0,有增建,RPSNMLPLKIMFFCE28CA
三民區,房地(土地+建物),高雄市三民區明誠二路91~120號,8.82,住,,,1061101,土地1建物1車位0,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880519,164.20999999999998,4,2,2,有,有,7380000,44942,,0.0,0,,RPRPMLQJKIMFFDE38CA
三民區,房地(土地+建物),高雄市三民區正忠路181~210號,25.42,住,,,1061107,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720427,81.74,3,2,2,有,無,3300000,40372,,0.0,0,含未保存前後陽臺,地下室,RPWNMLRJKIMFFDE78CA
三民區,房地(土地+建物),高雄市三民區裕誠路31~60號,9.0,住,,,1061026,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860709,87.41999999999999,2,1,1,有,有,4500000,51476,,0.0,0,,RPVPMLLKKIMFFDE38CA
三民區,房地(土地+建物)+車位,高雄市三民區大豐二路91~120號,16.94,住,,,1061031,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941202,155.31,4,2,2,有,有,7960000,51252,坡道平面,16.59,0,,RPTOMLMKKIMFFDE18CA
三民區,房地(土地+建物),高雄市三民區鼎力路31~60號,12.31,商,,,1061114,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811204,121.55000000000001,3,2,2,有,有,4850000,39901,,0.0,0,,RPXNMLNKKIMFFDE58CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎文街31~60號,18.51,住,,,1061106,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890929,131.17000000000002,3,2,2,有,有,6500000,49554,坡道平面,0.0,0,,RPRNMLNKKIMFFDE97CA
三民區,房地(土地+建物)+車位,高雄市三民區信國路1~30號,23.73,住,,,1061001,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0801119,202.36,4,2,2,有,有,6000000,29650,坡道平面,0.0,0,,RPUNMLTKKIMFFDE88CA
三民區,房地(土地+建物)+車位,高雄市三民區信國路1~30號,21.42,住,,,1061001,土地1建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0801119,177.43,5,2,3,有,有,5270000,29702,坡道平面,0.0,0,,RPRNMLLLKIMFFDE87CA
三民區,房地(土地+建物),高雄市三民區義德路61~90號,31.69,住,,,1061021,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0800227,193.09,3,2,2,有,有,10700000,55415,,0.0,0,,RPVNMLPLKIMFFDE68CA
左營區,房地(土地+建物),高雄市左營區海景街391~420號,33.41,住,,,1061101,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991216,173.82,3,1,2,有,有,4880000,28075,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLPJKIMFFEE68CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學六十二街61~90號,27.2,住,,,1061122,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031125,186.37,3,1,2,有,有,7310000,43067,坡道平面,47.98,1350000,,RPROMLPJKIMFFEE28CA
