鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中壢區,建物,桃園市中壢區忠孝路301~330號,0.0,住,,,1061101,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930701,70.08,2,1,1,有,有,無,11000,157,,0.0,0,,RPPPMLLJKIMFFBH97CC
龍潭區,房地(土地+建物),桃園市龍潭區新龍路211~240號,230.1,住,,,1061101,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050615,161.66,3,2,2,有,有,有,18500,114,,0.0,0,,RPTNMLLJKIMFFCH28CC
大溪區,房地(土地+建物),桃園市大溪區員林路一段241~270號,153.5,其他,,,1061201,土地1建物1車位0,一層,1,店面(店鋪),見使用執照,鋼筋混凝土造,0910123,91.23,0,0,0,無,無,無,40000,438,,0.0,0,,RPUOMLLJKIMFFCH48CC
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段331~360號,24.59,住,,,1061201,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040408,150.5,3,2,2,有,有,有,20000,133,坡道平面,27.99,0,,RPWPMLLJKIMFFBH78DC
龍潭區,房地(土地+建物),桃園市龍潭區九龍村中興路317巷61~90號,68.01,,鄉村區,乙種建築用地,1061101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680518,81.72,3,2,1,有,無,有,12000,147,,0.0,0,,RPUNMLLJKIMFFCH48DC
龜山區,房地(土地+建物),桃園市龜山區公園路1~30號,56.25,商,,,1061101,土地1建物1車位0,六層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810130,258.67,3,0,1,有,有,無,44000,170,,0.0,0,,RPTNMLLJKIMFFHH88DC
中壢區,房地(土地+建物),桃園市中壢區慈惠三街31~60號,4.66,商,,,1061101,土地1建物1車位0,十一層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0901026,46.83,1,1,1,有,有,有,10000,214,,0.0,0,,RPTNMLMJKIMFFBH38DC
桃園區,房地(土地+建物),桃園市桃園區寶山街211~240號,16.19,住,,,1061101,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,67.63,2,1,1,有,有,有,14000,207,,0.0,0,,RPPNMLMJKIMFFAH77CC
桃園區,房地(土地+建物),桃園市桃園區春日路1111~1140號,9.33,住,,,1061101,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890831,69.02,1,1,1,有,有,有,13000,188,,0.0,0,,RPQNMLMJKIMFFAH87CC
桃園區,房地(土地+建物),桃園市桃園區民富二街31~60號,16.17,住,,,1061101,土地1建物1車位0,七層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840520,104.33,1,0,0,無,有,有,5000,48,,0.0,0,,RPSNMLMJKIMFFAH08CC
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段61~90號,21.4,住,,,1061201,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050106,123.0,2,2,1,有,無,有,15000,122,坡道平面,0.0,0,,RPRNMLMJKIMFFEH38CC
中壢區,房地(土地+建物),桃園市中壢區廣安街1~30號,39.27,商,,,1061101,土地2建物2車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800927,214.02,2,2,2,有,無,無,38000,178,,0.0,0,,RPWNMLMJKIMFFBH58CC
中壢區,建物,桃園市中壢區環中東路二段91~120號,0.0,住,,,1061101,土地0建物0車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0770504,21.43,3,3,3,有,無,有,6500,303,,0.0,0,,RPQNMLOJKIMFFBH18CC
中壢區,建物,桃園市中壢區日新路61~90號,0.0,住,,,1061101,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690829,21.59,3,3,3,有,有,有,3000,139,,0.0,0,,RPRQMLOJKIMFFBH58CC
