編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLLJKIMFFCH48DC,39,81.72,住家用,加強磚造,68年5月18日,二層,
RPTNMLLJKIMFFCH28CC,1,161.66,見其他登記事項,鋼筋混凝土造,105年6月15日,十二層,
RPPPMLLJKIMFFBH97CC,13,46.48,住家用,鋼筋混凝土造,93年7月1日,九層,
RPPPMLLJKIMFFBH97CC,13,14.67,共有部分,鋼筋混凝土造,93年7月1日,九層,
RPPPMLLJKIMFFBH97CC,13,8.93,共有部分,鋼筋混凝土造,93年7月1日,九層,
RPQNMLMJKIMFFAH87CC,17,53.05,住家用,鋼筋混凝土造,89年8月31日,十四層,
RPQNMLMJKIMFFAH87CC,17,15.97,共有部份,鋼筋混凝土造,89年8月31日,十四層,
RPRNMLMJKIMFFEH38CC,2,123.00,住家用,鋼筋混凝土造,105年1月6日,八層,
RPPNMLMJKIMFFAH77CC,20,58.73,住家用,鋼筋混凝土造,86年9月18日,十二層,
RPPNMLMJKIMFFAH77CC,20,8.90,共有部份,鋼筋混凝土造,86年9月18日,十二層,
RPSNMLMJKIMFFAH08CC,22,68.42,住家用,鋼筋混凝土造,84年5月20日,十二層,
RPSNMLMJKIMFFAH08CC,22,12.15,共有部份,鋼筋混凝土造,84年5月20日,十二層,
RPSNMLMJKIMFFAH08CC,22,6.77,共有部份,鋼筋混凝土造,84年5月20日,十三層,
RPSNMLMJKIMFFAH08CC,22,16.99,共有部份,鋼筋混凝土造,84年5月20日,十三層,
RPUOMLLJKIMFFCH48CC,16,91.23,見使用執照,鋼筋混凝土造,91年1月23日,三層,
RPTNMLLJKIMFFHH88DC,26,248.27,見其他登記事項,鋼筋混凝土造,81年1月30日,十三層,
RPTNMLLJKIMFFHH88DC,26,10.40,共有部份,鋼筋混凝土造,81年1月30日,十三層,
RPTNMLMJKIMFFBH38DC,16,46.83,住家用,鋼筋混凝土造,90年10月26日,二十一層,
RPWPMLLJKIMFFBH78DC,3,101.06,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPWPMLLJKIMFFBH78DC,3,32.23,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPWPMLLJKIMFFBH78DC,3,17.21,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPQNMLOJKIMFFBH18CC,30,21.43,見其他登記事項,鋼筋混凝土造,77年5月4日,三層,
RPORMLOJKIMFFBH38CC,8,96.67,住家用,鋼筋混凝土造,98年6月29日,二十二層,
RPORMLOJKIMFFBH38CC,8,4.44,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPORMLOJKIMFFBH38CC,8,5.19,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPORMLOJKIMFFBH38CC,8,13.32,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPORMLOJKIMFFBH38CC,8,.20,共有部分,鋼筋混凝土造,98年6月29日,二十二層,
RPRQMLOJKIMFFBH58CC,37,21.59,住家用,鋼筋混凝土造,69年8月29日,五層,
RPRNMLOJKIMFFDH48CC,,60.71,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPRNMLOJKIMFFDH48CC,,60.23,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPQNMLOJKIMFFDH38CC,,63.61,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPQNMLOJKIMFFDH38CC,,61.70,見其他登記事項,鋼筋混凝土造,106年8月2日,十五層,
RPROMLOJKIMFFHH98CC,5,89.09,住家用,鋼筋混凝土造,101年12月15日,十五層,
RPROMLOJKIMFFHH98CC,5,75.68,見其他登記事項,鋼筋混凝土造,101年12月15日,十五層,
RPXNMLPJKIMFFFH86DC,39,87.00,住家用,加強磚造,68年2月15日,二層,
RPRRMLOJKIMFFAH58CC,13,42.81,住家用,鋼筋混凝土造,93年10月15日,十二層,
RPRRMLOJKIMFFAH58CC,13,3.34,共有部份,鋼筋混凝土造,93年10月15日,十二層,
RPRRMLOJKIMFFAH58CC,13,15.25,共有部份,鋼筋混凝土造,93年10月15日,十二層,
RPPRMLOJKIMFFBH58DC,5,118.97,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPPRMLOJKIMFFBH58DC,5,68.65,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPWNMLMJKIMFFBH58CC,26,45.30,商業用,鋼筋混凝土造,80年9月27日,七層,
RPWNMLMJKIMFFBH58CC,26,168.72,住家用,鋼筋混凝土造,80年9月27日,七層,
RPPRMLOJKIMFFBH58DC,5,21.56,見其他登記事項,鋼筋混凝土造,102年1月13日,十二層,
RPXOMLOJKIMFFGH96DC,27,464.21,住家用,加強磚造,79年10月12日,二層,
RPVRMLOJKIMFFAH98CC,14,86.07,住家用,鋼筋混凝土造,92年11月21日,十四層,
RPWNMLPJKIMFFGH76CC,,96.87,住家用,鋼筋混凝土造,106年8月3日,十四層,
RPQNMLPJKIMFFBH28CC,28,73.93,住商用,鋼筋混凝土造,78年7月17日,四層,
RPVNMLPJKIMFFCH88CC,29,320.51,住家用,鋼筋混凝土造,78年5月25日,三層,
RPRNMLPJKIMFFBH38CC,23,15.42,見其他登記事項,鋼筋混凝土造,83年9月7日,十層,
RPRNMLPJKIMFFBH38CC,23,2.52,共有部分,鋼筋混凝土造,83年9月7日,十層,
RPRNMLPJKIMFFBH38CC,23,4.64,共有部分,鋼筋混凝土造,83年9月7日,十層,
RPPQMLQJKIMFFGH09CC,22,228.87,住家用,鋼筋混凝土造,84年8月10日,四層,
RPPQMLQJKIMFFGH09CC,22,.37,共有部份,鋼筋混凝土造,84年8月10日,四層,
RPPQMLQJKIMFFGH09CC,22,.05,共有部份,鋼筋混凝土造,84年8月10日,四層,
RPPNMLPJKIMFFBH18CC,37,21.59,住家用,鋼筋混凝土造,69年8月29日,五層,
RPUNMLPJKIMFFEH98CC,12,165.00,住家用,鋼筋混凝土造,94年9月27日,十一層,
RPVOMLPJKIMFFBH88CC,2,76.89,見其他登記事項,鋼筋混凝土造,104年9月15日,二十層,
RPVOMLPJKIMFFBH88CC,2,39.05,見其他登記事項,鋼筋混凝土造,104年9月15日,二十層,
RPUNMLPJKIMFFBH68CC,26,110.46,住家用,鋼筋混凝土造,81年3月16日,七層,
RPUNMLPJKIMFFBH68CC,26,13.55,見其他登記事項,鋼筋混凝土造,81年3月16日,七層,
RPUOMLPJKIMFFBH78CC,22,82.69,住家用,鋼筋混凝土造,84年10月8日,十三層,
RPUOMLPJKIMFFBH78CC,22,11.25,共有部分,鋼筋混凝土造,84年10月8日,十三層,
RPUOMLPJKIMFFBH78CC,22,11.34,共有部分,鋼筋混凝土造,84年10月8日,十三層,
RPWOMLQJKIMFFBH56DC,2,50.87,住家用,鋼筋混凝土造,105年1月14日,四層,
RPROMLQJKIMFFBH58CC,35,99.52,住家用,鋼筋混凝土造,71年8月23日,五層,
RPTNMLPJKIMFFBH58CC,14,114.07,住家用,鋼筋混凝土造,92年7月10日,十四層,
RPTNMLPJKIMFFBH58CC,14,25.67,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPTNMLPJKIMFFBH58CC,14,48.98,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPOTMLRJKIMFFBH88CC,24,62.13,住家用,鋼筋混凝土造,82年10月23日,十三層,
RPOTMLRJKIMFFBH88CC,24,10.32,共有部分,鋼筋混凝土造,82年10月23日,十五層,
RPOTMLRJKIMFFBH88CC,24,1.35,共有部分,鋼筋混凝土造,82年10月23日,十四層,
RPOTMLRJKIMFFBH88CC,24,.97,共有部分,鋼筋混凝土造,82年10月23日,十五層,
RPTNMLRJKIMFFEH09CC,8,57.15,住家用,鋼筋混凝土造,98年6月30日,十二層,
RPTNMLRJKIMFFEH09CC,8,16.11,共有部份,鋼筋混凝土造,98年6月30日,十二層,
RPTNMLRJKIMFFEH09CC,8,23.72,共有部份,鋼筋混凝土造,98年6月30日,十二層,
RPOPMLRJKIMFFAH48DC,1,125.46,住家用,鋼筋混凝土造,105年7月13日,二十一層,
RPSNMLSJKIMFFCH88CC,40,64.48,住家用,加強磚造,67年1月30日,三層,
RPRPMLSJKIMFFAH78CC,26,144.28,住商用,鋼造,80年12月20日,一層,
RPRPMLSJKIMFFAH78CC,26,143.37,住商用,鋼造,80年12月20日,一層,
RPTOMLSJKIMFFBH98CC,16,51.72,住家用,鋼筋混凝土造,90年7月16日,十四層,
RPTOMLSJKIMFFBH98CC,16,9.80,共有部分,鋼筋混凝土造,90年7月16日,十四層,
RPTOMLSJKIMFFBH98CC,16,8.06,共有部分,鋼筋混凝土造,90年7月16日,十四層,
RPQNMLRJKIMFFFH88CC,4,67.65,住家用,鋼筋混凝土造,102年7月1日,十二層,
RPQNMLRJKIMFFFH88CC,4,17.77,見其他登記事項,鋼筋混凝土造,102年7月1日,十二層,
RPQNMLRJKIMFFFH88CC,4,47.29,見其他登記事項,鋼筋混凝土造,102年7月1日,十三層,
RPXSMLSJKIMFFBH17CC,10,14.67,住家用,見其他登記事項,96年12月12日,七層,
RPVOMLSJKIMFFBH56CC,23,383.48,見其他登記事項,鋼筋混凝土造,83年7月13日,四層,
RPQNMLTJKIMFFFH09CC,21,63.97,住家用,鋼筋混凝土造,85年10月1日,十二層,
RPQNMLTJKIMFFFH09CC,21,10.00,共有部分,鋼筋混凝土造,85年10月1日,十二層,
RPQNMLTJKIMFFFH09CC,21,12.48,共有部分,鋼筋混凝土造,85年10月1日,十二層,
RPOPMLSJKIMFFBH58CC,3,57.99,見其他登記事項,鋼筋混凝土造,103年6月28日,十四層,
RPOPMLSJKIMFFBH58CC,3,58.16,見其他登記事項,鋼筋混凝土造,103年6月28日,十五層,
