鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
名間鄉,土地,北大庄段331~360地號,3024.91,,一般農業區,農牧用地,1061117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5613300,1856,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLSJKIMFFAM68CA
名間鄉,土地,同源段361~390地號,129.48,,鄉村區,乙種建築用地,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,19308,,0.0,0,原共有人間買賣持分,RPVNMLOJKIMFFAM88CA
南投市,土地,茄苳腳段511~540地號,753.4,,一般農業區,農牧用地,1061118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1560000,2071,,0.0,0,購買持分,RPQNMLRJKIMFFAM68CA
名間鄉,房地(土地+建物),南投縣名間鄉新丹巷61~90號,189.75,,鄉村區,乙種建築用地,1061022,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0900417,147.2,4,1,2,有,無,5600000,38043,,0.0,0,,RPQNMLMKKIMFFAM28CA
南投市,房地(土地+建物),南投縣南投市彰南路三段880巷46弄31~60號,97.9,農,,,1060916,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060519,147.62,4,2,4,有,無,8100000,54871,,0.0,0,,RPSOMLPKKIMFFAM88CA
南投市,房地(土地+建物),南投縣南投市彰南路三段880巷46弄31~60號,143.4,農,,,1050418,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060519,169.19,5,2,4,有,無,9000000,53195,,0.0,0,,RPTOMLPKKIMFFAM98CA
南投市,土地,光復段211~240地號,2194.0,農,,,1061016,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30529000,13915,,0.0,0,,RPQOMLSKKIMFFAM98CA
草屯鎮,土地,北投埔段931~960地號,1600.0,,特定農業區,農牧用地,1061106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10080000,6300,,0.0,0,,RPROMLLJKIMFFBM38CA
草屯鎮,土地,和平段391~420地號,1000.0,農,,,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,8500,,0.0,0,,RPWNMLNKKIMFFBM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮埔里鎮東華路61~90號,125.76,商,,,1061027,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681211,279.7,6,2,5,有,無,8110000,28995,,0.0,0,二親等間買賣。,RPQNMLPJKIMFFCM68CA
仁愛鄉,土地,靜觀段601~630地號,12990.0,,森林區,農牧用地,1061123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,231,,0.0,0,,RPSNMLRJKIMFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮開南二巷1~30號,58.2,住,,,1061027,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621009,70.06,3,1,1,有,無,3300000,47102,,0.0,0,,RPXNMLLKKIMFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮中山路四段181~210號,69.06,,特定農業區,甲種建築用地,1061120,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830430,145.04,5,2,3,有,無,2500000,17237,,0.0,0,,RPQOMLLKKIMFFCM48CA
埔里鎮,房地(土地+建物),南投縣埔里鎮漢中街1~30號,192.25,商,,,1061102,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,1020102,183.65,3,2,4,有,無,7000000,38116,,0.0,0,另有共有人,RPRNMLMKKIMFFCM58CA
仁愛鄉,房地(土地+建物),南投縣仁愛鄉清風路1~30號,670.0,,鄉村區,乙種建築用地,1061114,土地1建物1車位0,全,一層,透天厝,住家用,磚造,,135.14,4,2,2,有,無,3200000,23679,,0.0,0,,RPTNMLOKKIMFFCM98CA
仁愛鄉,土地,清流段1531~1560地號,1017.0,,特定農業區,農牧用地,1061107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,344,,0.0,0,,RPUNMLOKKIMFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮青田四街31~60號,115.61,其他,,,1061113,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0711124,137.94,3,2,2,有,無,3500000,25373,,0.0,0,,RPUNMLLLKIMFFCM88CA
埔里鎮,土地,育英段1~30地號,240.14,工,,,1061015,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,24985,,0.0,0,內含公共設施保留地之交易,RPQNMLMLKIMFFCM58CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,119.72,住,,,1060705,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,186.44,4,2,3,有,有,7770000,41676,,0.0,0,,RPTNMLQLKIMFFDM76CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,149.72,住,,,1060206,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,306.71,5,2,5,有,有,10560000,34430,,0.0,0,,RPUNMLQLKIMFFDM86CA
水里鄉,房地(土地+建物),南投縣水里鄉水信路一段631~660號,91.02,,山坡地保育區,丙種建築用地,1061119,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0701230,143.09,2,3,3,有,無,1200000,8386,,0.0,0,,RPPNMLOJKIMFFEM68CA
草屯鎮,土地,中潭段61~90地號,1357.53,,山坡地保育區,農牧用地,1060911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1473,,0.0,0,適用土地法第34條之1規定。重測前面積為1338平方公尺。,RPRNMLOJKIMFFBM68DA
國姓鄉,土地,水長流段1~30地號,5687.0,,特定農業區,農牧用地,1061020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16500000,2901,,0.0,0,,RPSOMLOJKIMFFCM98DA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,125.72,住,,,1060526,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,249.16,5,2,5,有,有,8920000,35800,,0.0,0,,RPPNMLQLKIMFFDM98CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,140.72,住,,,1060919,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,244.85,4,2,5,有,有,10020000,40923,,0.0,0,,RPRNMLQLKIMFFDM56CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷31~60號,118.72,住,,,1060526,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,186.44,4,2,3,有,有,7950000,42641,,0.0,0,,RPSNMLSLKIMFFDM86CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,127.72,住,,,1050905,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,249.16,5,2,5,有,有,9500000,38128,,0.0,0,,RPTNMLSLKIMFFDM96CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,119.72,住,,,1050129,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,186.44,4,2,3,有,有,7700000,41300,,0.0,0,,RPVNMLSLKIMFFDM17CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鯉南路26之13巷1~30號,119.72,住,,,1050223,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060825,186.44,4,2,3,有,有,7800000,41837,,0.0,0,,RPWNMLSLKIMFFDM27CA
竹山鎮,房地(土地+建物),南投縣竹山鎮建國四路151~180號,83.0,住,,,1061003,土地0建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0740717,87.8,3,2,2,有,無,3250000,37016,,0.0,0,,RPQNMLOKKIMFFDM78CA
埔里鎮,房地(土地+建物),南投縣埔里鎮同春一街61~90號,94.0,住,,,1061112,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060523,229.35,5,2,4,有,無,14400000,62786,,0.0,0,,RPRNMLPLKIMFFCM98CA
埔里鎮,土地,中峰段湳興小段211~240地號,98.01,,鄉村區,乙種建築用地,1061104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,35711,,0.0,0,,RPUNMLPLKIMFFCM66CA
魚池鄉,土地,木屐��段91~120地號,2733.0,,一般農業區,農牧用地,1061108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1281,,0.0,0,,RPWNMLSLKIMFFCM17CA
鹿谷鄉,房地(土地+建物),南投縣鹿谷鄉中正路一段301~330號,111.0,住,,,1061108,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0050701,46.2,2,2,1,有,無,3020000,65368,,0.0,0,,RPPNMLPJKIMFFDM68CA
埔里鎮,土地,水頭段991~1020地號,3550.0,,山坡地保育區,農牧用地,1061107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2578000,726,,0.0,0,,RPOOMLLKKIMFFCM28CA
埔里鎮,土地,水頭段991~1020地號,249.0,,山坡地保育區,丙種建築用地,1061107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,12851,,0.0,0,含增建或未登記建物。,RPPOMLLKKIMFFCM38CA
魚池鄉,土地,司馬按段121~150地號,2129.0,,一般農業區,農牧用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8690000,4082,,0.0,0,,RPOPMLOJKIMFFCM58CA
埔里鎮,土地,鯉魚潭段421~450地號,359.32,,山坡地保育區,丙種建築用地,1061117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3180000,8850,,0.0,0,,RPTNMLLKKIMFFCM68CA
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路121巷1~30號,730.16,農,,,1060829,土地10建物1車位0,一層，二層，三層,三層,農舍,農舍,見其他登記事項,1000524,127.73,5,2,4,有,有,20500000,,,0.0,0,,RPPNMLKLKIMFFBM18CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中和路81之63巷1~30號,84.52,,特定農業區,甲種建築用地,1061107,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850425,191.47,4,3,3,有,無,5080000,26532,,0.0,0,,RPXNMLNKKIMFFBM56CA
草屯鎮,土地,新富寮段1111~1140地號,167.24,住,,,1061107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,26907,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLRJKIMFFBM76CA
草屯鎮,土地,新富寮段1111~1140地號,135.2,住,,,1061107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,33284,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLRJKIMFFBM09CA
草屯鎮,房地(土地+建物),南投縣草屯鎮博愛路490巷1~30號,117.0,其他,,,1061106,土地1建物1車位0,一層，二層,二層,倉庫,見其他登記事項,加強磚造,0760519,130.4,7,2,2,有,無,6800000,,,0.0,0,,RPUNMLRJKIMFFBM56CA
南投市,房地(土地+建物),南投縣南投市南營路488巷1弄1~30號,158.2,,特定農業區,甲種建築用地,1061029,土地8建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060619,240.29,4,3,3,有,無,12800000,53269,,0.0,0,,RPRNMLTKKIMFFAM09CA
南投市,土地,茄苳腳段481~510地號,2187.0,,一般農業區,農牧用地,1061122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,4572,,0.0,0,,RPQNMLMLKIMFFAM38CA
