鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
斗六市,房地(土地+建物),雲林縣斗六市忠孝路31~60號,107.7,住,,,1031013,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050731,261.02,5,1,6,有,無,15980000,61221,,0.0,0,,RPOPMLLJKIMFFAP38CA
斗六市,土地,崙北段751~780地號,254.48,,鄉村區,乙種建築用地,1061107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,15522,,0.0,0,,RPUNMLOJKIMFFAP09CA
斗六市,房地(土地+建物),雲林縣斗六市北平路1~30號,80.0,住,,,1061117,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0640110,102.14,3,1,2,有,無,6900000,67554,,0.0,0,,RPPNMLPJKIMFFAP68CA
斗六市,房地(土地+建物),雲林縣斗六市科?一路331~360號,190.68,,工業區,丁種建築用地,1061105,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1021212,275.47,6,3,4,有,有,9800000,35576,,0.0,0,,RPQNMLPJKIMFFAP78CA
斗六市,房地(土地+建物),雲林縣斗六市榴?s六街1~30號,80.85,,工業區,丁種建築用地,1061109,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940812,172.65,4,2,3,有,無,5680000,32899,,0.0,0,,RPSNMLPJKIMFFAP98CA
斗六市,土地,石農段1~30地號,2422.77,,特定農業區,農牧用地,1061106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,949,,0.0,0,,RPXNMLPJKIMFFAP86CA
斗六市,房地(土地+建物),雲林縣斗六市崙南路31~60號,95.09,,鄉村區,乙種建築用地,1061023,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0990301,210.52,4,2,3,有,無,8300000,39426,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLSJKIMFFAP98CA
斗六市,房地(土地+建物),雲林縣斗六市中興路61~90號,120.81,,鄉村區,乙種建築用地,1061017,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060502,184.5,4,2,5,有,無,6200000,33604,,0.0,0,,RPUNMLSJKIMFFAP86CA
斗六市,土地,公正段511~540地號,1067.0,其他,,,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,2624,,0.0,0,(包含)公共設施保留地之交易。,RPQNMLMKKIMFFAP58CA
斗六市,房地(土地+建物),雲林縣斗六市中興路61~90號,140.21,,鄉村區,乙種建築用地,1060920,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060502,220.48,4,2,5,有,無,7200000,32656,,0.0,0,,RPVNMLLLKIMFFAP09CA
斗南鎮,土地,大東段大東小段601~630地號,1800.0,,特定農業區,農牧用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1620000,900,,0.0,0,,RPUNMLOJKIMFFBP56CA
大埤鄉,土地,豐田段1111~1140地號,1637.0,,特定農業區,農牧用地,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2782900,1700,,0.0,0,,RPPNMLPJKIMFFBP78CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮田頭路151~180號,441.07,住,,,1061005,土地1建物2車位0,全,二層,透天厝,住商用,加強磚造,0680122,290.05,6,4,6,有,無,8000000,27581,,0.0,0,1.買賣總價含增建或未登記建物。,RPQNMLPJKIMFFBP88CA
大埤鄉,土地,豐田段1141~1170地號,1959.0,,特定農業區,農牧用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3526200,1800,,0.0,0,,RPRNMLLKKIMFFBP68CA
西螺鎮,土地,頂湳段1111~1140地號,2129.0,,特定農業區,農牧用地,1061107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4258000,2000,,0.0,0,,RPOOMLLJKIMFFCP48CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮民權路31~60號,53.54,商,,,1061028,土地1建物1車位0,全,四層,透天厝,住商用,加強磚造,0670220,181.9,4,2,3,有,無,15300000,84112,,0.0,0,,RPQNMLQJKIMFFDP56CA
虎尾鎮,土地,大學段211~240地號,1994.66,住,,,1060923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,56110000,28130,,0.0,0,,RPQNMLOJKIMFFDP98CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮頂溪31~60號,195.74,,鄉村區,乙種建築用地,1061116,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1031204,195.76,4,2,3,有,無,6800000,34736,,0.0,0,,RPPNMLPJKIMFFDP98CA
土庫鎮,土地,馬公厝段511~540地號,483.33,,鄉村區,乙種建築用地,1061108,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2193000,4537,,0.0,0,,RPXNMLMKKIMFFDP96CA
土庫鎮,土地,港興段151~180地號,2429.0,,特定農業區,農牧用地,1061112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4372200,1800,,0.0,0,,RPTNMLKLKIMFFDP09CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮福民路61~90號,5.38,商,,,1061122,土地1建物1車位0,五層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850513,48.42,1,1,1,有,無,1830000,37794,,0.0,0,,RPVOMLOJJHNFFDP86CA
水林鄉,土地,埔尾段211~240地號,149.14,住,,,1061113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1428900,9581,,0.0,0,,RPQNMLSJKIMFFEP86CA
東勢鄉,土地,東西段181~210地號,2140.12,,特定農業區,農牧用地,1061023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1885000,881,,0.0,0,,RPPNMLQJKIMFFFP66CA
林內鄉,土地,成功段961~990地號,60.0,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,538000,8967,,0.0,0,,RPSOMLRLKIMFFAP96DA
口湖鄉,土地,梧北段901~930地號,1326.26,,一般農業區,農牧用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,764600,577,,0.0,0,,RPPNMLOJKIMFFEP09DA
北港鎮,土地,三仙段931~960地號,1054.0,,特定農業區,農牧用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,771528,732,,0.0,0,,RPPNMLQJKIMFFEP66DA
北港鎮,土地,聖平段271~300地號,1438.74,,特定農業區,農牧用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1037764,721,,0.0,0,,RPSNMLRJKIMFFEP07DA
西螺鎮,房地(土地+建物),雲林縣西螺鎮大同路10巷1~30號,93.93,住,,,1061101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060914,185.44,5,2,4,有,無,6700000,36130,,0.0,0,,RPRNMLPJKIMFFCP56DA
西螺鎮,房地(土地+建物),雲林縣西螺鎮大同路10巷1~30號,93.04,住,,,1061101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060914,185.44,5,2,4,有,無,6700000,36130,,0.0,0,,RPSNMLPJKIMFFCP66DA
東勢鄉,土地,嘉隆段31~60地號,9413.0,農,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,850,,0.0,0,,RPQNMLKKKIMFFFP88CA
元長鄉,土地,東庄段601~630地號,3251.0,,特定農業區,農牧用地,1061108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6200000,1907,,0.0,0,,RPQNMLOKKIMFFEP56CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興南路811~840號,94.05,,特定農業區,甲種建築用地,1061030,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0851030,202.52,4,2,3,有,無,4850000,23948,,0.0,0,,RPRNMLPJKIMFFDP56CA
西螺鎮,土地,社西段151~180地號,96.02,住,,,1061121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,5207,,0.0,0,含增建或未登記建物。,RPTNMLPJKIMFFCP66CA
崙背鄉,土地,永安段661~690地號,1843.0,,特定農業區,農牧用地,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1843000,1000,,0.0,0,,RPWNMLPJKIMFFCP96CA
崙背鄉,土地,港尾段1171~1200地號,1135.21,,特定農業區,特定目的事業用地,1061109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6510000,5735,,0.0,0,學校用地 協議價購,RPXNMLPJKIMFFCP07CA
西螺鎮,土地,三塊厝段三塊厝小段1831~1860地號,2202.0,,特定農業區,農牧用地,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3850000,1748,,0.0,0,,RPOOMLPJKIMFFCP88CA
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮新生三路519巷1~30號,19.94,住,,,1061121,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880710,99.84,2,1,2,有,有,2750000,27544,其他,0.0,0,,RPPNMLQJKIMFFBP88CA
斗六市,房地(土地+建物),雲林縣斗六市永安路91巷1~30號,145.0,商,,,1061113,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0510215,160.52,4,2,3,有,無,5500000,34264,,0.0,0,,RPUNMLMJJHNFFAP78CA
斗六市,房地(土地+建物),雲林縣斗六市科?s一路661~690號,105.09,,工業區,丁種建築用地,1061114,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041228,215.0,4,2,4,有,無,6680000,31070,,0.0,0,,RPQNMLQLKIMFFAP09CA
斗六市,房地(土地+建物),雲林縣斗六市科?s一路661~690號,105.09,,工業區,丁種建築用地,1061114,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041228,215.0,4,2,4,有,無,6680000,31070,,0.0,0,,RPRNMLQLKIMFFAP56CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生三路2851~2880號,76.0,住,,,1061031,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0910923,157.68,4,2,3,有,無,4700000,29807,,0.0,0,包含傢俱及家電用品等,RPTNMLOJKIMFFBP09CA
斗六市,土地,斗六段181~210地號,225.0,住,,,1061030,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15290000,67956,,0.0,0,,RPTNMLLKKIMFFAP78CA
莿桐鄉,土地,番子段1471~1500地號,4074.0,,特定農業區,農牧用地,1061127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,2455,,0.0,0,,RPPNMLRJKIMFFAP88CA
莿桐鄉,土地,湖內段661~690地號,229.89,,鄉村區,乙種建築用地,1061117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,689640,3000,,0.0,0,,RPQOMLPJKIMFFAP88CA
莿桐鄉,土地,埔南段631~660地號,3531.97,工,,,1060811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38500000,10900,,0.0,0,,RPROMLPJKIMFFAP98CA
斗六市,土地,大潭段社口小段1~30地號,16.0,住,,,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1210000,75625,,0.0,0,,RPSOMLPJKIMFFAP09CA
斗六市,土地,大潭段社口小段1~30地號,39.0,住,,,1061121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2947500,75577,,0.0,0,,RPTOMLPJKIMFFAP56CA
