絪腹,跋琿竚,簿锣縩キよそへ,ㄏノだ跋┪絪﹚
RPRNMLRJKIMFFCQ76CA,榜琿,95.02,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLRJKIMFFCQ76CA,榜琿,.83,獶常カ秏跋 ; 獶常カ絪﹚ユ硄ノ
RPWOMLPLKIMFFCQ37CA,狶玡琿㎝琿,585.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLQLKIMFFDQ07CA,瓾玭琿,1.04,常カㄤ
RPSNMLQLKIMFFDQ07CA,瓾玭琿,1.19,常カㄤ
RPSNMLQLKIMFFDQ07CA,瓾玭琿,1.87,常カ笰
RPSNMLQLKIMFFDQ07CA,瓾玭琿,1.20,常カ笰
RPSNMLQLKIMFFDQ07CA,瓾玭琿,2579.37,常カ笰
RPSNMLQLKIMFFDQ07CA,瓾玭琿,.56,常カ笰
RPSNMLQLKIMFFDQ07CA,瓾玭琿,.65,常カ笰
RPSNMLQLKIMFFDQ07CA,瓾玭琿,1.06,常カ
RPXNMLSLKIMFFCQ67CA,兼┏琿兼┏琿,53.34,常カ
RPXNMLSLKIMFFCQ67CA,兼┏琿兼┏琿,.41,常カㄤ
RPPNMLRJKIMFFBQ09CA,攫狶繷琿狶繷琿,3838.60,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPXOMLPLKIMFFCQ47CA,狶玡琿㎝琿,576.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPPNMLQKKIMFFCQ56CA,砍琿,.91,常カ
RPPNMLQKKIMFFCQ56CA,砍琿,35.57,常カ
RPPNMLQJKIMFFDQ56CA,琱狶琿,63.27,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLQJKIMFFDQ56CA,琱狶琿,15.31,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPOPMLQLKIMFFDQ86CA,兼琿绍琿,88.00,常カ笰
RPOPMLQLKIMFFDQ86CA,兼琿绍琿,44.87,常カ笰
RPOPMLQLKIMFFDQ86CA,兼琿绍琿,1.00,常カ笰
RPPNMLSJKIMFFEQ86CA,礷隔琿,117.00,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPPNMLQJKIMFFBQ98CA,古Φ琿,330.86,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,5.82,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,6.10,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,6.63,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,.87,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,.87,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,.87,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,.03,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,.03,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,49.25,常カ
RPPNMLQJKIMFFBQ98CA,古Φ琿,6.38,常カ
RPUNMLOJKIMFFEQ96CA,宾玭琿,662.00,常カ笰
RPQNMLSJKIMFFEQ96CA,礷隔琿,30.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚ユ硄ノ
RPQNMLNJKIMFFDQ98CA,郴翠醂琿,6.20,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLNJKIMFFDQ98CA,郴翠醂琿,1.87,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPSNMLSJKIMFFEQ17CA,礷隔琿,128.67,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPSNMLSJKIMFFEQ17CA,礷隔琿,125.67,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPRNMLSJKIMFFEQ07CA,礷隔琿,94.50,獶常カ℡玂▅跋 ; 獶常カ絪﹚ユ硄ノ
RPSNMLSJKIMFFEQ17CA,礷隔琿,32.33,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPSNMLSJKIMFFEQ17CA,礷隔琿,54.67,獶常カ笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPRNMLLKKIMFFEQ09CA,ず瓾琿,11.11,獶常カ ; 獶常カ絪﹚
RPQNMLSKKIMFFDQ07DA,ホ庼琿,3391.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPQNMLSKKIMFFDQ07DA,ホ庼琿,230.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPQNMLSKKIMFFDQ07DA,ホ庼琿,912.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPQNMLSKKIMFFDQ07DA,ホ庼琿,4923.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPQNMLSKKIMFFDQ07DA,ホ庼琿,4144.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPQNMLSKKIMFFDQ07DA,ホ庼琿,342.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPTNMLPJKIMFFEQ17EA,继攫￤琿,1047.89,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPTNMLPJKIMFFEQ17EA,继攫￤琿,2134.67,獶常カ℡玂▅跋 ; 獶常カ絪﹚狶穨ノ
RPPNMLQJKIMFFEQ86EA,继攫￤琿,1039.33,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPUNMLOJKIMFFDQ96DA,㎝琿,79.16,常カ
RPUNMLOJKIMFFDQ96DA,㎝琿,3.41,常カ
RPQNMLQJKIMFFEQ96EA,继攫￤琿,1724.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPSNMLRJKIMFFEQ27EA,そバ琿,318.00,獶常カ℡玂▅跋 ; 獶常カ絪﹚笰ノ
RPPNMLSJKIMFFCQ86EA,﹁狶琿,88.23,常カ坝
RPWNMLMJJHNFFCQ66CA,兼┏琿兼┏琿,165.00,常カ
RPQOMLNKKIMFFDQ56CA,盵郴琿,21.00,常カ
RPQOMLNKKIMFFDQ56CA,盵郴琿,29.50,常カ
RPQOMLNKKIMFFDQ56CA,盵郴琿,47.00,常カ
RPSNMLPJKIMFFDQ76CA,兼琿兼琿,3620.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLOJKIMFFBQ09CA,古Φ琿,621.80,常カ
RPVNMLLKKIMFFEQ86CA,瓾琿,94.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPPNMLRJKIMFFEQ76CA,打琿,8256.00,獶常カ此狶跋 ; 獶常カ絪﹚笰ノ
RPSNMLPJKIMFFCQ66CA,à琿,4539.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLPJKIMFFCQ66CA,à琿,3967.00,獶常カ笰穨跋 ; 獶常カ絪﹚笰ノ
RPSNMLLKKIMFFBQ88CA,筁隔琿,2427.33,獶常カ疭﹚盡ノ跋 ; 獶常カ絪﹚緄崔ノ
RPSNMLLKKIMFFBQ88CA,筁隔琿,2.80,獶常カ疭﹚盡ノ跋 ; 獶常カ絪﹚緄崔ノ
RPSNMLLKKIMFFBQ88CA,筁隔琿,8.40,獶常カ疭﹚盡ノ跋 ; 獶常カ絪﹚緄崔ノ
RPSNMLLKKIMFFBQ88CA,筁隔琿,6.44,獶常カ疭﹚盡ノ跋 ; 獶常カ絪﹚緄崔ノ
RPRNMLPJKIMFFCQ56CA,琱肪琿玭箃琿,2740.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLPJKIMFFCQ56CA,琱肪琿玭箃琿,2741.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPPNMLSJKIMFFBQ56CA,郴狥ホ琿兢琿,203.25,獶常カ疭﹚盡ノ跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPTNMLPJKIMFFCQ76CA,狶琿,24.15,常カ
RPWNMLNKKIMFFCQ96CA,チ玭琿,135.00,常カ
RPWNMLNKKIMFFCQ96CA,チ玭琿,83.00,常カ
RPQNMLPJKIMFFCQ09CA,褐贾琿,101.41,常カ
RPPNMLPJKIMFFCQ98CA,穝砍琿穝砍琿,90.00,常カ
RPPNMLPJKIMFFCQ98CA,穝砍琿穝砍琿,18.72,常カ
RPQOMLMJJHNFFCQ88DA,﹁狶琿,3.52,常カ
RPQNMLOKKIMFFBQ98CA,纓翠琿,1384.00,獶常カ笰穨跋 ; 獶常カ絪﹚緄崔ノ
RPQNMLOKKIMFFBQ98CA,纓翠琿,1527.50,獶常カ笰穨跋 ; 獶常カ絪﹚緄崔ノ
RPRNMLSKKIMFFBQ86CA,古Φ琿,4.82,常カ坝
RPTNMLSJKIMFFCQ07CA,匪琿翠琿,1846.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
