鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
台東市,房地(土地+建物),臺東縣臺東市漢陽南路65巷1~30號,95.49,住,,,1061023,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700213,94.5,5,2,1,有,無,4000000,42328,,0.0,0,,RPPNMLOJKIMFFAV56CA
台東市,房地(土地+建物),臺東縣臺東市更生北路674巷1~30號,83.88,住,,,1061105,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860630,178.52,5,2,3,有,無,5300000,29689,,0.0,0,,RPUNMLOJKIMFFAV07CA
台東市,土地,豐源段31~60地號,4742.88,,特定農業區,農牧用地,1061025,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7209000,1520,,0.0,0,,RPQNMLPJKIMFFAV76CA
台東市,房地(土地+建物),臺東縣臺東市漢陽南路139巷31~60號,99.54,住,,,1061029,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0910131,184.59,4,2,4,有,無,8500000,46048,,0.0,0,,RPTNMLPJKIMFFAV07CA
台東市,房地(土地+建物),臺東縣臺東市中華路一段421~450號,171.0,商,,,1061101,土地2建物1車位0,一層，二層，三層，四層，騎樓，地下層,四層,店面(店鋪),見其他登記事項,見其他登記事項,0650414,599.3,0,0,0,無,無,28500000,47555,,0.0,0,,RPUNMLPJKIMFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市中興路三段579巷94弄1~30號,95.68,住,,,1061102,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0670630,104.16,3,2,2,有,無,2500000,24002,,0.0,0,,RPQNMLRJKIMFFAV96CA
東河鄉,房地(土地+建物),臺東縣東河鄉南東河61~90號,97.42,住,,,1061122,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830223,146.74,3,2,2,有,無,4000000,27259,,0.0,0,,RPPNMLOJKIMFFBV66CA
長濱鄉,土地,八仙洞段1141~1170地號,985.49,,風景區,交通用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,603800,613,,0.0,0,,RPPNMLQJKIMFFBV86CA
長濱鄉,土地,黃金橋段1171~1200地號,502.09,,鄉村區,乙種建築用地,1061024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,1494,,0.0,0,,RPQNMLSJKIMFFBV17CA
太麻里鄉,房地(土地+建物),臺東縣卑南鄉龍泉路53巷1~30號,10.39,住,,,1061109,土地1建物1車位0,一層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840714,38.72,0,0,0,無,無,500000,12913,,0.0,0,,RPPNMLLKKIMFFDV66CA
台東市,土地,永清段31~60地號,0.67,其他,,,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1461,0,,0.0,0,協議價購,RPWNMLPJKIMFFAV47DA
