½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPQNMLSJKIMFFBV17CA,¶Àª÷¾ô¬q,502.09,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLPJKIMFFAV76CA,Â×·½¬q,3145.89,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLPJKIMFFAV76CA,Â×·½¬q,1596.99,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLQJKIMFFBV86CA,¤K¥P¬}¬q,492.75,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPPNMLQJKIMFFBV86CA,¤K¥P¬}¬q,492.75,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¥æ³q¥Î¦a
RPTNMLPJKIMFFAV07CA,ªF®ü¬q,99.54,³£¥«¡G¦í
RPUNMLPJKIMFFAV17CA,¥xªF¬q,117.00,³£¥«¡G°Ó
RPUNMLPJKIMFFAV17CA,¥xªF¬q,54.00,³£¥«¡G°Ó
RPPNMLOJKIMFFBV66CA,«nªe¬q,97.42,³£¥«¡G¦í
RPWNMLPJKIMFFAV47DA,¥Ã²M¬q,.67,³£¥«¡G¨ä¥L
RPPNMLOJKIMFFAV56CA,ªF®ü¬q,95.49,³£¥«¡G¦í
RPPNMLLKKIMFFDV66CA,¨q¤s¬q,10.39,³£¥«¡G¦í
RPPNMLTKKIMFFCV37CA,·Ë®H¬q,266.49,³£¥«¡G¹A
RPPNMLTKKIMFFCV37CA,·Ë®H¬q,1410.14,³£¥«¡G¹A
RPPNMLTKKIMFFCV37CA,·Ë®H¬q,804.94,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUNMLOJKIMFFAV07CA,«n¤ý¬q,46.30,³£¥«¡G¦í
RPUNMLOJKIMFFAV07CA,«n¤ý¬q,37.58,³£¥«¡G¦í
RPQNMLTKKIMFFCV47CA,·Ë®H¬q,666.99,³£¥«¡G¹A
RPQNMLTKKIMFFCV47CA,·Ë®H¬q,444.61,«D³£¥«¡G¤@¯ë¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLTKKIMFFCV47CA,·Ë®H¬q,83.10,³£¥«¡G¹A
RPQNMLTKKIMFFCV47CA,·Ë®H¬q,486.92,³£¥«¡G¹A
