編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLSJKIMFFAW27CA,17,226.50,集村農舍,見其他登記事項,89年8月21日,二層,一層 二層
RPPNMLQLKIMFFAW07CA,41,99.79,共有部分,鋼筋混凝土造,66年5月10日,二層,一層 二層
RPWNMLQJKIMFFAW57CA,18,210.24,住宅,鋼筋混凝土造,89年1月11日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLPJKIMFFAW07CA,7,194.22,見其他登記事項,鋼筋混凝土造,99年6月10日,三層,一層 二層 三層
RPTNMLSJKIMFFAW47CA,2,10.19,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPTNMLSJKIMFFAW47CA,2,90.31,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,三層
RPPNMLOJKIMFFAW76DA,10,159.45,住宅,鋼筋混凝土造,96年5月22日,三層,一層 二層 三層
RPQNMLSJKIMFFAW17CA,1,40.04,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,三層
RPQNMLSJKIMFFAW17CA,1,3.14,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,
RPQNMLSJKIMFFAW17CA,1,40.04,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,三層
RPQNMLSJKIMFFAW17CA,1,3.14,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,
RPROMLQJKIMFFAW17CA,1,80.66,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,三層
RPROMLQJKIMFFAW17CA,1,4.65,見其他登記事項,鋼筋混凝土造,105年8月30日,三層,
RPQNMLOKKIMFFAW86CA,5,100.40,見其他登記事項,鋼筋混凝土造,101年11月28日,十層,六層
RPQNMLOKKIMFFAW86CA,5,31.42,見其他登記事項,鋼筋混凝土造,101年11月28日,十層,
RPWNMLLKKIMFFAW17CA,,90.75,見其他登記事項,鋼筋混凝土造,106年5月25日,三層,二層
RPWNMLLKKIMFFAW17CA,,6.81,見其他登記事項,鋼筋混凝土造,106年5月25日,三層,
RPPNMLOKKIMFFAW76CA,5,100.40,見其他登記事項,鋼筋混凝土造,101年11月28日,十層,六層
RPPNMLOKKIMFFAW76CA,5,31.42,見其他登記事項,鋼筋混凝土造,101年11月28日,十層,
SPXNMLSJKIMFFAW97CA,,94.96,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,一層
SPXNMLSJKIMFFAW97CA,,48.26,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,
SPXNMLSJKIMFFAW97CA,,13.76,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,
RPPNMLMKKIMFFAW56CA,2,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,六層
RPPNMLMKKIMFFAW56CA,2,57.20,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPSNMLSKKIMFFAW47CA,4,190.78,住宅,鋼筋混凝土造,103年3月11日,三層,一層 二層 三層
RPXNMLSJKIMFFAW87CA,,109.78,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,二層
RPXNMLSJKIMFFAW87CA,,52.29,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,
RPXNMLSJKIMFFAW87CA,,13.76,見其他登記事項,鋼筋混凝土造,106年6月14日,三層,
RPQNMLRLKIMFFAW37DA,21,272.06,住宅,鋼筋混凝土造,85年9月1日,三層,一層 二層 三層
RPSNMLOKKIMFFAW07CA,2,27.21,見其他登記事項,鋼筋混凝土造,104年11月25日,三層,二層
RPSNMLOKKIMFFAW07CA,2,3.68,見其他登記事項,鋼筋混凝土造,104年11月25日,三層,
