鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),碧湖段二小段241~270地號,9.72,商,,,1030301,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.52,2,2,1,有,無,25200000,258409,,0.0,0,,RPOPMLSKKIMFFCA97CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,11.31,商,,,1030501,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.76,2,2,1,有,無,28990000,221704,坡道平面,0.0,2500000,,RPPPMLSKKIMFFCA08CB
內湖區,房地(土地+建物),碧湖段二小段241~270地號,8.23,商,,,1030301,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.9,2,2,1,有,無,21300000,256936,,0.0,0,,RPQPMLSKKIMFFCA18CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,15.71,商,,,1030601,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.47,3,2,2,有,無,38800000,222388,坡道平面,0.0,2400000,,RPSPMLSKKIMFFCA38CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,11.13,商,,,1030401,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.82,2,2,1,有,無,28580000,221860,坡道平面,0.0,2600000,,RPTPMLSKKIMFFCA48CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,15.8,商,,,1030601,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.41,3,2,2,有,無,38880000,221652,坡道平面,0.0,2600000,,RPWPMLSKKIMFFCA78CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,15.8,商,,,1030501,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.3,3,2,2,有,無,39080000,222932,坡道平面,0.0,2800000,,RPOQMLSKKIMFFCA08CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,11.03,商,,,1030401,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.11,2,2,1,有,無,28000000,218562,坡道平面,0.0,0,,RPPQMLSKKIMFFCA18CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,12.16,商,,,1030701,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.89,2,2,1,有,無,33160000,238750,坡道平面,0.0,2500000,,RPRQMLSKKIMFFCA38CB
內湖區,房地(土地+建物)+車位,碧湖段二小段241~270地號,11.03,商,,,1030401,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.11,2,2,1,有,無,28680000,223870,坡道平面,0.0,2600000,,RPSQMLSKKIMFFCA48CB
