鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中山區,建物,臺北市中山區吉林路61~90號,0.0,商,,,1061124,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,277.42,6,2,4,有,有,有,72000,260,,0.0,0,,RPRNMLLKKIMFFCA47CC
中山區,建物,臺北市中山區新生北路二段62巷1~30號,0.0,商,,,1061124,土地0建物1車位0,十六層,19,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,1050322,62.94,1,1,1,有,有,有,43000,683,,0.0,0,,RPSNMLLKKIMFFCA57CC
中山區,建物,臺北市中山區林森北路91~120號,0.0,商,,,1061122,土地0建物0車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0700812,56.2,0,0,0,無,有,無,21300,379,,0.0,0,租部分面積 共17坪  供辦公室使用,RPTNMLLKKIMFFCA67CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1061123,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970813,68.97,2,1,1,有,有,有,30000,435,,0.0,0,,RPUNMLLKKIMFFCA77CC
中山區,建物,臺北市中山區明水路421~450號,0.0,住,,,1061122,土地0建物1車位0,一層,11,店面(店鋪),住家用,鋼筋混凝土造,0701228,183.45,0,0,0,無,有,無,52000,283,,0.0,0,,RPWNMLLKKIMFFCA97CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1061121,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970813,31.66,1,1,1,有,有,無,20000,632,,0.0,0,,RPXNMLLKKIMFFCA08CC
中山區,建物,臺北市中山區復興北路271~300號,0.0,商,,,1061121,土地0建物1車位0,二層,14,辦公商業大樓,住家用,鋼筋混凝土造,0720309,100.76,0,0,0,無,有,無,42000,417,,0.0,0,,RPOOMLLKKIMFFCA27CC
中山區,建物,臺北市中山區北安路458巷47弄1~30號,0.0,住,,,1061121,土地0建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881012,124.49000000000001,3,2,2,有,有,無,43000,345,坡道機械,0.0,0,,RPPOMLLKKIMFFCA37CC
內湖區,建物,臺北市內湖區南京東路六段451巷31~60號,0.0,其他,,,1061125,土地0建物1車位0,十三層,14,套房(1房1廳1衛),商業用,鋼筋混凝土造,0971205,44.44,1,1,1,有,有,有,22000,495,,0.0,0,,RPTOMLLKKIMFFCA77CC
大同區,建物,臺北市大同區重慶北路二段31~60號,0.0,商,,,1061126,土地0建物1車位0,九層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720916,28.65,1,1,1,有,有,無,13000,454,,0.0,0,,RPVNMLLKKIMFFBA77CC
