編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLOKKIMFFAB37CA,22,26.47,見其他登記事項,鋼筋混凝土造,84年12月28日,十三層,四層
RPQNMLOKKIMFFAB37CA,22,12.16,見其他登記事項,鋼筋混凝土造,84年12月28日,十三層,
RPPNMLOKKIMFFAB27CA,23,36.58,見其他登記事項,鋼筋混凝土造,83年5月26日,十三層,六層
RPPNMLOKKIMFFAB27CA,23,7.40,見其他登記事項,鋼筋混凝土造,83年5月26日,十三層,
RPPNMLNKKIMFFAB17CA,23,20.15,住家用,鋼筋混凝土造,83年7月14日,十三層,六層
RPPNMLNKKIMFFAB17CA,23,5.62,見其他登記事項,鋼筋混凝土造,83年7月14日,十三層,
RPPNMLNKKIMFFAB17CA,23,4.87,見其他登記事項,鋼筋混凝土造,83年7月14日,十三層,
RPOPMLLKKIMFFAB07CA,9,42.89,見其他登記事項,鋼筋混凝土造,97年7月30日,十四層,十三層
RPOPMLLKKIMFFAB07CA,9,36.61,見其他登記事項,鋼筋混凝土造,97年7月30日,十四層,
RPPPMLSKKIMFFAB87CA,1,49.78,見其他登記事項,鋼筋混凝土造,106年1月16日,十四層,
RPPPMLSKKIMFFAB87CA,1,96.63,見其他登記事項,鋼筋混凝土造,106年1月16日,十四層,五層
RPPPMLSKKIMFFAB87CA,1,23.85,見其他登記事項,鋼筋混凝土造,106年1月16日,十四層,
RPQOMLLKKIMFFAB17CA,56,10.42,住家用,加強磚造,51年1月20日,一層,一層
RPXPMLLKKIMFFAB97CA,25,139.56,住家用,鋼筋混凝土造,81年7月21日,十六層,十三層 十四層
RPXPMLLKKIMFFAB97CA,25,51.95,見其他登記事項,鋼筋混凝土造,81年7月21日,十六層,
RPXPMLLKKIMFFAB97CA,25,16.04,見其他登記事項,鋼筋混凝土造,81年7月21日,十六層,
RPXPMLLKKIMFFAB97CA,25,1.06,見其他登記事項,鋼筋混凝土造,81年7月21日,十六層,
RPRNMLNLKIMFFAB47CA,36,75.49,住家用,鋼筋混凝土造,70年5月6日,五層,五層
RPSNMLQJJHNFFAB57CA,21,23.67,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,十三層
RPSNMLQJJHNFFAB57CA,21,4.39,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPSNMLQJJHNFFAB57CA,21,6.02,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPPPMLQLKIMFFAB77CA,18,161.15,住家用,鋼筋混凝土造,89年3月24日,十四層,二層
RPPPMLQLKIMFFAB77CA,18,22.85,共有部份,鋼筋混凝土造,89年3月24日,十四層,
RPPPMLQLKIMFFAB77CA,18,66.11,共有部份,鋼筋混凝土造,89年3月24日,十四層,
RPXOMLRLKIMFFAB58CA,9,82.11,見其他登記事項,鋼筋混凝土造,97年7月28日,十二層,九層
RPXOMLRLKIMFFAB58CA,9,39.58,見其他登記事項,鋼筋混凝土造,97年7月28日,十二層,
RPTNMLSJJHNFFAB87CA,23,103.43,住家用,鋼筋混凝土造,84年3月3日,十三層,十層
RPTNMLSJJHNFFAB87CA,23,.17,商業用,鋼筋混凝土造,84年3月3日,十三層,
RPTNMLSJJHNFFAB87CA,23,7.86,停車空間,鋼筋混凝土造,84年3月3日,十三層,
RPTNMLSJJHNFFAB87CA,23,35.69,見其他登記事項,鋼筋混凝土造,84年3月3日,十三層,
RPQNMLNKKIMFFBB37CA,18,111.24,見其他登記事項,鋼筋混凝土造,88年7月13日,十四層,十一層
RPQNMLNKKIMFFBB37CA,18,23.10,共有部份,鋼筋混凝土造,88年7月13日,十四層,
RPQNMLNKKIMFFBB37CA,18,.00,共有部份,鋼筋混凝土造,88年7月13日,十四層,
RPQNMLNKKIMFFBB37CA,18,10.05,共有部份,鋼筋混凝土造,88年7月13日,十四層,
RPOQMLMKKIMFFBB37CA,37,95.68,商業用,鋼筋混凝土造,69年12月2日,七層,一層 騎樓
RPOQMLMKKIMFFBB37CA,37,129.51,住家用,鋼筋混凝土造,69年12月2日,七層,二層
RPSNMLNKKIMFFBB57CA,22,20.10,住家用,鋼筋混凝土造,84年5月26日,十六層,五層
RPSNMLNKKIMFFBB57CA,22,6.23,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPSNMLNKKIMFFBB57CA,22,.19,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPSNMLNKKIMFFBB57CA,22,5.66,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPTOMLMJJHNFFAB37CA,44,565.52,住家用,鋼筋混凝土造,62年9月24日,四層,一層 二層 三層 四層 騎樓 地下層
RPVNMLMLKIMFFAB77CA,3,349.59,見其他登記事項,鋼筋混凝土造,103年11月14日,五層,一層 二層 三層 四層 五層 騎樓 見其他登記事項
RPVOMLMKKIMFFBB87CA,3,182.46,住家用,鋼筋混凝土造,103年7月11日,四層,一層 二層 三層 四層
RPSPMLNKKIMFFBB77CA,36,6.75,共有部份,鋼筋混凝土造,70年9月25日,五層,
RPSPMLNKKIMFFBB77CA,36,104.22,住家用,鋼筋混凝土造,70年9月25日,五層,五層
RPQOMLNKKIMFFBB47CA,19,162.89,見其他登記事項,鋼筋混凝土造,88年4月13日,三層,一層 二層 三層 屋頂突出物
RPSOMLNKKIMFFBB67CA,4,303.53,見其他登記事項,鋼筋混凝土造,103年3月6日,五層,一層 二層 三層 四層 五層
RPQNMLPJJHNFFAB27CA,3,89.36,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,九層
RPQNMLPJJHNFFAB27CA,3,49.00,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,
RPQNMLPJJHNFFAB27CA,3,20.96,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,
RPQNMLOKKIMFFBB47CA,24,50.27,見其他登記事項,鋼筋混凝土造,82年9月3日,七層,四層
RPQNMLOKKIMFFBB47CA,24,26.59,共有部份,鋼筋混凝土造,82年9月3日,七層,
RPSNMLOKKIMFFBB67CA,43,102.92,見其他登記事項,鋼筋混凝土加強磚造,64年1月22日,二層,一層 二層
RPXPMLLKKIMFFBB08CA,26,94.21,住家用,鋼筋混凝土造,81年4月1日,十六層,三層
RPXPMLLKKIMFFBB08CA,26,15.11,共有部份,鋼筋混凝土造,81年4月1日,十六層,
RPRNMLPKKIMFFBB67CA,36,100.48,住家用,鋼筋混凝土造,70年8月14日,五層,四層
RPSNMLPKKIMFFBB77CA,36,131.78,住商用,鋼筋混凝土造,70年8月20日,五層,一層 二層 騎樓
RPTOMLPKKIMFFBB97CA,9,17.38,住家用,鋼筋混凝土造,97年11月28日,十七層,九層
RPTOMLPKKIMFFBB97CA,9,7.30,共有部份,鋼筋混凝土造,97年11月28日,十七層,
RPTOMLPKKIMFFBB97CA,9,3.65,共有部份,鋼筋混凝土造,97年11月28日,十七層,
RPPOMLMKKIMFFBB27CA,7,30.03,見其他登記事項,鋼骨鋼筋混凝土造,99年6月17日,二十一層,
RPTQMLSKKIMFFBB48CA,1,98.32,見其他登記事項,鋼筋混凝土造,106年3月10日,十二層,二層
RPTQMLSKKIMFFBB48CA,1,112.42,見其他登記事項,鋼筋混凝土造,106年3月10日,十二層,
RPPSMLTKKIMFFBB38CA,22,34.25,住家用,鋼筋混凝土造,84年6月26日,二十四層,八層
RPPSMLTKKIMFFBB38CA,22,.00,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPPSMLTKKIMFFBB38CA,22,10.46,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPPSMLTKKIMFFBB38CA,22,8.03,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPSNMLMLKIMFFBB57CA,26,56.84,住家用,鋼筋混凝土造,80年12月11日,七層,二層
RPSNMLMLKIMFFBB57CA,26,15.67,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPSNMLMLKIMFFBB57CA,26,15.13,見其他登記事項,鋼筋混凝土造,80年12月11日,七層,
RPSNMLMLKIMFFBB57CA,26,4.04,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPRSMLTKKIMFFBB58CA,9,190.12,見其他登記事項,鋼筋混凝土造,97年5月15日,五層,一層 二層 三層 四層 五層
RPRQMLSKKIMFFBB28CA,1,98.32,見其他登記事項,鋼筋混凝土造,106年3月10日,十二層,三層
RPRQMLSKKIMFFBB28CA,1,112.42,見其他登記事項,鋼筋混凝土造,106年3月10日,十二層,
RPVPMLSKKIMFFBB58CA,18,21.11,共有部份,鋼筋混凝土造,89年2月18日,十四層,
