編號,車位類別,車位價格,車位面積平方公尺
RPOPMLLKKIMFFAB07CA,坡道機械,0,15.99
RPPPMLSKKIMFFAB87CA,坡道平面,0,30.37
RPXPMLLKKIMFFAB97CA,坡道平面,0,
RPPPMLQLKIMFFAB77CA,坡道平面,0,26.46
RPXOMLRLKIMFFAB58CA,坡道機械,0,8.80
RPTNMLSJJHNFFAB87CA,坡道機械,0,
RPSOMLNKKIMFFBB67CA,一樓平面,0,
RPSOMLNKKIMFFBB67CA,一樓平面,0,
RPQNMLPJJHNFFAB27CA,坡道平面,0,28.17
RPPOMLMKKIMFFBB27CA,坡道平面,0,30.03
RPTQMLSKKIMFFBB48CA,坡道平面,0,32.26
RPTQMLSKKIMFFBB48CA,坡道平面,0,32.26
RPSNMLMLKIMFFBB57CA,升降機械,0,
RPRSMLTKKIMFFBB58CA,一樓平面,0,
RPRQMLSKKIMFFBB28CA,坡道平面,0,32.26
RPRQMLSKKIMFFBB28CA,坡道平面,0,32.26
RPSQMLSKKIMFFBB38CA,坡道平面,1500000,32.26
RPVNMLNLKIMFFBB97CA,坡道平面,0,
RPXNMLNLKIMFFBB18CA,坡道機械,0,
RPXNMLNLKIMFFBB18CA,坡道機械,0,
RPVNMLNJJHNFFBB67CA,坡道平面,1030000,
RPWNMLNJJHNFFBB77CA,坡道平面,1030000,
RPOPMLSLKIMFFBB97CA,坡道平面,0,
RPTQMLNJJHNFFBB77CA,坡道機械,580000,13.32
RPSQMLNJJHNFFBB67CA,坡道平面,1300000,26.64
RPTPMLLKKIMFFCB77CA,升降平面,0,
RPPNMLRKKIMFFCB77CA,坡道機械,0,
RPVPMLMKKIMFFCB08CA,坡道平面,0,
RPSOMLOKKIMFFCB87CA,坡道平面,0,31.49
RPQOMLMKKIMFFCB47CA,坡道平面,0,14.92
RPQOMLMKKIMFFCB47CA,坡道平面,0,14.92
RPXNMLMKKIMFFCB08CA,坡道機械,0,
RPRQMLLKKIMFFCB67CA,坡道機械,0,
RPXQMLSKKIMFFCB98CA,坡道平面,948000,
RPUOMLPLKIMFFCB28CA,坡道平面,0,32.77
RPUOMLPLKIMFFCB28CA,坡道平面,0,32.77
RPSOMLLLKIMFFCB67CA,坡道平面,0,41.65
RPSOMLLLKIMFFCB67CA,坡道平面,0,41.65
RPSOMLLLKIMFFCB67CA,坡道平面,0,41.65
RPUNMLNLKIMFFCB97CA,坡道平面,1200000,28.11
RPUNMLNLKIMFFCB97CA,坡道平面,1200000,28.11
RPXOMLQLKIMFFCB68CA,坡道平面,0,19.85
RPVQMLMJJHNFFCB97CA,坡道平面,0,24.60
RPVQMLMJJHNFFCB97CA,坡道平面,0,24.60
RPXRMLOJJHNFFCB48CA,坡道機械,0,19.87
