鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1050713,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.38,3,2,2,有,無,7750000,51606,坡道平面,27.9,810000,,RPVNMLLKKIMFFJB58CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,26.02,住,,,1050413,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.36,3,2,2,有,無,8200000,48929,坡道平面,51.88,1620000,,RPWNMLLKKIMFFJB68CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1040517,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.38,3,2,2,有,無,8100000,54209,坡道平面,27.9,810000,,RPXNMLLKKIMFFJB78CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1040606,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.38,3,2,2,有,無,8180000,54804,坡道平面,27.9,810000,,RPROMLLKKIMFFJB28CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1051112,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.42,3,2,2,有,無,7570000,50937,坡道平面,25.94,720000,,RPSOMLLKKIMFFJB38CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1060512,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,7800000,51112,坡道平面,27.9,860000,,RPWOMLLKKIMFFJB78CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1060609,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,7770000,50891,坡道平面,27.9,860000,,RPXOMLLKKIMFFJB88CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1040715,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,8000000,52953,坡道平面,27.9,810000,,RPPPMLLKKIMFFJB18CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1050812,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,7890000,52511,坡道平面,27.9,760000,,RPQPMLLKKIMFFJB28CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1050827,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,7980000,52806,坡道平面,27.9,810000,,RPTPMLLKKIMFFJB58CB
太平區,房地(土地+建物)+車位,育賢段61~90地號,25.32,住,,,1060529,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.68,3,2,2,有,無,7850000,51480,坡道平面,27.9,860000,,RPUPMLLKKIMFFJB68CB
