編號,車位類別,車位價格,車位面積平方公尺
RPWNMLLKKIMFFJB68CB,坡道平面,810000,25.94
RPWNMLLKKIMFFJB68CB,坡道平面,810000,25.94
RPXNMLLKKIMFFJB78CB,坡道平面,810000,27.90
RPQPMLLKKIMFFJB28CB,坡道平面,760000,27.90
RPWOMLLKKIMFFJB78CB,坡道平面,860000,27.90
RPVNMLLKKIMFFJB58CB,坡道平面,810000,27.90
RPROMLLKKIMFFJB28CB,坡道平面,810000,27.90
RPSOMLLKKIMFFJB38CB,坡道平面,720000,25.94
RPUPMLLKKIMFFJB68CB,坡道平面,860000,27.90
RPTPMLLKKIMFFJB58CB,坡道平面,810000,27.90
RPPPMLLKKIMFFJB18CB,坡道平面,810000,27.90
RPXOMLLKKIMFFJB88CB,坡道平面,860000,27.90
RPVPMLLKKIMFFJB78CB,坡道平面,810000,27.90
RPSNMLMKKIMFFJB38CB,坡道平面,760000,27.90
RPUNMLMKKIMFFJB58CB,坡道平面,760000,27.90
RPTNMLMKKIMFFJB48CB,坡道平面,810000,27.90
RPVNMLMKKIMFFJB68CB,坡道平面,810000,27.90
RPWNMLMKKIMFFJB78CB,坡道平面,760000,27.90
RPTOMLMKKIMFFJB58CB,坡道平面,760000,27.90
RPROMLMKKIMFFJB38CB,坡道平面,810000,27.90
RPUQMLMKKIMFFJB88CB,坡道平面,810000,27.90
RPXPMLMKKIMFFJB09CB,坡道平面,810000,27.90
RPTPMLMKKIMFFJB68CB,坡道平面,760000,27.90
RPXOMLMKKIMFFJB98CB,坡道平面,810000,27.90
RPPQMLMKKIMFFJB38CB,坡道平面,810000,27.90
RPWOMLMKKIMFFJB88CB,坡道平面,860000,27.90
RPSOMLMKKIMFFJB48CB,坡道平面,760000,27.90
RPVOMLMKKIMFFJB78CB,坡道平面,860000,27.90
RPORMLMKKIMFFJB38CB,坡道平面,860000,27.90
RPORMLMKKIMFFJB38CB,坡道平面,860000,27.90
RPWQMLMKKIMFFJB09CB,坡道平面,760000,27.90
RPPRMLMKKIMFFJB48CB,坡道平面,860000,27.90
RPPRMLMKKIMFFJB48CB,坡道平面,860000,27.90
RPXNMLOKKIMFFJB09CB,坡道平面,720000,25.94
RPXNMLOKKIMFFJB09CB,坡道平面,720000,25.94
RPVNMLOKKIMFFJB88CB,坡道平面,810000,27.90
RPPOMLOKKIMFFJB38CB,坡道平面,760000,27.90
RPSOMLOKKIMFFJB68CB,坡道平面,810000,27.90
RPOOMLOKKIMFFJB28CB,坡道平面,810000,27.90
RPROMLOKKIMFFJB58CB,坡道平面,860000,27.90
RPROMLOKKIMFFJB58CB,坡道平面,860000,27.90
RPQOMLOKKIMFFJB48CB,坡道平面,760000,27.90
RPPPMLOKKIMFFJB48CB,坡道平面,760000,27.90
RPQPMLOKKIMFFJB58CB,坡道平面,760000,27.90
RPOPMLOKKIMFFJB38CB,坡道平面,810000,27.90
RPXOMLOKKIMFFJB56CB,坡道平面,860000,27.90
RPRPMLOKKIMFFJB68CB,坡道平面,860000,27.90
RPTOMLOKKIMFFJB78CB,坡道平面,760000,25.94
RPTOMLOKKIMFFJB78CB,坡道平面,760000,25.94
RPVOMLOKKIMFFJB98CB,坡道平面,860000,27.90
RPUOMLOKKIMFFJB88CB,坡道平面,760000,27.90
