編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSRMLLKKIMFFCB08CC,8,39.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPSRMLLKKIMFFCB08CC,8,3.28,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSRMLLKKIMFFCB08CC,8,15.60,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPURMLLKKIMFFCB28CC,8,47.65,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPTNMLLKKIMFFBB67CC,3,47.61,住家用,鋼筋混凝土造,103年9月15日,十一層,
RPURMLLKKIMFFCB28CC,8,39.88,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTNMLLKKIMFFBB67CC,3,4.25,見其他登記事項,鋼筋混凝土造,103年9月15日,十一層,
RPURMLLKKIMFFCB28CC,8,18.85,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTNMLLKKIMFFBB67CC,3,18.46,見其他登記事項,鋼筋混凝土造,103年9月15日,十一層,
RPQPMLLKKIMFFCB67CC,10,117.43,見其他登記事項,鋼筋混凝土造,97年2月26日,十四層,
RPORMLLKKIMFFCB67CC,21,109.83,國民住宅,鋼筋混凝土造,86年1月18日,二十一層,
RPORMLLKKIMFFCB67CC,21,49.57,共有部份,鋼筋混凝土造,86年1月18日,二十一層,
RPSQMLLKKIMFFCB97CC,20,161.47,住家用,鋼筋混凝土造,86年10月20日,十四層,
RPUQMLLKKIMFFBB08CC,12,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPTQMLLKKIMFFCB08CC,11,78.59,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPTQMLLKKIMFFCB08CC,11,49.08,見其他登記事項,鋼筋混凝土造,95年8月16日,二十二層,
RPXQMLLKKIMFFBB38CC,12,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPPRMLLKKIMFFBB67CC,12,15.94,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPORMLLKKIMFFBB57CC,12,64.00,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPORMLLKKIMFFBB57CC,12,25.64,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPWQMLLKKIMFFBB28CC,12,18.99,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPWQMLLKKIMFFBB28CC,12,47.39,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPTOMLLKKIMFFAB67CC,11,101.64,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPTOMLLKKIMFFAB67CC,11,21.44,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPTOMLLKKIMFFAB67CC,11,15.22,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPRPMLLKKIMFFAB57CC,8,37.77,見其他登記事項,鋼筋混凝土造,98年8月4日,十一層,
RPRPMLLKKIMFFAB57CC,8,7.37,見其他登記事項,鋼筋混凝土造,98年8月4日,十一層,
RPRPMLLKKIMFFAB57CC,8,8.93,見其他登記事項,鋼筋混凝土造,98年8月4日,十一層,
RPROMLLKKIMFFAB47CC,24,694.94,見其他登記事項,鋼筋混凝土造,83年5月13日,五層,
RPQQMLMKKIMFFJB58CC,22,41.91,見其他登記事項,鋼筋混凝土造,85年2月12日,四層,
RPRPMLMKKIMFFJB58CC,24,11.69,見其他登記事項,鋼筋混凝土造,83年3月11日,五層,
RPRPMLMKKIMFFJB58CC,24,60.39,住家用,鋼筋混凝土造,83年3月11日,五層,
RPOOMLLKKIMFFHB87CC,28,47.33,見其他登記事項,鋼筋混凝土造,78年7月3日,四層,
RPWNMLNKKIMFFAB08CC,22,141.47,見其他登記事項,鋼筋混凝土造,84年12月5日,八層,
RPWNMLNKKIMFFAB08CC,22,60.40,見其他登記事項,鋼筋混凝土造,84年12月5日,八層,
RPPOMLOKKIMFFAB57CC,23,21.34,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPPOMLOKKIMFFAB57CC,23,3.57,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPPOMLOKKIMFFAB57CC,23,9.27,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPRNMLMKKIMFFHB18CC,22,114.52,住家用,鋼筋混凝土造,84年7月15日,十二層,
RPRNMLMKKIMFFHB18CC,22,30.72,共有部份,鋼筋混凝土造,84年7月15日,十二層,
RPRNMLMKKIMFFHB18CC,22,14.87,共有部份,鋼筋混凝土造,84年7月15日,十二層,
RPSQMLLKKIMFFBB87CC,12,27.90,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPUPMLMKKIMFFCB18CC,1,191.24,見其他登記事項,見其他登記事項,106年4月18日,二十層,
RPUPMLMKKIMFFCB18CC,1,122.04,見其他登記事項,見其他登記事項,106年4月18日,二十層,
RPOPMLMKKIMFFIB18CC,6,243.29,見其他登記事項,鋼筋混凝土造,101年2月24日,四層,
RPOPMLPKKIMFFCB87CC,12,195.30,住家用,鋼筋混凝土造,94年8月25日,十四層,
RPOPMLPKKIMFFCB87CC,12,136.21,見其他登記事項,鋼筋混凝土造,94年8月25日,十四層,
RPRPMLPKKIMFFCB18CC,6,137.14,住家用,鋼筋混凝土造,100年12月28日,二十四層,
RPRPMLPKKIMFFCB18CC,6,37.20,見其他登記事項,鋼筋混凝土造,100年12月28日,二十四層,
RPRPMLPKKIMFFCB18CC,6,29.94,見其他登記事項,鋼筋混凝土造,100年12月28日,二十四層,
RPQQMLNKKIMFFBB87CC,9,39.06,見其他登記事項,鋼筋混凝土造,97年11月27日,五層,
RPQPMLOKKIMFFBB87CC,23,40.00,住家用,鋼筋混凝土造,84年4月12日,十二層,
RPPQMLPKKIMFFCB08CC,8,35.91,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVNMLOKKIMFFCB28CC,21,154.60,國民住宅,鋼筋混凝土造,85年6月15日,十二層,
RPSQMLPKKIMFFCB38CC,8,58.57,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPSQMLPKKIMFFCB38CC,8,40.74,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSQMLPKKIMFFCB38CC,8,23.14,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSPMLMKKIMFFAB77CC,20,87.12,見其他登記事項,鋼骨鋼筋混凝土造,87年5月28日,三十二層,
RPRRMLPKKIMFFCB38CC,10,61.51,住家用,鋼筋混凝土造,96年9月7日,十五層,
RPRRMLPKKIMFFCB38CC,10,26.34,見其他登記事項,鋼筋混凝土造,96年9月7日,十五層,
RPUPMLPKKIMFFCB48CC,9,42.03,住家用,鋼筋混凝土造,97年11月27日,二十二層,
RPUPMLPKKIMFFCB48CC,9,32.09,見其他登記事項,鋼筋混凝土造,97年11月27日,二十二層,
RPPRMLPKKIMFFCB18CC,1,105.05,見其他登記事項,鋼筋混凝土造,105年12月23日,十四層,
RPPRMLPKKIMFFCB18CC,1,77.99,見其他登記事項,鋼筋混凝土造,105年12月23日,,
RPPRMLPKKIMFFCB18CC,1,22.47,見其他登記事項,鋼筋混凝土造,105年12月23日,十四層,
RPXPMLPKKIMFFCB78CC,11,29.43,住家用,鋼筋混凝土造,95年11月24日,十四層,
RPXPMLPKKIMFFCB78CC,11,13.25,見其他登記事項,鋼筋混凝土造,95年11月24日,十四層,
RPROMLPKKIMFFBB97CC,18,812.04,見其他登記事項,見其他登記事項,89年6月3日,一層,
