編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLPJJHNFFAE77CA,32,25.59,,鋼筋混凝土造,75年2月17日,十六層,十六層
RPROMLPJJHNFFAE77CA,32,3.38,,鋼筋混凝土造,75年2月17日,十六層,
RPROMLPJJHNFFAE77CA,32,8.40,,鋼筋混凝土造,75年2月17日,十六層,
RPUNMLNKKIMFFAE97CA,23,101.60,住家用,鋼筋混凝土造,84年1月26日,十六層,十一層
RPUNMLNKKIMFFAE97CA,23,51.15,見使用執照,鋼筋混凝土造,84年1月26日,十六層,
RPSNMLTJJHNFFAE18CA,1,162.66,見其它登記事項,見其它登記事項,106年2月10日,二十八層,十七層
RPSNMLTJJHNFFAE18CA,1,104.47,見其它登記事項,見其它登記事項,106年2月10日,二十八層,
RPWNMLPLKIMFFAE48CA,28,76.07,住家用,鋼筋混凝土造,79年1月22日,七層,一層 二層
RPWNMLPLKIMFFAE48CA,28,20.48,見使用執照,鋼筋混凝土造,79年1月22日,七層,
RPVOMLMKKIMFFBE18CA,43,77.91,,鋼筋混凝土造,63年11月7日,四層,一層
RPSNMLTLKIMFFAE48CA,36,96.86,,鋼筋混凝土造,70年12月30日,五層,二層
RPUNMLNKKIMFFBE08CA,11,111.71,住家用,鋼筋混凝土造,96年3月14日,三十層,十三層
RPUNMLNKKIMFFBE08CA,11,49.39,共有部分,鋼筋混凝土造,96年3月14日,三十層,
RPXNMLKLKIMFFAE08CA,12,150.24,住家用,鋼筋混凝土造,95年4月7日,十三層,十二層 十三層
RPXNMLKLKIMFFAE08CA,12,70.75,共有部分,鋼筋混凝土造,95年4月7日,十三層,
RPRNMLNKKIMFFAE67CA,23,92.31,住家用,鋼筋混凝土造,84年5月3日,二十二層,九層
RPRNMLNKKIMFFAE67CA,23,23.38,見使用執照,鋼筋混凝土造,84年5月3日,二十二層,
RPPNMLNKKIMFFBE57CA,38,286.85,,鋼筋混凝土造,69年4月10日,四層,一層 二層 三層 四層 地下層
RPUNMLPLKIMFFAE28CA,9,89.54,住家用,鋼筋混凝土造,97年8月26日,二十四層,十五層
RPUNMLPLKIMFFAE28CA,9,35.22,共有部分,鋼筋混凝土造,97年8月26日,二十四層,
RPTNMLLLKIMFFBE87CA,46,48.62,,鋼筋混凝土造,61年1月10日,四層,二層
RPTNMLLLKIMFFBE87CA,46,3.39,,鋼筋混凝土造,61年1月10日,四層,
RPVNMLSKKIMFFBE68CA,25,94.94,住家用,鋼筋混凝土造,81年7月20日,三層,一層 二層 三層 屋頂突出物
RPUNMLNKKIMFFCE18CA,24,250.55,住商用,鋼筋混凝土造,82年7月29日,四層,一層 二層 三層 四層 屋頂突出物 夾層
RPQNMLMKKIMFFCE67CA,22,82.08,住家用,鋼筋混凝土造,84年7月19日,七層,二層
RPQNMLMKKIMFFCE67CA,22,41.41,見使用執照,鋼筋混凝土造,84年7月19日,七層,
RPROMLLKKIMFFCE77CA,21,106.50,住家用,鋼筋混凝土造,85年12月31日,十二層,八層
RPROMLLKKIMFFCE77CA,21,35.17,見使用執照,鋼筋混凝土造,85年12月31日,十二層,
RPWNMLOKKIMFFCE48CA,,61.54,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,十四層
RPWNMLOKKIMFFCE48CA,,54.87,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,
RPROMLKLKIMFFCE77CA,,104.34,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,十三層
RPROMLKLKIMFFCE77CA,,70.25,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPSOMLSKKIMFFCE58CA,19,55.05,住家用,鋼筋混凝土造,87年9月19日,十四層,六層
RPSOMLSKKIMFFCE58CA,19,19.13,共有部份,鋼筋混凝土造,87年9月19日,十四層,
RPVNMLOKKIMFFCE38CA,,68.60,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,十四層
RPVNMLOKKIMFFCE38CA,,38.37,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,
RPSNMLMKKIMFFCE87CA,27,185.15,商業用,鋼筋混凝土造,80年3月20日,十二層,八層
RPSNMLMKKIMFFCE87CA,27,55.75,見使用執照,鋼筋混凝土造,80年3月20日,十二層,
RPUNMLOKKIMFFCE28CA,,84.48,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,三層
RPUNMLOKKIMFFCE28CA,,68.07,見其它登記事項,鋼筋混凝土造,106年8月9日,十五層,
