編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRRMLPKKIMFFGF09CB,正義段,25.27,都市：商
RPSRMLPKKIMFFGF56CB,正義段,24.89,都市：商
RPQRMLPKKIMFFGF98CB,正義段,24.89,都市：商
RPPRMLPKKIMFFGF88CB,正義段,24.89,都市：商
RPQSMLPKKIMFFGF09CB,正義段,43.55,都市：商
RPURMLPKKIMFFGF76CB,正義段,24.89,都市：商
RPXRMLPKKIMFFGF07CB,正義段,24.89,都市：商
RPSSMLPKKIMFFGF66CB,正義段,24.75,都市：商
RPPSMLPKKIMFFGF98CB,正義段,25.27,都市：商
RPTSMLPKKIMFFGF76CB,正義段,15.08,都市：商
RPRSMLPKKIMFFGF56CB,正義段,24.75,都市：商
RPVRMLPKKIMFFGF86CB,正義段,24.89,都市：商
RPWRMLPKKIMFFGF96CB,正義段,25.08,都市：商
RPVNMLSKKIMFFGF76CB,正義段,15.08,都市：商
RPPOMLSKKIMFFGF88CB,正義段,15.08,都市：商
RPQPMLSKKIMFFGF09CB,正義段,14.89,都市：商
RPPQMLSKKIMFFGF09CB,正義段,14.89,都市：商
RPUOMLSKKIMFFGF76CB,正義段,14.89,都市：商
RPRPMLSKKIMFFGF56CB,正義段,15.08,都市：商
RPVOMLSKKIMFFGF86CB,正義段,14.89,都市：商
RPWPMLSKKIMFFGF07CB,正義段,14.89,都市：商
RPTOMLSKKIMFFGF66CB,正義段,14.89,都市：商
RPROMLSKKIMFFGF09CB,正義段,15.08,都市：商
RPQQMLSKKIMFFGF56CB,正義段,15.52,都市：商
RPQOMLTKKIMFFGF09CB,正義段,15.63,都市：商
RPVQMLSKKIMFFGF07CB,正義段,15.57,都市：商
RPWNMLTKKIMFFGF96CB,正義段,15.82,都市：商
RPTQMLSKKIMFFGF86CB,正義段,15.95,都市：商
RPPOMLTKKIMFFGF98CB,正義段,15.08,都市：商
RPSQMLSKKIMFFGF76CB,正義段,15.57,都市：商
RPOOMLTKKIMFFGF88CB,正義段,15.57,都市：商
RPSNMLTKKIMFFGF56CB,正義段,15.63,都市：商
RPVNMLTKKIMFFGF86CB,正義段,15.82,都市：商
RPVOMLKLKIMFFBF28CB,新豐段,27.72,都市：商
RPXOMLKLKIMFFBF48CB,新豐段,13.92,都市：商
