編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLLKKIMFFEF58CC,公司田段,11.65,都市：住
RPPNMLLKKIMFFIF38CC,隆恩段,176.50,都市：農
RPPNMLLKKIMFFIF38CC,隆恩段,334.42,都市：農
RPUOMLLKKIMFFHF88CC,安邦段,.00,都市：工
RPUOMLLKKIMFFHF88CC,安邦段,.00,都市：工
RPVOMLLKKIMFFHF98CC,健康段,.00,都市：工
RPQNMLMKKIMFFGF38CC,重新段壹小段,.00,都市：商
RPPPMLLKKIMFFAF97EC,員和段,56.38,都市：其他
RPPPMLLKKIMFFAF97EC,員和段,175.84,都市：工
RPPPMLLKKIMFFAF97EC,員和段,404.63,都市：工
RPPPMLLKKIMFFAF97EC,員和段,36.68,都市：工
RPPPMLLKKIMFFAF97EC,員和段,.20,都市：其他
RPPPMLLKKIMFFBF87CC,國宅段,30.93,都市：住
RPUNMLMKKIMFFGF78CC,菜寮段,.00,都市：商
RPQOMLLKKIMFFHF48CC,公園段,.00,都市：商
RPOPMLLKKIMFFAF87EC,江子翠段第三崁小段,21.36,都市：住
RPWNMLMKKIMFFGF98CC,保佑段,.00,都市：其他
RPSPMLLKKIMFFAF28EC,光仁段,49.50,都市：住
RPTOMLMKKIMFFHF88CC,大仁段,.00,都市：住
RPWOMLMKKIMFFHF56CC,中安段,.00,都市：商
RPUOMLMKKIMFFHF98CC,信義段,.00,都市：商
RPXOMLMKKIMFFHF66CC,中安段,.00,都市：商
RPWNMLMKKIMFFEF78CC,海天段,.00,都市：工
RPOPMLMKKIMFFCF97CC,寶元段,93.64,都市：工
RPPPMLMKKIMFFCF08CC,復興段,76.08,都市：工
RPPQMLMKKIMFFBF08CC,合鳳段,.00,都市：工
RPPQMLMKKIMFFBF08CC,合鳳段,.00,都市：其他
RPWQMLMKKIMFFBF78CC,和平段,5.14,都市：住
RPOOMLMKKIMFFCF87CC,安坑段車子路小段,74.58,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTPMLMKKIMFFAF28CC,亞東段,241.75,都市：住
RPORMLMKKIMFFBF08CC,立德段,22.52,都市：住
RPQRMLMKKIMFFAF18CC,幸福段,.00,都市：商
RPSNMLNKKIMFFCF28CC,復興段,.00,都市：工
RPUNMLNKKIMFFCF48CC,中正段,.00,都市：其他
RPWNMLNKKIMFFCF68CC,中正段,.00,都市：其他
RPTNMLNKKIMFFCF38CC,中正段,.00,都市：其他
RPSOMLNKKIMFFCF38CC,中正段,.00,都市：其他
RPXNMLNKKIMFFCF78CC,中正段,.00,都市：其他
RPOOMLNKKIMFFCF97CC,中正段,.00,都市：其他
RPPOMLNKKIMFFCF08CC,中正段,.00,都市：其他
RPOPMLNKKIMFFCF08CC,中正段,.00,都市：其他
RPRPMLNKKIMFFCF38CC,中正段,.00,都市：其他
RPUPMLNKKIMFFCF68CC,中正段,.00,都市：其他
RPTPMLNKKIMFFCF58CC,中正段,.00,都市：其他
RPUOMLNKKIMFFCF58CC,中正段,.00,都市：其他
RPQPMLNKKIMFFCF28CC,中正段,.00,都市：其他
RPWOMLNKKIMFFCF78CC,中正段,.00,都市：其他
RPVPMLNKKIMFFCF78CC,中正段,.00,都市：其他
RPWPMLNKKIMFFCF88CC,中正段,.00,都市：其他
RPOQMLNKKIMFFCF18CC,中正段,.00,都市：其他
RPRQMLNKKIMFFCF48CC,中正段,.00,都市：其他
RPORMLNKKIMFFCF28CC,中正段,.00,都市：其他
RPUQMLNKKIMFFCF78CC,中正段,.00,都市：其他
RPSQMLNKKIMFFCF58CC,中正段,.00,都市：其他
RPVQMLNKKIMFFCF88CC,中正段,.00,都市：其他
RPQRMLNKKIMFFCF48CC,中正段,.00,都市：其他
RPXQMLNKKIMFFCF09CC,中正段,.00,都市：其他
RPPQMLNKKIMFFCF28CC,中正段,.00,都市：其他
RPPRMLNKKIMFFCF38CC,中正段,.00,都市：其他
RPTQMLNKKIMFFCF68CC,中正段,.00,都市：其他
