鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮冷泉路31~60號,81.31,住,,,1061130,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630701,92.6,4,3,2,有,無,2500000,26998,,0.0,0,,RPQNMLOKKIMFFAG87CA
冬山鄉,土地,香和段1171~1200地號,24.16,住,,,1061130,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,548130,22688,,0.0,0,,RPUNMLMKKIMFFAG08CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇港路367巷6弄1~30號,75.89,住,,,1061021,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650719,95.64,3,2,1,有,無,2700000,28231,,0.0,0,含增建或未登記建物。,RPPOMLMKKIMFFAG67CA
三星鄉,土地,福和段991~1020地號,11028.86,,特定農業區,農牧用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22057720,2000,,0.0,0,權利人共3人   親屬間買賣,RPQPMLNKKIMFFAG97CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮龍祥二路6巷61~90號,264.0,,工業區,丁種建築用地,1061111,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,1060531,169.09,1,0,1,有,無,7600000,44946,,0.0,0,,RPVNMLPKKIMFFAG48CA
蘇澳鎮,土地,慶安段481~510地號,427.27,住,,,1061114,土地18建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2585000,6050,,0.0,0,,RPVOMLPKKIMFFAG58CA
蘇澳鎮,土地,保安段511~540地號,114.06,住,,,1060920,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,11398,,0.0,0,親友、員工或其他特殊關係間之交易。本案買賣價含未辦保存房屋一棟。,RPRNMLTKKIMFFAG48CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮民生路111巷1~30號,24.0,住,,,1061123,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,84.3,3,2,2,有,無,3500000,41518,,0.0,0,,RPSOMLTKKIMFFAG68CA
冬山鄉,土地,義成八段841~870地號,527.02,農,,,1060817,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13800000,26185,,0.0,0,,RPQNMLPLKIMFFAG08CA
冬山鄉,土地,義成八段841~870地號,1299.49,農,,,1060817,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31500000,24240,,0.0,0,,RPSNMLPLKIMFFAG28CA
蘇澳鎮,土地,南安段2101~2130地號,55.0,住,,,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,36364,,0.0,0,1.姊弟買賣。2.地上房屋未辦保存登記。,RPXNMLRLKIMFFAG98CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中正南路121~150號,134.0,商,,,1061115,土地1建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0600202,332.76,11,2,3,有,無,21300000,64010,,0.0,0,,RPQOMLTLKIMFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉八仙五路136巷1~30號,105.0,,特定農業區,甲種建築用地,1061129,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060918,193.64,5,2,4,有,無,9700000,50093,,0.0,0,,RPVNMLPJJHNFFAG28CA
宜蘭市,土地,艮門一段121~150地號,79.01,其他,,,1061031,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,8227,,0.0,0,(包含)公共設施保留地之交易。,RPUNMLOKKIMFFBG38CA
宜蘭市,土地,艮門一段121~150地號,237.04,其他,,,1061031,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,3797,,0.0,0,(包含)公共設施保留地之交易。,RPVNMLOKKIMFFBG48CA
頭城鎮,土地,頭圍一段181~210地號,35.81,其他,,,1061205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,62832,,0.0,0,,RPRQMLLKKIMFFBG08CA
宜蘭市,土地,宜商段871~900地號,58.65,商,,,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5198484,88636,,0.0,0,,RPSOMLSKKIMFFBG68CA
宜蘭市,土地,宜商段871~900地號,44.75,商,,,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3942606,88103,,0.0,0,,RPTOMLSKKIMFFBG78CA
宜蘭市,土地,宜商段871~900地號,44.76,商,,,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3887279,86847,,0.0,0,,RPUOMLSKKIMFFBG88CA
宜蘭市,土地,宜商段871~900地號,44.77,商,,,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3874317,86538,,0.0,0,,RPVOMLSKKIMFFBG98CA
宜蘭市,土地,宜商段871~900地號,116.21,商,,,1061029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9733723,83760,,0.0,0,,RPWOMLSKKIMFFBG09CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市金六結路481~510號,16.7,住,,,1061021,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830303,89.93,2,2,1,有,有,3780000,42033,,0.0,0,,RPOPMLSKKIMFFBG38CA
礁溪鄉,土地,玉泉段661~690地號,2500.0,,特定農業區,農牧用地,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23000000,9200,,0.0,0,,RPPPMLSKKIMFFBG48CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,34.58,住,,,1061028,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,194.05,4,2,3,有,有,11200000,71940,坡道平面,52.96,1050000,,RPOOMLKLKIMFFBG57CA
礁溪鄉,土地,朝陽段391~420地號,1202.0,,一般農業區,農牧用地,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2496,,0.0,0,,RPQNMLNLKIMFFBG97CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉三星路三段91~120號,146.0,,特定農業區,甲種建築用地,1061130,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0580110,99.33,3,2,1,有,無,4500000,45304,,0.0,0,二等親買賣(兄妹),RPPPMLNKKIMFFAG08EA
南澳鄉,土地,鹿皮段841~870地號,6720.0,,山坡地保育區,農牧用地,1061123,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1209600,180,,0.0,0,,RPXOMLPKKIMFFAG98EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路361~390號,13.1,住,,,1061110,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841128,118.53999999999999,2,1,2,有,有,3050000,25730,,0.0,0,,RPTOMLOKKIMFFAG48EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市津梅路56巷38弄1~30號,22.37,住,,,1060710,土地2建物1車位0,四層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060724,54.49,1,1,1,有,有,3460000,63498,,0.0,0,,RPSOMLKKJHNFFBG77CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市凱旋路129巷1~30號,57.65,住,,,1061022,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000414,180.89999999999998,3,2,2,有,有,6800000,37590,坡道平面,0.0,0,,RPSNMLKLKIMFFBG87CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路91~120號,7.31,住,,,1061124,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870402,50.28,1,1,1,有,無,2800000,55688,,0.0,0,,RPVNMLLLKIMFFBG28CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市建蘭南路121~150號,205.22,住,,,1061016,土地1建物1車位2,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051109,418.94,4,3,4,有,無,28255000,67444,坡道平面,0.0,0,,RPOOMLTKKIMFFBG38CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路62巷1~30號,15.6,住,,,1061111,土地1建物1車位0,六層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1000919,66.88,1,1,1,有,無,5600000,83732,,0.0,0,,RPUNMLNKKIMFFBG28CA
員山鄉,土地,洲子段蚊子煙埔小段361~390地號,11670.0,,一般農業區,特定目的事業用地,1061106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26850000,2301,,0.0,0,,RPQNMLPKKIMFFBG08CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路160巷1~30號,38.24,,一般農業區,甲種建築用地,1061030,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840321,105.71,3,2,2,有,無,3850000,36420,,0.0,0,,RPPNMLMJJHNFFAG37CA
冬山鄉,土地,大進段451~480地號,2600.0,,一般農業區,農牧用地,1061023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7865000,3025,,0.0,0,,RPRNMLSJJHNFFAG18CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮聖愛路91~120號,116.23,住,,,1061102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670301,140.0,0,0,0,無,無,1980000,14143,,0.0,0,,RPTOMLQLKIMFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉境安一路67巷1~30號,137.08,,特定農業區,甲種建築用地,1061116,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0960202,203.85,4,2,5,有,無,9500000,46603,,0.0,0,壹樓空地，夾層及2樓露台有增建。,RPTNMLNLKIMFFAG18CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威南路1~30號,113.65,,特定農業區,甲種建築用地,1061115,土地1建物1車位0,一層，地下一層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840524,355.98,8,3,8,有,有,5900000,16574,,0.0,0,地下室，平台及露台有增建。,RPVNMLNLKIMFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結中路二段251巷1~30號,131.73,,鄉村區,乙種建築用地,1061108,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990519,193.04,4,2,3,有,無,9380000,48591,,0.0,0,,RPWNMLMLKIMFFAG38CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮信義路91~120號,37.87,住,,,1061116,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841023,130.69,3,2,2,有,無,2300000,17599,,0.0,0,,RPQPMLPKKIMFFAG18CA
冬山鄉,土地,義成六段631~660地號,77.9,,特定農業區,農牧用地,1060215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,141360,1815,,0.0,0,,RPRNMLOKKIMFFAG97CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮河濱路23巷3弄1~30號,82.58,,特定農業區,甲種建築用地,1061011,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700720,109.72,4,2,2,有,無,5550000,50583,,0.0,0,含增建或未登記建物。權利人共二人。,RPSNMLOKKIMFFAG08CA
冬山鄉,土地,水源段1021~1050地號,5824.12,,特定農業區,農牧用地,1061204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21120000,3626,,0.0,0,,RPVNMLOKKIMFFAG38CA
冬山鄉,土地,香和段1201~1230地號,67.32,住,,,1061106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1323679,19662,,0.0,0,,RPROMLOKKIMFFAG08CA
冬山鄉,土地,香和段1201~1230地號,49.71,其他,,,1061106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,977422,19662,,0.0,0,,RPSOMLOKKIMFFAG18CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮河濱路316巷1~30號,70.49,,特定農業區,甲種建築用地,1061114,土地1建物1車位1,四層，五層，夾層,五層,其他,住家用,鋼筋混凝土造,0840918,207.16,2,2,2,有,有,5800000,27998,一樓平面,0.0,0,重疊別墅,RPWOMLOKKIMFFAG58CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉公園三路31~60號,13.23,,特定農業區,甲種建築用地,1061111,土地1建物1車位0,八層,九層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840307,57.64,1,1,1,有,無,2150000,37300,,0.0,0,,RPSPMLNKKIMFFAG18CA
