編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLOKKIMFFBJ48CA,19,102.74,住家用,鋼筋混凝土造,87年10月2日,八層,三層
RPROMLOKKIMFFBJ48CA,19,.09,住家用,鋼筋混凝土造,87年10月2日,七層,
RPROMLOKKIMFFBJ48CA,19,8.70,共用部分,鋼筋混凝土造,87年10月2日,,
RPROMLOKKIMFFBJ48CA,19,.00,共用部分,鋼筋混凝土造,87年10月2日,七層,
RPROMLOKKIMFFBJ48CA,19,13.58,共用部分,鋼筋混凝土造,87年10月2日,,
RPROMLOKKIMFFBJ48CA,19,13.17,共用部分,鋼筋混凝土造,87年10月2日,八層,
RPWPMLLKKIMFFBJ78CA,2,151.29,住家用,鋼筋混凝土造,104年11月2日,二十七層,二十一層
RPWPMLLKKIMFFBJ78CA,2,177.23,見其他登記事項,鋼筋混凝土造,104年11月2日,二十七層,
RPPNMLSKKIMFFBJ58CA,,175.28,住家用,鋼筋混凝土造,106年9月11日,十九層,五層
RPPNMLSKKIMFFBJ58CA,,32.97,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPPNMLSKKIMFFBJ58CA,,117.77,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPTPMLLKKIMFFBJ48CA,12,.03,見其他登記事項,鋼筋混凝土造,94年9月23日,十五層,
RPTPMLLKKIMFFBJ48CA,12,24.71,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPTPMLLKKIMFFBJ48CA,12,92.47,住家用,鋼筋混凝土造,94年9月23日,十四層,十二層
RPTPMLLKKIMFFBJ48CA,12,10.88,共用部分,鋼筋混凝土造,94年9月23日,十四層,
RPTPMLLKKIMFFBJ48CA,12,19.15,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPQNMLSKKIMFFBJ68CA,,132.57,住家用,鋼筋混凝土造,106年9月11日,十九層,十層
RPQNMLSKKIMFFBJ68CA,,24.94,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPQNMLSKKIMFFBJ68CA,,105.67,見其他登記事項,鋼筋混凝土造,106年9月11日,十九層,
RPWNMLNKKIMFFBJ78CA,9,.02,見其他登記事項,鋼筋混凝土造,97年6月27日,十四層,一層
RPWNMLNKKIMFFBJ78CA,9,57.66,共用部分,鋼筋混凝土造,97年6月27日,十四層,
RPRNMLMJJHNFFCJ08CA,2,105.38,見其他登記事項,鋼筋混凝土造,104年10月19日,十三層,八層
RPRNMLMJJHNFFCJ08CA,2,18.72,見其他登記事項,鋼筋混凝土造,104年10月19日,十三層,
RPRNMLMJJHNFFCJ08CA,2,65.01,見其他登記事項,鋼筋混凝土造,104年10月19日,十三層,
RPPOMLPKKIMFFBJ38CA,16,.19,見其他登記事項,鋼筋混凝土造,91年4月19日,十層,
RPPOMLPKKIMFFBJ38CA,16,.03,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPPOMLPKKIMFFBJ38CA,16,23.80,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPPOMLPKKIMFFBJ38CA,16,91.62,商業用,鋼筋混凝土造,91年4月19日,十層,四層
RPPOMLPKKIMFFBJ38CA,16,13.98,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPPOMLPKKIMFFBJ38CA,16,12.89,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPQOMLRLKIMFFCJ88CA,22,65.14,住家用,鋼筋混凝土造,84年8月1日,十三層,十層
RPQOMLRLKIMFFCJ88CA,22,8.95,共有部份,鋼筋混凝土造,84年8月1日,十三層,
RPQOMLRLKIMFFCJ88CA,22,13.67,共有部份,鋼筋混凝土造,84年8月1日,十三層,
RPQOMLRLKIMFFCJ88CA,22,.15,見其他登記事項,鋼筋混凝土造,84年8月1日,十三層,
RPQOMLRLKIMFFCJ88CA,22,31.97,共有部份,鋼筋混凝土造,84年8月1日,十三層,
RPSNMLKLKIMFFBJ18CA,11,74.71,住家用,鋼筋混凝土造,95年5月19日,十五層,十層
RPSNMLKLKIMFFBJ18CA,11,9.66,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPSNMLKLKIMFFBJ18CA,11,20.28,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPSNMLKLKIMFFBJ18CA,11,.05,見其他登記事項,鋼筋混凝土造,95年5月19日,十五層,
RPSNMLKLKIMFFBJ18CA,11,16.50,共用部分,鋼筋混凝土造,95年5月19日,十五層,
RPOOMLOKKIMFFBJ18CA,6,221.25,住家用,鋼筋混凝土造,101年1月11日,三層,一層 二層 三層
RPUNMLTKKIMFFCJ66CA,12,203.19,住家用,鋼筋混凝土造,94年5月4日,四層,一層 二層 三層 四層
RPSOMLPKKIMFFBJ68CA,12,191.60,住家用,鋼筋混凝土造,94年8月23日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLMKKIMFFBJ08DA,,241.84,住商用,鋼筋混凝土造,106年6月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSPMLKLKIMFFBJ48DA,23,44.56,住家用,鋼筋混凝土造,83年9月2日,七層,七層
RPSPMLKLKIMFFBJ48DA,23,3.39,共用部分,鋼筋混凝土造,83年9月2日,七層,
RPSPMLKLKIMFFBJ48DA,23,5.59,共用部分,鋼筋混凝土造,83年9月2日,七層,
RPSNMLPKKIMFFDJ78CA,2,255.45,見其他登記事項,鋼筋混凝土造,104年8月18日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLPJJHNFFCJ68CA,,139.00,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPVNMLLLKIMFFDJ78CA,,213.26,住家用,鋼筋混凝土造,106年6月6日,四層,一層 二層 三層 四層
RPXNMLPJJHNFFCJ98CA,,132.21,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJJHNFFCJ88CA,,136.94,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJJHNFFCJ88CA,,146.45,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJJHNFFCJ88CA,,143.19,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJJHNFFCJ88CA,,138.72,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJJHNFFCJ88CA,,134.19,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPQOMLPJJHNFFCJ38CA,,133.49,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPOOMLPJJHNFFCJ18CA,,129.14,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPPOMLPJJHNFFCJ28CA,,133.29,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPPOMLMKKIMFFCJ18CA,2,.02,見其他登記事項,鋼筋混凝土造,104年7月13日,十四層,
RPPOMLMKKIMFFCJ18CA,2,16.90,共有部份,鋼筋混凝土造,104年7月13日,十四層,
RPPOMLMKKIMFFCJ18CA,2,84.97,見其他登記事項,鋼筋混凝土造,104年7月13日,十四層,六層
RPPOMLMKKIMFFCJ18CA,2,21.70,共有部份,鋼筋混凝土造,104年7月13日,十四層,
RPPOMLMKKIMFFCJ18CA,2,.00,共有部份,鋼筋混凝土造,104年7月13日,十四層,
RPPOMLMKKIMFFCJ18CA,2,27.08,共有部份,鋼筋混凝土造,104年7月13日,十四層,
RPOOMLRLJHNFFBJ48CA,,97.68,住家用,鋼筋混凝土造,106年9月15日,十四層,十二層
RPOOMLRLJHNFFBJ48CA,,84.17,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPSNMLQJJHNFFBJ48CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,五層
RPSNMLQJJHNFFBJ48CA,,84.93,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPRNMLQJJHNFFBJ38CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,四層
RPRNMLQJJHNFFBJ38CA,,84.93,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPTNMLQJJHNFFBJ58CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,六層
RPTNMLQJJHNFFBJ58CA,,116.62,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPUNMLQJJHNFFBJ68CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,七層
RPUNMLQJJHNFFBJ68CA,,84.93,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPVNMLQJJHNFFBJ78CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,九層
RPVNMLQJJHNFFBJ78CA,,84.93,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPWNMLQJJHNFFBJ88CA,,99.03,住家用,鋼筋混凝土造,106年9月15日,十四層,十層
RPWNMLQJJHNFFBJ88CA,,84.93,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPOOMLQJJHNFFBJ18CA,,65.59,住家用,鋼筋混凝土造,106年9月15日,十四層,二層
RPOOMLQJJHNFFBJ18CA,,66.89,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPPOMLQJJHNFFBJ28CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,三層
RPPOMLQJJHNFFBJ28CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPQOMLQJJHNFFBJ38CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,四層
RPQOMLQJJHNFFBJ38CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPXNMLQJJHNFFBJ98CA,,101.76,住家用,鋼筋混凝土造,106年9月15日,十四層,十四層
RPXNMLQJJHNFFBJ98CA,,86.43,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPVOMLQJJHNFFBJ88CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,九層
RPVOMLQJJHNFFBJ88CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPROMLQJJHNFFBJ48CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,五層
RPROMLQJJHNFFBJ48CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPTOMLQJJHNFFBJ68CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,七層
RPTOMLQJJHNFFBJ68CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPSOMLQJJHNFFBJ58CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,六層
RPSOMLQJJHNFFBJ58CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPUOMLQJJHNFFBJ78CA,,63.90,住家用,鋼筋混凝土造,106年9月15日,十四層,八層
RPUOMLQJJHNFFBJ78CA,,66.01,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPUNMLMLKIMFFCJ68CA,28,187.72,住家用,鋼筋混凝土造,79年4月23日,四層,一層 二層 三層 四層
RPXOMLQJJHNFFBJ09CA,,65.59,住家用,鋼筋混凝土造,106年9月15日,十四層,十四層
RPXOMLQJJHNFFBJ09CA,,66.89,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPPPMLQJJHNFFBJ38CA,,63.52,住家用,鋼筋混凝土造,106年9月15日,十四層,三層
RPPPMLQJJHNFFBJ38CA,,65.76,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPQPMLQJJHNFFBJ48CA,,63.52,住家用,鋼筋混凝土造,106年9月15日,十四層,四層
RPQPMLQJJHNFFBJ48CA,,65.76,見其他登記事項,鋼筋混凝土造,106年9月15日,十三層,
RPRPMLQJJHNFFBJ58CA,,63.52,住家用,鋼筋混凝土造,106年9月15日,十四層,五層
