鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
苗栗市,房地(土地+建物),苗栗縣苗栗市勝利里31鄰新東街121~150號,207.0,住,,,1061104,土地4建物2車位0,一層，二層,二層,店面(店鋪),住家用,加強磚造,,210.38,0,0,0,無,無,14680000,69778,,0.0,0,,RPUNMLMKKIMFFBK58CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市清華里12鄰長安街39巷1~30號,41.04,住,,,1061027,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031211,135.91,2,2,2,有,有,6680000,49150,一樓平面,0.0,0,,RPQNMLOKKIMFFBK38CA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里29鄰長春街1~30號,28.34,住,,,1060831,土地1建物1車位0,一層，見其他登記事項,,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0690615,97.25,1,1,1,有,無,3600000,37018,,0.0,0,,RPSNMLPKKIMFFBK68CA
苑裡鎮,土地,西海段301~330地號,1014.0,,特定農業區,農牧用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1550000,1529,,0.0,0,,RPQNMLSKKIMFFCK88CA
苑裡鎮,土地,西海段241~270地號,50.81,,鄉村區,乙種建築用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,29522,,0.0,0,有民情風俗因素之交易。,RPPNMLRLKIMFFCK78CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮正南里3鄰環市路一段138巷2弄1~30號,10.28,住,,,1061107,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841125,110.39,3,2,2,有,有,4000000,36235,,0.0,0,,RPVOMLLKKIMFFDK88CA
竹南鎮,土地,仁德段961~990地號,241.08,住,,,1060726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3901220,16182,,0.0,0,,RPXNMLMKKIMFFDK09CA
竹南鎮,土地,中興段271~300地號,1611.0,工,,,1061123,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50500000,31347,,0.0,0,,RPVNMLNKKIMFFDK98CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮山柑里10鄰山柑91~120號,49.36,,特定農業區,甲種建築用地,1061112,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050226,153.17,4,2,2,有,有,5475000,35745,,0.0,0,,RPTNMLSLKIMFFCK66CA
後龍鎮,土地,龍富段511~540地號,3601.5,住,,,1061110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,163418063,45375,,0.0,0,,RPQOMLOKKIMFFDK68CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮大庄里5鄰光華路509巷15弄1~30號,45.88,住,,,1060302,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060713,159.31,3,2,2,有,無,5600000,34480,坡道平面,11.4,500000,,RPUNMLMJJHNFFDK58CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮大庄里5鄰光華路509巷15弄1~30號,45.88,住,,,1050903,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060713,159.31,3,2,2,有,無,5600000,34480,坡道平面,11.4,500000,,RPVNMLMJJHNFFDK68CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮大庄里5鄰光華路509巷15弄1~30號,27.6,住,,,1050626,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060713,93.17999999999999,2,1,1,有,無,3300000,35415,,0.0,0,,RPWNMLMJJHNFFDK78CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮大庄里5鄰光華路509巷15弄1~30號,27.6,住,,,1050626,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060713,93.17999999999999,2,2,1,有,無,3400000,36489,,0.0,0,,RPVNMLTKJHNFFDK86CA
三義鄉,土地,三叉段121~150地號,1239.0,,山坡地保育區,林業用地,1061115,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2421,,0.0,0,,RPUNMLMKKIMFFEK88CA
銅鑼鄉,土地,九湖南段211~240地號,533.7,,山坡地保育區,丙種建築用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1178543,2208,,0.0,0,,RPVNMLMKKIMFFEK98CA
