編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLPLKIMFFAN09CA,1,241.31,見其他登記事項,鋼筋混凝土造,106年1月3日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLNKKIMFFCN88CA,37,103.99,住家用,鋼筋混凝土加強磚造,70年1月26日,二層,一層 二層
RPWNMLLLKIMFFGN96CA,25,182.04,住家用,鋼筋混凝土造,82年3月31日,三層,一層 二層 三層
RPXNMLPJJHNFFDN86CA,22,5.75,見其他登記事項,鋼筋混凝土造,84年10月7日,十二層,
RPXNMLPJJHNFFDN86CA,22,58.56,見其他登記事項,鋼筋混凝土造,84年10月7日,十二層,
RPXNMLPJJHNFFDN86CA,22,122.51,住家用,鋼筋混凝土造,84年10月7日,十二層,六層
RPSNMLMKKIMFFFN09CA,25,128.10,住家用,鋼筋混凝土造,81年5月28日,三層,一層 二層 三層
RPTNMLLKKIMFFGN56CA,36,103.80,見其他登記事項,見其他登記事項,71年4月20日,二層,一層 二層 騎樓
RPSNMLMKKIMFFGN56CA,24,229.25,農舍,鋼筋混凝土造,83年4月26日,三層,一層 二層 三層 見其他登記事項
RPPNMLOJJHNFFDN58CA,38,102.70,住家用,鋼筋混凝土加強磚造,69年5月8日,二層,一層 二層
RPTNMLNKKIMFFAN88DA,33,30.74,住家用,鋼筋混凝土造,74年1月10日,七層,三層
RPTNMLNKKIMFFAN88DA,33,7.42,見其他登記事項,鋼筋混凝土造,74年1月10日,七層,
RPQNMLNKKIMFFHN66DA,16,3333.79,見其他登記事項,鋼筋混凝土造,90年9月4日,五層,一層 二層 三層 四層 五層 地下層
RPQNMLSKKIMFFFN86CA,26,314.35,見其他登記事項,鋼筋混凝土造,81年5月11日,四層,一層 二層 三層 四層 騎樓
RPRNMLMKKIMFFFN98CA,,176.91,住宅,鋼筋混凝土造,106年8月14日,四層,一層 二層 三層 四層
RPQNMLOKKIMFFBN78DA,1,167.77,住家用,鋼筋混凝土造,105年10月11日,四層,一層 二層 三層 四層
RPQNMLNJJHNFFHN98CA,24,100.05,住家用,鋼筋混凝土造,83年3月11日,三層,一層 二層 三層
RPPNMLPLKIMFFHN76CA,,148.62,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPQNMLPLKIMFFHN86CA,,146.47,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPRNMLPLKIMFFHN96CA,,157.46,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPQNMLNKKIMFFFN98CA,24,159.01,見其他登記事項,鋼筋混凝土造,83年5月16日,三層,一層 二層 三層 騎樓
RPPNMLQKKIMFFHN76CA,,148.62,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPTNMLPLKIMFFHN17CA,,144.50,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPSNMLPLKIMFFHN07CA,,157.65,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPUNMLPLKIMFFHN27CA,,176.79,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPVNMLPLKIMFFHN37CA,,144.50,住家用,鋼筋混凝土造,106年9月8日,三層,一層 二層 三層 屋頂突出物
RPQNMLOJJHNFFDN68CA,20,89.60,住家用,鋼筋混凝土造,86年8月14日,七層,七層
RPQNMLOJJHNFFDN68CA,20,36.46,共有部分,鋼筋混凝土造,86年8月14日,七層,
RPUNMLOJJHNFFDN09CA,20,24.51,住家用,鋼筋混凝土造,87年3月12日,九層,九層
RPUNMLOJJHNFFDN09CA,20,9.64,見其他登記事項,鋼筋混凝土造,87年3月12日,九層,
RPPNMLNJJHNFFCN38CA,33,27.95,住家用,加強磚造,73年11月22日,一層,一層 騎樓
RPPNMLNJJHNFFCN38CA,33,59.69,住家用,加強磚造,73年11月22日,一層,一層 騎樓
RPWNMLPJJHNFFDN76CA,10,72.96,住家用,鋼筋混凝土造,97年4月3日,七層,七層 機械房
RPQNMLTLKIMFFDN86CA,24,80.17,住家用,鋼筋混凝土造,82年12月15日,七層,七層
RPWNMLPJJHNFFDN76CA,10,23.45,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPQNMLTLKIMFFDN86CA,24,10.91,見其他登記事項,鋼筋混凝土造,82年12月15日,七層,
RPWNMLPJJHNFFDN76CA,10,13.01,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPQNMLTLKIMFFDN86CA,24,9.95,共有部分,鋼筋混凝土造,82年12月15日,七層,
RPQOMLNKKIMFFDN88CA,24,73.26,住家用,鋼筋混凝土造,83年4月15日,十二層,八層
RPQOMLNKKIMFFDN88CA,24,24.94,見其他登記事項,鋼筋混凝土造,83年4月15日,十二層,
RPQNMLOKKIMFFCN78CA,25,108.80,見其他登記事項,見其他登記事項,82年5月11日,一層,一層
RPPNMLNKKIMFFCN58CA,3,175.70,見其他登記事項,鋼筋混凝土造,103年7月21日,三層,一層 二層 三層 見其他登記事項
RPPOMLMJJHNFFAN18CA,25,211.86,住家用,鋼筋混凝土造,81年12月15日,四層,一層 二層 三層 四層 騎樓 地下層
RPQOMLLLKIMFFAN48CA,34,88.70,住家用,鋼筋混凝土造,72年8月25日,二層,一層 二層
RPPPMLLLKIMFFAN48CA,23,73.31,住家用,鋼筋混凝土造,83年6月21日,十三層,六層
RPPPMLLLKIMFFAN48CA,23,33.03,見其他登記事項,鋼筋混凝土造,83年6月21日,十四層,
RPSNMLNKKIMFFBN78CA,2,136.51,住家用,鋼筋混凝土造,104年11月19日,三層,一層 二層 三層
RPRNMLPKKIMFFAN78CA,39,76.06,住家用,鋼筋混凝土加強磚造,68年3月23日,二層,一層 二層
RPVNMLSKKIMFFAN86CA,36,78.00,住商用,鋼筋混凝土加強磚造,70年6月22日,二層,一層 二層
RPRPMLNKKIMFFAN78CA,24,143.16,住家用,鋼筋混凝土造,82年10月15日,三層,一層 二層 三層
RPUNMLTLKIMFFAN96CA,36,73.38,住家用,鋼筋混凝土造,70年12月28日,五層,四層
RPVNMLOKKIMFFAN09CA,21,25.99,住家用,鋼筋混凝土造,86年2月26日,九層,八層
RPVNMLOKKIMFFAN09CA,21,18.18,見其他登記事項,鋼筋混凝土造,86年2月26日,九層,
RPQPMLLLKIMFFAN58CA,25,252.22,住家用,鋼筋混凝土造,82年2月10日,四層,一層 二層 三層 四層
RPXNMLRLKIMFFAN07CA,23,32.87,住家用,鋼筋混凝土造,84年5月24日,九層,四層
RPXNMLRLKIMFFAN07CA,23,11.45,見其他登記事項,鋼筋混凝土造,84年5月24日,九層,
RPTNMLOKKIMFFCN09CA,38,89.88,住家用,加強磚造,69年2月20日,二層,一層 二層
RPSNMLOKKIMFFCN98CA,38,79.52,見其他登記事項,加強磚造,69年2月15日,二層,一層 二層
RPXNMLLLKIMFFBN56CA,26,119.68,住家用,鋼筋混凝土造,80年4月30日,三層,一層 二層 三層
RPRNMLRLKIMFFBN56CA,11,181.13,見其他登記事項,鋼筋混凝土造,96年1月30日,四層,一層 二層 三層 四層
RPPNMLPKKIMFFCN78CA,30,135.41,住家用,鋼筋混凝土造,77年1月18日,三層,一層 二層 三層
RPQNMLTKKIMFFBN56CA,,201.01,住家用,鋼筋混凝土造,106年5月25日,四層,一層 二層 三層 四層
RPUNMLTLKIMFFBN07CA,33,83.52,住家用,鋼筋混凝土造,73年11月3日,二層,一層 二層
RPWNMLTLKIMFFAN17CA,20,58.70,住家用,鋼筋混凝土造,86年5月26日,十七層,十一層
RPWNMLTLKIMFFAN17CA,20,17.35,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPWNMLTLKIMFFAN17CA,20,5.78,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPWNMLTLKIMFFAN17CA,20,19.57,住家用,鋼筋混凝土造,86年5月26日,十七層,十一層
RPUNMLPKKIMFFDN76CA,,71.57,見其他登記事項,鋼筋混凝土造,106年7月6日,十層,一層
RPUNMLPKKIMFFDN76CA,,51.24,見其他登記事項,鋼筋混凝土造,106年7月6日,十層,
RPUNMLPKKIMFFDN76CA,,17.61,見其他登記事項,鋼筋混凝土造,106年7月6日,十層,
RPQOMLOKKIMFFDN98CA,33,159.90,住商用,鋼筋混凝土造,74年4月20日,七層,一層 二層 三層 騎樓
RPQOMLOKKIMFFDN98CA,33,45.86,見其他登記事項,鋼筋混凝土造,74年4月20日,七層,
RPQOMLOKKIMFFDN98CA,33,18.00,見其他登記事項,鋼筋混凝土造,74年4月20日,七層,
RPRNMLPJJHNFFCN78CA,1,194.22,見其他登記事項,鋼筋混凝土造,105年12月30日,四層,一層 二層 三層 四層
RPPNMLSKKIMFFDN56CA,42,93.74,住家用,鋼筋混凝土加強磚造,64年7月22日,二層,一層 二層
