鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,土地,士林段1~30地號,203.82,,鄉村區,乙種建築用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18618300,91347,,0.0,0,,RPVNMLLKKIMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市明湖路61~90號,93.0,住,,,1061119,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,107.48,6,3,3,有,無,6000000,55824,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRQMLMKKIMFFAO88CA
新竹市,土地,香濱段571~600地號,114.42,住,,,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7903000,69070,,0.0,0,,RPSQMLMKKIMFFAO98CA
新竹市,土地,香濱段571~600地號,64.41,住,,,1061115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4447000,69042,,0.0,0,,RPTQMLMKKIMFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路121~150號,15.25,住,,,1061030,土地4建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,115.77000000000001,3,2,1,有,有,5820000,50272,坡道平面,0.0,0,,RPUNMLNKKIMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市麗山街238巷11弄1~30號,131.29,,山坡地保育區,丙種建築用地,1061110,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1011217,202.86,4,2,3,有,有,11250000,55457,,0.0,0,,RPROMLNKKIMFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路1~30號,16.41,商,,,1061125,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880602,197.66,0,0,0,無,有,12000000,60710,坡道平面,23.15,0,,RPPPMLNKKIMFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段481~510號,12.72,住,,,1061022,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970520,146.85,3,2,2,有,有,6130000,41743,坡道平面,30.16,0,,RPTPMLOKKIMFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔路121~150號,8.97,住,,,1061123,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970131,90.87,1,2,1,有,有,3800000,41818,坡道平面,34.82,0,,RPOPMLPKKIMFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北門街151~180號,17.1,商,,,1061115,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040720,172.89,3,2,2,有,有,12550000,72590,坡道平面,36.37,0,,RPWQMLPKKIMFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路91~120號,12.94,商,,,1061101,土地1建物1車位1,十三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,182.06,4,2,2,有,有,12200000,67011,坡道平面,0.0,0,增建:陽台外推,RPRNMLQKKIMFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市柴橋路59巷61~90號,38.97,,山坡地保育區,丙種建築用地,1061115,土地5建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.26,3,2,2,有,有,4380000,44127,坡道機械,0.0,0,增建:一樓空地,雨遮,RPPNMLRKKIMFFAO88CA
新竹市,土地,和平段361~390地號,5.0,住,,,1061202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,357500,71500,,0.0,0,,RPUNMLLLKIMFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路1~30號,24.81,住,,,1061126,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040805,130.59,2,2,1,有,有,8500000,65089,坡道平面,35.06,0,,RPQPMLLLKIMFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市食品路121~150號,85.0,其他,,,1061113,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,152.94,0,0,0,無,無,34000000,222309,,0.0,0,所有權人共2位含增建或未登記建物。,RPTPMLMLKIMFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市立鵬路91~120號,12.94,商,,,1061113,土地1建物1車位1,十二層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031117,173.89,4,2,2,有,有,11680000,67173,坡道平面,0.0,0,增建:陽台外推,RPPNMLPLKIMFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市高翠路73巷2弄1~30號,70.91,住,,,1061113,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0890211,158.12,5,2,3,有,無,9980000,63117,,0.0,0,增建:防火巷,陽台外推,RPQNMLPLKIMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市建中路31~60號,28.66,住,,,1061023,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890930,141.6,3,2,2,有,有,8720000,61582,,0.0,0,,RPSNMLPLKIMFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市忠孝路27巷1~30號,26.22,其他,,,1061124,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1030828,221.01999999999998,4,2,2,有,有,14500000,65605,坡道平面,62.54,0,,RPOQMLPJJHNFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市中華路五段890巷1~30號,117.21,農,,,1061124,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040930,228.58,5,2,4,有,無,12250000,53592,,0.0,0,,RPPNMLPJJHNFFAO48CA
新竹市,房地(土地+建物),新竹市新竹市東南街239巷1~30號,28.6,住,,,1061022,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741021,88.38,3,2,2,有,有,5000000,56574,,0.0,0,,RPVQMLOJJHNFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市北大路54巷1~30號,69.38,住,,,1061106,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040506,263.78,5,3,7,有,無,25000000,94776,,0.0,0,新成屋尚未成立管委會,RPXNMLRJJHNFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市北大路54巷1~30號,69.38,住,,,1061106,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040506,263.78,5,3,7,有,無,26000000,98567,,0.0,0,新成屋尚未成立管委會,RPOOMLRJJHNFFAO68CA
新竹市,土地,士林段91~120地號,1745.31,,鄉村區,乙種建築用地,1061106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105588000,60498,,0.0,0,,RPPOMLQLKIMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市中華路六段67巷62弄1~30號,32.58,,山坡地保育區,丙種建築用地,1061123,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861030,125.25999999999999,2,2,2,有,有,3680000,29379,,0.0,0,,RPTNMLMLKIMFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市愛民街8巷1~30號,198.0,住,,,1061126,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0760925,239.52,37,0,37,有,無,36000000,150301,,0.0,0,,RPVNMLLLKIMFFAO98CA
新竹市,車位,新竹市新竹市新竹市食品路271~300號,3.04,住,,,1061110,土地0建物0車位1,,,其他,,,,26.69,0,0,0,有,有,1000000,,坡道平面,26.69,1000000,,RPXPMLKLKIMFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段531巷61~90號,18.94,住,,,1061126,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840503,101.05,3,2,2,有,有,6400000,63335,坡道機械,0.0,0,,RPQOMLKLKIMFFAO48CA
新竹市,土地,忠孝段841~870地號,1430.0,工,,,1061130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78500000,54895,,0.0,0,,RPVTMLTKKIMFFAO67CA
新竹市,房地(土地+建物),新竹市新竹市大湖路71巷61~90號,115.68,,山坡地保育區,丙種建築用地,1060925,土地39建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840901,173.19,4,2,3,有,有,5200000,30025,,0.0,0,,RPQNMLRKKIMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市南勢二街27巷1~30號,82.98,,鄉村區,乙種建築用地,1061015,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060901,198.81,4,1,3,有,有,15620000,78567,,0.0,0,,RPPNMLSKKIMFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市關新東路271~300號,66.77,住,,,1061031,土地2建物1車位1,一層，二層,二十六層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020710,387.42,2,0,2,有,有,71350000,184167,坡道平面,0.0,0,,RPTRMLTKKIMFFAO27CA
新竹市,土地,士林段61~90地號,202.5,,鄉村區,乙種建築用地,1060730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18350000,90617,,0.0,0,,RPRNMLOKKIMFFAO78CA
新竹市,土地,光復段1141~1170地號,134.0,其他,,,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26000000,194030,,0.0,0,市府協議價購。含未保存建物。,RPOOMLOKKIMFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光華二街72巷31~60號,21.25,住,,,1061115,土地2建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830423,120.92000000000002,2,2,1,有,有,5800000,47970,坡道平面,0.0,0,,RPSOMLOKKIMFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路92巷31~60號,33.98,住,,,1061103,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041005,223.94,4,2,2,有,有,17000000,75913,升降平面,0.0,0,,RPRPMLOKKIMFFAO98CA
新竹市,土地,美山段481~510地號,100.95,農,,,1061109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1762587,17460,,0.0,0,,RPORMLPKKIMFFAO98CA
