編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLLKKIMFFAO88CA,士林段,203.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSQMLMKKIMFFAO98CA,香濱段,114.42,都市：住
RPTQMLMKKIMFFAO09CA,香濱段,64.41,都市：住
RPRQMLMKKIMFFAO88CA,新興段,93.00,都市：住
RPTPMLOKKIMFFAO56CA,西濱段,12.72,都市：住
RPPPMLNKKIMFFAO68CA,榮光段三小段,8.08,都市：商
RPPPMLNKKIMFFAO68CA,榮光段三小段,8.33,都市：商
RPUNMLNKKIMFFAO98CA,復興段,1.06,都市：住
RPUNMLNKKIMFFAO98CA,復興段,13.35,都市：住
RPUNMLNKKIMFFAO98CA,復興段,.03,都市：其他
RPUNMLNKKIMFFAO98CA,復興段,.81,都市：住
RPOPMLPKKIMFFAO78CA,和平段,8.97,都市：住
RPROMLNKKIMFFAO78CA,柑林段,131.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLLLKIMFFAO68CA,國道段,24.81,都市：住
RPWQMLPKKIMFFAO07CA,北門段,17.10,都市：商
RPUNMLLLKIMFFAO88CA,和平段,5.00,都市：住
RPPNMLRKKIMFFAO88CA,明湖段,5.85,非都市：山坡地保育區 ; 非都市編定：水利用地
RPPNMLRKKIMFFAO88CA,明湖段,.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRKKIMFFAO88CA,明湖段,8.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRKKIMFFAO88CA,明湖段,16.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLRKKIMFFAO88CA,明湖段,8.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLQKKIMFFAO98CA,國道段,12.94,都市：商
RPTPMLMLKIMFFAO09CA,東山段一小段,85.00,都市：其他
RPPOMLQLKIMFFAO98CA,士林段,633.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLQLKIMFFAO98CA,士林段,1111.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPLKIMFFAO78CA,國道段,12.94,都市：商
RPSNMLPLKIMFFAO09CA,光復段,28.66,都市：住
RPQNMLPLKIMFFAO88CA,科學段一小段,70.91,都市：住
RPOQMLPJJHNFFAO68CA,東明段,26.22,都市：其他
