鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹市中正路157巷1~30號,0.0,商,,,1061123,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790503,22.15,1,1,1,有,無,有,6500,293,,0.0,0,,RPVNMLMKKIMFFAO56CC
新竹市,土地,高翠段421~450地號,206.13,住,,,1051024,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,20000,97,,0.0,0,,RPOPMLNKKIMFFAO78CC
新竹市,房地(土地+建物),新竹市新竹市民族路178巷1~30號,8.9,住,,,1061120,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961024,101.59,3,2,2,有,有,有,30000,295,,0.0,0,,RPSNMLNKKIMFFAO09DC
新竹市,建物,新竹市新竹市中華路二段211~240號,0.0,住,,,1061120,土地0建物1車位0,二層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020615,103.66,2,2,2,有,無,有,30000,289,,0.0,0,,RPTNMLOKKIMFFAO66DC
新竹市,建物,新竹市新竹市民族路178巷1~30號,0.0,住,,,1061120,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961024,82.54,3,2,2,有,有,有,30000,363,,0.0,0,,RPUNMLOKKIMFFAO76DC
新竹市,建物,新竹市新竹市關新二街61~90號,0.0,住,,,1061213,土地0建物1車位0,四層,5,辦公商業大樓,辦公室,鋼筋混凝土造,1020610,94.05,0,0,0,無,無,無,32000,340,,0.0,0,,RPUOMLOKKIMFFAO76CC
新竹市,建物,新竹市新竹市大同路1~30號,0.0,商,,,1060120,土地0建物1車位0,全,5,透天厝,住商用,加強磚造,,138.2,0,0,0,無,無,無,125000,904,,0.0,0,,RPVOMLOKKIMFFAO86CC
新竹市,建物,新竹市新竹市立鵬路91~120號,0.0,住,,,1060420,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0981006,177.45,0,0,0,無,有,無,60000,338,,0.0,0,,RPPPMLOKKIMFFAO98CC
新竹市,土地,民富段421~450地號,184.0,住,,,1060609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,45000,245,,0.0,0,,RPQPMLOKKIMFFAO09CC
新竹市,建物,新竹市新竹市北區中山路31~60號,0.0,商,,,1061211,土地0建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041030,162.61,4,2,2,有,有,有,45000,277,,0.0,0,,RPXQMLPKKIMFFAO37CC
新竹市,建物,新竹市新竹市中華路二段170巷31~60號,0.0,住,,,1061119,土地0建物1車位0,六層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951115,36.83,1,0,1,有,有,有,7700,209,,0.0,0,租金含管理費500元,RPQOMLPKKIMFFAO56DC
新竹市,建物,新竹市新竹市民生路151~180號,0.0,商,,,1061120,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860204,132.31,3,2,2,有,有,有,10000,76,,0.0,0,,RPROMLPKKIMFFAO66DC
新竹市,建物,新竹市新竹市光華二街108巷1~30號,0.0,住,,,1061119,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,49.07,1,1,1,有,無,有,10000,204,,0.0,0,,RPTOMLPKKIMFFAO86DC
新竹市,建物,新竹市新竹市經國路一段721~750號,0.0,住,,,1061127,土地0建物1車位0,九層,9,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0950701,34.06,1,0,1,有,有,有,12000,352,,0.0,0,租金含管理費1000元,RPXOMLTKKIMFFAO67DC
新竹市,建物,新竹市新竹市中華路六665巷1~30號,0.0,,鄉村區,乙種建築用地,1061122,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,106.8,3,2,2,有,無,無,10000,94,,0.0,0,,RPUOMLKLKIMFFAO09CC
新竹市,建物,新竹市新竹市華北路61~90號,0.0,住,,,1061124,土地0建物1車位0,一層,8,辦公商業大樓,住商用,鋼筋混凝土造,0830505,161.57,2,2,1,有,有,有,16000,99,,0.0,0,租金含管理費,RPXOMLKLKIMFFAO76CC
新竹市,建物,新竹市新竹市民生路10巷1~30號,0.0,住,,,1061124,土地0建物1車位0,二層,8,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0961001,53.16,1,1,1,有,有,有,15500,292,,0.0,0,租金含管理費網路第四台,RPOPMLKLKIMFFAO58CC
新竹市,建物,新竹市新竹市中華路三段31~60號,0.0,商,,,1061125,土地0建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860520,103.06,3,2,2,有,有,有,13500,131,,0.0,0,租金含管理費,RPPPMLKLKIMFFAO68CC
