鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
布袋鎮,房地(土地+建物),嘉義縣布袋鎮新南路61~90號,90.25,住,,,1061101,土地1建物1車位0,全,四層,透天厝,住商用,見其他登記事項,0840428,163.48,4,2,3,有,無,2300000,14069,,0.0,0,,RPPNMLMKKIMFFBQ68CA
東石鄉,土地,三塊厝新段871~900地號,2021.8,,一般農業區,農牧用地,1061201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,99,,0.0,0,,RPPNMLNLKIMFFBQ88CA
朴子市,土地,德安段2011~2040地號,68.02,其他,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1428420,21000,,0.0,0,,RPQNMLKMKIMFFBQ78CA
大林鎮,房地(土地+建物),嘉義縣大林鎮吉林里6鄰中山路17巷1~30號,83.98,住,,,1061101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650324,86.0,3,1,2,有,無,2650000,30814,,0.0,0,,RPRNMLMKKIMFFCQ98CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉文隆村建國路二段151~180號,64.87,住,,,1061101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700407,106.96,3,2,2,有,無,1620000,15146,,0.0,0,,RPUNMLMKKIMFFCQ66CA
溪口鄉,土地,溪口段溪口小段91~120地號,2465.0,,特定農業區,農牧用地,1061101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2834750,1150,,0.0,0,,RPPNMLNKKIMFFCQ88CA
溪口鄉,土地,溪口段溪口小段121~150地號,2303.0,農,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3454500,1500,,0.0,0,,RPQNMLNKKIMFFCQ98CA
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂村埤角1~30號,19.62,住,,,1061001,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830808,110.34,3,2,2,有,有,3380000,30633,坡道機械,0.0,0,,RPVOMLTLKIMFFCQ67CA
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂村埤角1~30號,19.62,住,,,1061001,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830808,110.34,3,2,2,有,有,3360000,30451,坡道機械,0.0,0,,RPWOMLTLKIMFFCQ77CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉福樂村埤角1~30號,95.76,住,,,1061101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830426,174.72,4,2,3,有,無,5000000,28617,,0.0,0,,RPPNMLOJJHNFFCQ78CA
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和興村武德街91~120號,80.62,住,,,1061001,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0860805,200.74,4,3,4,有,無,5000000,24908,,0.0,0,,RPVNMLSKKIMFFDQ47CA
中埔鄉,土地,灣潭子段211~240地號,20559.0,,山坡地保育區,農牧用地,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,180,,0.0,0,,RPPNMLPKKIMFFDQ56CA
太保市,房地(土地+建物),嘉義縣太保市舊埤里新埤1~30號,128.8,,特定農業區,甲種建築用地,1061101,土地4建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050726,309.08,5,2,2,有,無,11760000,38048,,0.0,0,,RPWNMLNKKIMFFDQ07CA
中埔鄉,土地,三層崎段151~180地號,1002.3,,山坡地保育區,林業用地,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,80,,0.0,0,,RPQNMLPKKIMFFDQ66CA
中埔鄉,土地,隆興段211~240地號,20.49,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45078,2200,,0.0,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,RPQNMLTKKIMFFDQ07CA
中埔鄉,土地,隆興段211~240地號,7.96,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,68456,8600,,0.0,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,RPRNMLTKKIMFFDQ17CA
中埔鄉,土地,隆興段211~240地號,19.11,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21021,1100,,0.0,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,RPSNMLTKKIMFFDQ27CA
中埔鄉,土地,隆興段211~240地號,29.67,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32637,1100,,0.0,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,RPTNMLTKKIMFFDQ37CA
中埔鄉,土地,隆興段211~240地號,21.54,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23694,1100,,0.0,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,RPUNMLTKKIMFFDQ47CA
布袋鎮,房地(土地+建物),嘉義縣布袋鎮復興里13鄰新塭1~30號,92.23,,鄉村區,乙種建築用地,1061001,土地1建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0700619,164.74,3,1,2,有,無,1600000,9712,,0.0,0,,RPUNMLNKKIMFFBQ76DA
水上鄉,房地(土地+建物),嘉義縣水上鄉水頭村中興路181~210號,193.0,住,,,1061101,土地1建物1車位0,全,一層,透天厝,商業用,見其他登記事項,0881118,101.2,3,1,1,有,無,5500000,54348,,0.0,0,,RPPNMLNKKIMFFDQ09DA
鹿草鄉,土地,鹿北段1381~1410地號,37.31,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,472500,12664,,0.0,0,,RPRNMLPKKIMFFDQ86DA
太保市,土地,嘉新段1021~1050地號,107.07,住,,,1061101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5263562,49160,,0.0,0,,RPQNMLQLKIMFFDQ96DA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興村7鄰三興二街31~60號,102.32,住,,,1061101,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960719,232.04,8,1,8,有,無,6600000,28443,,0.0,0,,RPQNMLNJJHNFFCQ78CA
民雄鄉,土地,民工段61~90地號,144.0,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,27778,,0.0,0,,RPUNMLNJJHNFFCQ56CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村集福街37巷1~30號,101.26,住,,,1061101,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701229,111.71,4,2,2,有,無,1800000,16113,,0.0,0,,RPWNMLNJJHNFFCQ76CA
