編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLTLKIMFFCQ77CA,23,75.34,見其他登記事項,鋼筋混凝土造,83年8月8日,十一層,七層
RPWOMLTLKIMFFCQ77CA,23,15.71,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPWOMLTLKIMFFCQ77CA,23,19.30,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPVOMLTLKIMFFCQ67CA,23,75.34,見其他登記事項,鋼筋混凝土造,83年8月8日,十一層,五層
RPVOMLTLKIMFFCQ67CA,23,15.71,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPVOMLTLKIMFFCQ67CA,23,19.30,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPPNMLMKKIMFFBQ68CA,23,163.48,住商用,見其他登記事項,84年4月28日,四層,一層 二層 三層 四層
RPRNMLMKKIMFFCQ98CA,42,86.00,住家用,鋼筋混凝土加強磚造,65年3月24日,二層,一層 二層
RPUNMLMKKIMFFCQ66CA,37,106.96,住家用,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層 騎樓 電梯樓梯間
RPVNMLSKKIMFFDQ47CA,20,200.74,見其他登記事項,鋼筋混凝土造,86年8月5日,四層,一層 二層 三層 四層 地下層
RPPNMLNKKIMFFDQ09DA,18,101.20,商業用,見其他登記事項,88年11月18日,一層,一層
RPWNMLNKKIMFFDQ07CA,1,309.08,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPPNMLOJJHNFFCQ78CA,24,174.72,住家用,鋼筋混凝土造,83年4月26日,三層,一層 二層 三層 電梯樓梯間
RPUNMLNKKIMFFBQ76DA,36,164.74,住商用,見其他登記事項,70年6月19日,三層,一層 二層 三層 騎樓
RPQNMLNJJHNFFCQ78CA,10,232.04,見其他登記事項,鋼筋混凝土造,96年7月19日,四層,一層 二層 三層 四層
RPWNMLNJJHNFFCQ76CA,36,111.71,住家用,鋼筋混凝土加強磚造,70年12月29日,二層,一層 二層
RPXNMLOKKIMFFDQ27CA,,162.87,住家用,鋼筋混凝土造,106年7月10日,三層,一層 二層 三層 見其他登記事項
RPQOMLTLKIMFFCQ17CA,,200.65,見其他登記事項,鋼筋混凝土造,106年9月23日,三層,一層 二層 三層 見其他登記事項
RPOOMLTLKIMFFCQ96CA,,200.50,見其他登記事項,鋼筋混凝土造,106年9月23日,三層,一層 二層 三層 見其他登記事項
RPROMLTLKIMFFCQ27CA,,203.72,見其他登記事項,鋼筋混凝土造,106年9月23日,三層,一層 二層 三層 見其他登記事項
RPPOMLTLKIMFFCQ07CA,,197.64,見其他登記事項,鋼筋混凝土造,106年9月23日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKKIMFFCQ76CA,1,265.81,住家用,鋼筋混凝土造,106年2月8日,三層,一層 二層 三層
RPUNMLOKKIMFFBQ76CA,,212.06,見其他登記事項,鋼筋混凝土造,106年6月7日,四層,一層 二層 三層 四層
RPXNMLNKKIMFFBQ96CA,16,20.33,住家用,鋼筋混凝土造,91年4月23日,四層,三層
RPXNMLNKKIMFFBQ96CA,16,1.94,共有部份,鋼筋混凝土造,91年4月23日,四層,
RPXNMLNKKIMFFBQ96CA,16,5.12,共有部份,鋼筋混凝土造,91年4月23日,四層,
RPTNMLNKKIMFFCQ66CA,,304.36,見其他登記事項,鋼筋混凝土造,106年6月22日,四層,一層 二層 三層 四層
RPPNMLKMKIMFFBQ68CA,11,165.89,見其他登記事項,鋼筋混凝土造,95年8月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLOKKIMFFCQ56CA,36,96.98,住家用,鋼筋混凝土加強磚造,71年3月15日,二層,一層 二層
RPSNMLPKKIMFFDQ86CA,26,157.47,住家用,鋼筋混凝土造,80年12月31日,三層,一層 二層 三層 騎樓
RPRNMLSKKIMFFDQ07CA,1,157.17,住家用,鋼筋混凝土造,106年1月11日,三層,一層 二層 三層 見其他登記事項
RPPNMLQJJHNFFBQ88CA,10,516.78,見其他登記事項,鋼筋混凝土造,96年9月10日,五層,一層 二層 三層 四層 五層 地下一層
RPPNMLQJJHNFFBQ88CA,10,27.84,共有部份,鋼筋混凝土造,96年9月10日,五層,
RPQNMLLLKIMFFDQ98CA,13,17.13,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,三層
RPQNMLLLKIMFFDQ98CA,13,5.89,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
SPQNMLLLKIMFFDQ09CA,13,17.13,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,三層
SPQNMLLLKIMFFDQ09CA,13,5.89,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPRNMLLLKIMFFDQ09CA,12,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPRNMLLLKIMFFDQ09CA,12,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
SPRNMLLLKIMFFDQ56CA,12,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
SPRNMLLLKIMFFDQ56CA,12,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPTNMLTKKIMFFCQ47EA,39,123.66,工業用,鋼筋混凝土加強磚造,67年7月5日,二層,一層 二層 騎樓 電梯樓梯間
RPUOMLTLKIMFFCQ57CA,37,97.20,住商用,鋼筋混凝土加強磚造,70年3月15日,二層,一層 二層 騎樓
RPRNMLLLKIMFFCQ98CA,23,189.98,住商用,鋼筋混凝土造,83年11月3日,五層,一層 二層 三層 四層 五層
RPSNMLRLKIMFFDQ27DA,39,95.24,住家用,鋼筋混凝土加強磚造,68年3月2日,二層,一層 二層
RPSNMLSKKIMFFEQ27CA,31,194.49,住商用,鋼筋混凝土加強磚造,75年12月8日,三層,一層 二層 三層 騎樓
RPRNMLMJJHNFFDQ88CA,20,102.87,住家用,鋼造,87年2月27日,一層,一層
RPTNMLTJJHNFFCQ07CA,37,79.80,住家用,磚造,70年3月13日,一層,一層
RPQNMLKLKIMFFDQ88CA,38,88.82,住家用,鋼筋混凝土加強磚造,69年3月1日,二層,一層 二層
RPRNMLTJJHNFFCQ86CA,,212.11,住家用,鋼筋混凝土造,106年9月26日,四層,一層 二層 三層 四層
RPVNMLTKKIMFFDQ67DA,17,33.58,住商用,鋼筋混凝土造,90年5月8日,三層,一層 二層 三層 騎樓
RPRNMLNJJHNFFCQ88CA,34,188.79,住家用,鋼筋混凝土加強磚造,72年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPUNMLKLKIMFFCQ56CA,23,194.14,住家用,鋼筋混凝土造,83年9月5日,四層,一層 二層 三層 四層 電梯樓梯間 夾層
RPVNMLKLKIMFFCQ66CA,1,231.18,住家用,鋼筋混凝土造,105年6月28日,四層,一層 二層 三層 四層
RPPNMLNLKIMFFCQ98CA,23,48.61,住商用,鋼筋混凝土造,83年10月4日,五層,一層 二層 三層 騎樓
RPTNMLSJJHNFFBQ86CA,2,204.01,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
RPQNMLPLKIMFFCQ86EA,,193.38,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPRNMLPLKIMFFCQ96EA,,172.42,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLPLKIMFFCQ76EA,,179.67,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPUNMLPLKIMFFCQ27EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPTNMLPLKIMFFCQ17EA,,191.94,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPVNMLPLKIMFFCQ37EA,,172.42,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPWNMLPLKIMFFCQ47EA,,191.94,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPOOMLPLKIMFFCQ76EA,,193.52,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPXNMLPLKIMFFCQ57EA,,174.95,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLKMKIMFFDQ88CA,22,198.57,住家用,鋼筋混凝土造,84年5月18日,四層,一層 二層 三層 四層
RPUNMLSJJHNFFBQ96CA,2,203.08,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
RPQOMLPLKIMFFCQ96EA,,174.89,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPSOMLPLKIMFFCQ17EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLQLKIMFFCQ96EA,,191.94,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPRNMLKKJHNFFCQ88EA,35,61.95,見其他登記事項,鋼筋混凝土造,72年2月4日,三層,三層
RPSNMLKKJHNFFCQ98EA,35,61.14,見其他登記事項,鋼筋混凝土造,72年2月4日,三層,三層
RPTOMLPLKIMFFCQ27EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPUOMLPLKIMFFCQ37EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPROMLPLKIMFFCQ07EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPRNMLQLKIMFFCQ07EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPXNMLLLKIMFFDQ17DA,37,93.88,住家用,鋼筋混凝土加強磚造,69年6月26日,二層,一層 二層 騎樓
RPRNMLPLKIMFFDQ86CA,17,144.63,住家用,鋼筋混凝土造,90年3月13日,三層,一層 二層 三層
RPPOMLPLKIMFFCQ86EA,,174.95,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPSNMLPLKIMFFCQ07EA,,171.64,見其他登記事項,鋼筋混凝土造,106年10月20日,三層,一層 二層 三層 見其他登記事項
RPVNMLOJJHNFFDQ86CA,1,157.86,住家用,鋼筋混凝土造,106年1月11日,三層,一層 二層 三層 見其他登記事項
RPRNMLSLKIMFFDQ17CA,41,106.86,住家用,鋼筋混凝土加強磚造,66年2月1日,二層,一層 二層
RPRNMLPKJHNFFEQ76CA,25,52.05,住家用,鋼筋混凝土造,82年4月1日,十八層,二層
RPRNMLPKJHNFFEQ76CA,25,2.45,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPRNMLPKJHNFFEQ76CA,25,10.16,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPWOMLQKJHNFFCQ27CA,16,188.06,住家用,鋼筋混凝土造,90年12月28日,四層,一層 二層 三層 四層
RPQNMLQJJHNFFDQ56CA,24,105.09,住家用,木造,82年10月28日,二層,一層 二層
