鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,房地(土地+建物),屏東縣屏東市大連路11巷3弄181~210號,111.0,住,,,1061120,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0781226,162.16,4,2,3,有,無,6300000,38851,,0.0,0,,RPVOMLLKKIMFFAT86CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市華正路57巷61~90號,31.16,住,,,1061109,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821231,144.2,3,2,2,有,有,3250000,22538,坡道平面,0.0,0,,RPWOMLLKKIMFFAT96CA
萬丹鄉,土地,萬後段31~60地號,550.75,農,,,1060725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1920000,3486,,0.0,0,法拍優先購買權案,RPRNMLMKKIMFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市迪化一街31~60號,19.84,住,,,1061108,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800724,104.18,3,2,2,有,有,2280000,21885,,0.0,0,,RPTNMLMKKIMFFAT66CA
屏東巿,房地(土地+建物),屏東縣屏東市自立南路121~150號,6.01,住,,,1061129,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850523,37.4,1,0,1,有,無,900000,24064,,0.0,0,,RPUNMLMKKIMFFAT76CA
長治鄉,房地(土地+建物),屏東縣長治鄉瑞源路211~240號,17.45,住,,,1061127,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0850607,112.82000000000001,3,2,2,有,無,2000000,17727,,0.0,0,,RPPNMLNKKIMFFAT98CA
屏東巿,土地,溝美段661~690地號,6.36,住,,,1061107,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152570,23989,,0.0,0,,RPPOMLNKKIMFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市建豐路192巷1~30號,96.0,住,,,1061108,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0671026,135.97,3,1,2,有,無,6150000,45231,,0.0,0,,RPROMLNKKIMFFAT66CA
屏東巿,房地(土地+建物),屏東縣屏東市歸仁路4巷31~60號,117.24,,鄉村區,乙種建築用地,1061122,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0690502,109.88,4,2,2,有,無,4450000,40499,,0.0,0,,RPXOMLOKKIMFFAT37CA
麟洛鄉,土地,麟孝段901~930地號,68.48,住,,,1061205,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,10222,,0.0,0,本案土地申報書資料系由當事人提供屬實兄弟間共有人買賣案,RPQNMLPKKIMFFAT66CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉成功街二段10巷1~30號,227.0,住,,,1061109,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650217,117.8,4,2,1,有,無,3000000,25467,,0.0,0,含增建或未登記建物。,RPXNMLPKKIMFFAT37CA
長治鄉,房地(土地+建物),屏東縣長治鄉新民街61~90號,76.21,住,,,1061111,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841124,173.94,4,2,2,有,無,4000000,22996,,0.0,0,,RPSNMLTKKIMFFAT27CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉保惠街211~240號,114.6,住,,,1061124,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060829,167.07,4,2,4,有,無,7630000,45669,,0.0,0,,RPPOMLKLKIMFFAT88CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉保惠街237巷1~30號,170.6,住,,,1061124,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060829,256.7,5,2,5,有,無,9580000,37320,,0.0,0,,RPROMLKLKIMFFAT09CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉保惠街237巷1~30號,170.6,住,,,1061124,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060829,219.4,5,2,4,有,無,10000000,45579,,0.0,0,,RPTOMLKLKIMFFAT66CA
萬丹鄉,土地,萬惠段991~1020地號,12.0,住,,,1061127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,144000,12000,,0.0,0,,RPUOMLKLKIMFFAT76CA
九如鄉,土地,九如段361~390地號,1105.0,,特定農業區,農牧用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2262,,0.0,0,,RPQPMLKLKIMFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市海豐1~30號,120.34,,鄉村區,乙種建築用地,1061109,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680829,96.7,4,2,2,有,無,3300000,34126,,0.0,0,,RPPNMLQLKIMFFAT76CA
九如鄉,土地,惠農段961~990地號,318.82,,鄉村區,乙種建築用地,1061103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3620000,11354,,0.0,0,,RPQNMLQLKIMFFAT86CA
屏東巿,土地,北勢段781~810地號,1808.0,,一般農業區,農牧用地,1060901,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18100000,10011,,0.0,0,,RPVOMLQLKIMFFAT47CA
fa72埔鄉,土地,彭新段241~270地號,175.09,,鄉村區,乙種建築用地,1061120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,10566,,0.0,0,,RPPNMLMKKIMFFBT98CA
fa72埔鄉,土地,彭新段241~270地號,204.61,,鄉村區,乙種建築用地,1061116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,10752,,0.0,0,,RPRNMLMKKIMFFBT56CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉壽比路241~270號,7.16,,鄉村區,乙種建築用地,1061128,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0920501,32.15,1,1,1,有,有,638000,19844,,0.0,0,,RPVOMLLKKIMFFCT07CA
內埔鄉,土地,南寧段1321~1350地號,1314.72,住,,,1061127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31816000,24200,,0.0,0,,RPXNMLMKKIMFFCT27CA
內埔鄉,土地,新北勢段241~270地號,2600.0,,一般農業區,農牧用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,1500,,0.0,0,,RPROMLMKKIMFFCT76CA
潮州鎮,土地,五魁段301~330地號,1264.0,,一般農業區,農牧用地,1061106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,3165,,0.0,0,,RPUNMLOKKIMFFCT17CA
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇東路121~150號,25.17,住,,,1061117,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830812,157.98000000000002,3,1,1,有,無,2900000,18357,坡道平面,0.0,0,,RPVOMLMKKIMFFCT17CA
竹田鄉,土地,過溝段481~510地號,1801.27,,特定農業區,農牧用地,1061127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,2498,,0.0,0,,RPPNMLOKKIMFFCT66CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學興路66巷61~90號,173.7,住,,,1061108,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1060810,214.9,6,2,5,有,無,12700000,59097,,0.0,0,,RPVNMLTKKIMFFCT77CA
內埔鄉,房地(土地+建物),屏東縣內埔鄉學興路42巷61~90號,126.1,住,,,1061121,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1060810,202.83,5,2,5,有,無,11220000,55317,,0.0,0,,RPTNMLTKKIMFFCT57CA
