鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌村13鄰太昌路541~570號,108.77,,鄉村區,乙種建築用地,1061123,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880916,187.08,4,2,3,有,無,8220000,43938,,0.0,0,,RPTNMLOKKIMFFAU96CA
秀林鄉,土地,佳民段811~840地號,3335.0,,山坡地保育區,農牧用地,1061031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2350000,705,,0.0,0,,RPUNMLOKKIMFFAU07CA
花蓮市,房地(土地+建物),花蓮縣吉安鄉自強路571~600號,232.0,住,,,1061106,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0711203,295.0,9,0,10,有,無,29500000,100000,,0.0,0,,RPTOMLMKKIMFFAU86CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十一街1~30號,23.84,住,,,1061101,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840516,126.61,3,2,2,有,有,5000000,39491,,0.0,0,,RPXOMLMKKIMFFAU27CA
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二路31~60號,218.78,商,,,1061121,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060911,297.55,4,2,5,有,無,12880000,43287,,0.0,0,,RPPNMLNKKIMFFAU09CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街91~120號,15.22,住,,,1061114,土地1建物2車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840919,83.78,2,1,1,有,無,4100000,48944,,0.0,0,,RPQNMLNKKIMFFAU56CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南昌北路1~30號,14.28,住,,,1061127,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840414,48.150000000000006,1,1,1,有,無,2000000,41537,,0.0,0,,RPWNMLNKKIMFFAU17CA
秀林鄉,土地,下台地段661~690地號,2480.7,,一般農業區,農牧用地,1061130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,322,,0.0,0,,RPROMLTKKIMFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興一街411巷4弄1~30號,84.0,住,,,1061104,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0831124,269.15,4,2,5,有,無,8300000,30838,,0.0,0,,RPTOMLTKKIMFFAU57CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段721~750號,5.63,住,,,1061204,土地1建物1車位0,十層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840819,28.58,1,1,1,有,有,1500000,52484,,0.0,0,,RPOOMLMJJHNFFAU78CA
花蓮市,房地(土地+建物),花蓮縣花蓮市東興二街12巷31~60號,104.0,住,,,1061121,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951227,204.28,5,2,4,有,無,10800000,52869,,0.0,0,,RPVOMLSJJHNFFAU47CA
卓溪鄉,土地,清水段121~150地號,8642.0,,山坡地保育區,農牧用地,1021205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,463,,0.0,0,,RPQNMLMKKIMFFCU66CA
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中山路一段211~240號,15.78,住,,,1061130,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,150.16,2,2,2,有,有,6850000,45618,坡道平面,0.0,0,,RPQQMLOJJHNFFAU86DA
花蓮市,土地,德安段571~600地號,6.0,其他,,,1061204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,183600,30600,,0.0,0,,RPQOMLMKKIMFFAU76EA
花蓮市,房地(土地+建物),花蓮縣花蓮市國興二街121~150號,16.16,住,,,1061107,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771129,79.7,2,2,1,有,無,3300000,41405,,0.0,0,,RPOPMLSKKIMFFAU17DA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮仁愛路一段271~300號,109.0,住,,,1061011,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700822,129.14,3,1,2,有,無,4500000,34846,,0.0,0,,RPPNMLNKKIMFFCU66CA
富里鄉,土地,東里段871~900地號,499.3,,特定農業區,農牧用地,1061206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,290000,581,,0.0,0,,RPQNMLNKKIMFFCU76CA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮自由街1~30號,190.0,住,,,1061204,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0420101,20.16,0,0,0,無,無,1262100,62604,,0.0,0,有民情風俗因素之交易。,RPSNMLNKKIMFFCU96CA
鳳林鎮,房地(土地+建物),花蓮縣鳳林鎮中美路1~30號,137.0,住,,,1061120,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0551015,92.8,4,2,2,有,無,2700000,29095,,0.0,0,,RPPNMLNKKIMFFBU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮市商校街121~150號,158.0,住,,,1061127,土地2建物2車位0,一層，二層，三層，四層，屋頂突出物，騎樓,四層,店面(店鋪),住家用,鋼筋混凝土造,1060724,477.34,7,2,11,有,無,47000000,98462,,0.0,0,,RPTOMLSJJHNFFAU27CA
新城鄉,房地(土地+建物),花蓮縣新城鄉復興路187巷31~60號,89.0,住,,,1061113,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050204,196.83,4,2,5,有,無,11600000,58934,,0.0,0,,RPUOMLSJJHNFFAU37CA
壽豐鄉,土地,烏杙段61~90地號,1173.38,農,,,1061123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1704,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLPLKIMFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市民生路31~60號,298.0,商,,,1061130,土地2建物2車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950703,681.28,5,2,7,有,無,35000000,51374,,0.0,0,,RPSNMLQLKIMFFAU17CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路645巷31~60號,106.0,,特定農業區,甲種建築用地,1061118,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940131,186.12,3,2,4,有,無,7850000,42177,,0.0,0,,RPWOMLKLKIMFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路121~150號,101.0,住,,,1061204,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0650423,87.2,3,2,2,有,無,3500000,40138,,0.0,0,親友間之交易。,RPXNMLNKKIMFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街31~60號,54.28,,鄉村區,乙種建築用地,1061118,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880414,142.13,4,2,2,有,有,3600000,25329,,0.0,0,,RPXOMLSKKIMFFAU87CA
花蓮市,房地(土地+建物),花蓮縣花蓮市林園二街1~30號,35.17,住,,,1061124,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840417,140.74,3,2,2,有,有,5250000,37303,,0.0,0,,RPWNMLOKKIMFFAU27CA
新城鄉,房地(土地+建物),花蓮縣新城鄉華興街148巷5弄1~30號,91.0,,鄉村區,乙種建築用地,1061120,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700525,93.12,4,2,2,有,無,3800000,40808,,0.0,0,,RPSOMLOKKIMFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街181~210號,325.0,住,,,1061121,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0660831,122.13,2,2,2,有,無,20000000,163760,,0.0,0,,RPPNMLPKKIMFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮市水源街91巷1~30號,99.71,住,,,1061030,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960213,156.35,4,2,3,有,無,10680000,68308,,0.0,0,,RPQNMLPKKIMFFAU76CA
秀林鄉,土地,玻士岸段1501~1530地號,1070.37,農,,,1060929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,280,,0.0,0,,RPRNMLPKKIMFFAU86CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉志新街151~180號,1190.24,農,,,1061006,土地1建物1車位0,一層，二層，三層，屋頂突出物,三層,農舍,農舍,鋼筋混凝土造,1051005,303.09,5,2,6,有,無,15600000,,,0.0,0,,RPSNMLPKKIMFFAU96CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉廣豐三街91~120號,119.77,,特定農業區,甲種建築用地,1061128,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690207,100.87,3,2,1,有,無,5800000,57500,,0.0,0,,RPPOMLPKKIMFFAU76CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中順街45巷15弄1~30號,30.06,住,,,1061130,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821006,121.47999999999999,3,2,2,有,無,4800000,39513,,0.0,0,,RPPNMLOKKIMFFAU56CA
新城鄉,房地(土地+建物),花蓮縣新城鄉民享街61~90號,14.28,住,,,1061123,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850306,45.019999999999996,1,1,1,有,無,1600000,35540,,0.0,0,,RPWNMLRLKIMFFAU67CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街61~90號,10.06,商,,,1061203,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831117,70.68,2,2,1,有,有,3300000,46689,,0.0,0,,RPSOMLRLKIMFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明義五街31~60號,21.86,,鄉村區,乙種建築用地,1061106,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060816,70.67,3,0,3,有,有,4200000,59431,,0.0,0,,RPWOMLQLKIMFFAU67CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉光華村南濱路一段511~540號,69.63,,工業區,丁種建築用地,1061101,土地1建物1車位0,一層,六層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050307,196.91,0,0,1,無,無,15000000,76177,,0.0,0,,RPWNMLLLKIMFFAU07CA
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里路151~180號,86.0,住,,,1061111,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840906,190.78,3,3,3,有,無,6700000,35119,,0.0,0,,RPROMLLLKIMFFAU66CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁一街129巷1~30號,77.0,住,,,1061120,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690719,74.8,2,2,2,有,無,3900000,52139,,0.0,0,,RPPOMLMJJHNFFAU88CA
光復鄉,土地,大安段391~420地號,2713.0,,特定農業區,農牧用地,1061116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1216,,0.0,0,包含標的土地上之一切地上物在內併同移轉。,RPQNMLOKKIMFFBU76CA
鳳林鎮,土地,北林段1321~1350地號,2781.05,,特定農業區,農牧用地,1061124,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1259,,0.0,0,,RPPNMLPKKIMFFBU76CA
豐濱鄉,土地,東興段601~630地號,57.62,,風景區,丙種建築用地,1061117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,2603,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLKLKIMFFBU98CA
光復鄉,土地,水廣段1201~1230地號,2513.48,,一般農業區,農牧用地,1061106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3750000,1492,,0.0,0,,RPQNMLKLKIMFFBU09CA
花蓮市,房地(土地+建物),花蓮縣吉安鄉北昌二街1~30號,43.29,其他,,,1061129,土地1建物1車位0,一層，夾層，地下層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870414,199.60000000000002,2,2,2,有,無,8000000,40080,,0.0,0,,RPWOMLSJJHNFFAU57CA
