編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLNKKIMFFAU09CA,,297.55,住家用,鋼筋混凝土造,106年9月11日,三層,二層 三層 一層 騎樓 見其他登記事項
RPXOMLMKKIMFFAU27CA,22,83.45,住家用,鋼筋混凝土造,84年5月16日,八層,三層
RPXOMLMKKIMFFAU27CA,22,43.16,共有部份,鋼筋混凝土造,84年5月16日,八層,
RPQNMLNKKIMFFAU56CA,22,14.18,停車空間,鋼筋混凝土造,84年9月19日,六層,防空避難室
RPQNMLNKKIMFFAU56CA,22,46.35,住家用,鋼筋混凝土造,84年9月19日,六層,六層
RPQNMLNKKIMFFAU56CA,22,22.56,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPQNMLNKKIMFFAU56CA,22,.69,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPTOMLMKKIMFFAU86CA,35,295.00,住商用,鋼筋混凝土造,71年12月3日,三層,一層 二層 三層 屋頂突出物 騎樓
RPWNMLNKKIMFFAU17CA,23,31.85,住家用,鋼筋混凝土造,84年4月14日,五層,三層
RPWNMLNKKIMFFAU17CA,23,16.30,共有部份,鋼筋混凝土造,84年4月14日,五層,
RPPNMLNKKIMFFCU66CA,36,129.14,住商用,鋼筋混凝土加強磚造,70年8月22日,二層,一層 二層 騎樓
RPTOMLTKKIMFFAU57CA,23,269.15,住家用,鋼筋混凝土造,83年11月24日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPVOMLSJJHNFFAU47CA,11,204.28,住家用,鋼筋混凝土造,95年12月27日,三層,一層 二層 三層 夾層
RPTNMLOKKIMFFAU96CA,18,187.08,住家用,鋼筋混凝土造,88年9月16日,三層,一層 二層 三層
RPOOMLMJJHNFFAU78CA,22,21.16,住家用,鋼筋混凝土造,84年8月19日,十一層,十層
RPOOMLMJJHNFFAU78CA,22,7.42,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPSNMLNKKIMFFCU96CA,65,20.16,住家用,磚造,42年1月1日,一層,一層
RPXOMLSKKIMFFAU87CA,19,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層
RPXOMLSKKIMFFAU87CA,19,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPXOMLSKKIMFFAU87CA,19,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPOPMLSKKIMFFAU17DA,29,59.29,住家用,鋼筋混凝土造,77年11月29日,七層,三層
RPOPMLSKKIMFFAU17DA,29,20.41,共有部份,鋼筋混凝土造,77年11月29日,七層,
RPUOMLSJJHNFFAU37CA,2,196.83,住家用,鋼筋混凝土造,105年2月4日,四層,一層 二層 三層 四層
RPWOMLKLKIMFFAU07CA,13,186.12,住家用,鋼筋混凝土造,94年1月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLOKKIMFFAU27CA,23,106.80,住家用,鋼筋混凝土造,84年4月17日,六層,二層
RPWNMLOKKIMFFAU27CA,23,20.36,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPWNMLOKKIMFFAU27CA,23,13.59,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPSOMLOKKIMFFAU96CA,36,93.12,住家用,鋼筋混凝土加強磚造,70年5月25日,二層,一層 二層
RPPNMLPKKIMFFAU66CA,40,122.13,住家用,鋼筋混凝土加強磚造,66年8月31日,一層,陽台 一層
RPQNMLPKKIMFFAU76CA,11,156.35,住家用,鋼筋混凝土造,96年2月13日,三層,一層 二層 三層
RPPNMLNKKIMFFBU56CA,51,92.80,住家用,鋼筋混凝土加強磚造,55年10月15日,二層,一層 二層
RPPOMLPKKIMFFAU76CA,38,100.87,住家用,鋼筋混凝土加強磚造,69年2月7日,二層,一層 二層
RPQQMLOJJHNFFAU86DA,22,107.65,住家用,鋼筋混凝土造,85年2月16日,十五層,十三層
RPQQMLOJJHNFFAU86DA,22,28.00,共有部份,鋼筋混凝土造,85年2月16日,十五層,
RPQQMLOJJHNFFAU86DA,22,14.51,共有部份,鋼筋混凝土造,85年2月16日,十五層,
RPPNMLOKKIMFFAU56CA,24,87.83,住家用,鋼筋混凝土造,82年10月6日,六層,五層
RPPNMLOKKIMFFAU56CA,24,33.65,共有部份,鋼筋混凝土造,82年10月6日,六層,
RPSNMLQLKIMFFAU17CA,11,340.64,住家用,鋼筋混凝土造,95年7月3日,四層,一層 二層 三層 四層
RPSNMLQLKIMFFAU17CA,11,340.64,住家用,鋼筋混凝土造,95年7月3日,四層,一層 二層 三層 四層
RPTOMLSJJHNFFAU27CA,,71.39,見其他登記事項,鋼筋混凝土造,106年7月24日,一層,一層 騎樓
RPTOMLSJJHNFFAU27CA,,405.95,住家用,鋼筋混凝土造,106年7月24日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPXNMLNKKIMFFAU27CA,42,87.20,住商用,鋼筋混凝土加強磚造,65年4月23日,二層,一層 二層 騎樓
RPSNMLPKKIMFFAU96CA,1,303.09,農舍,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 屋頂突出物
RPWNMLRLKIMFFAU67CA,22,36.69,住家用,鋼筋混凝土造,85年3月6日,五層,四層
RPWNMLRLKIMFFAU67CA,22,8.33,共有部份,鋼筋混凝土造,85年3月6日,五層,
RPWOMLQLKIMFFAU67CA,,55.22,見其他登記事項,鋼筋混凝土造,106年8月16日,五層,四層
RPWOMLQLKIMFFAU67CA,,15.45,共有部份,鋼筋混凝土造,106年8月16日,五層,
RPSOMLRLKIMFFAU37CA,23,53.10,住家用,鋼筋混凝土造,83年11月17日,七層,三層
RPSOMLRLKIMFFAU37CA,23,17.58,共有部份,鋼筋混凝土造,83年11月17日,七層,
