鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕十七街1~30號,6.54,住,,,1061210,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840831,34.7,1,0,1,有,有,有,6500,187,,0.0,0,,RPXNMLMKKIMFFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南昌北路1~30號,12.72,住,,,1061202,土地1建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840414,42.88,0,0,0,無,有,有,7000,163,,0.0,0,,RPSOMLMKKIMFFAU96CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠四街61~90號,24.93,住,,,1061202,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870416,91.16,2,2,1,有,有,有,12500,137,,0.0,0,,RPWOMLMKKIMFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮市公正街31~60號,6.3,商,,,1061210,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830630,47.83,1,0,1,有,無,有,6700,140,,0.0,0,,RPOOMLNKKIMFFAU66CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉建國路二段472巷1~30號,134.0,住,,,1061201,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,124.56,3,1,2,有,無,有,15000,120,,0.0,0,,RPRNMLOKKIMFFAU96CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉興六街61~90號,3596.46,,特定農業區,農牧用地,1061201,土地1建物1車位0,見其他登記事項,1,農舍,農舍,見其他登記事項,0990824,223.85,0,0,0,無,無,有,33000,,,0.0,0,,RPSNMLOKKIMFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路16巷1~30號,176.0,住,,,1061215,土地3建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770909,139.73,1,2,2,有,無,無,15000,107,,0.0,0,,RPTOMLPKKIMFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街241~270號,64.0,住,,,1061201,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0600113,88.8,3,1,2,有,無,無,11000,124,,0.0,0,,RPWOMLPKKIMFFAU67CC
花蓮市,土地,四維段331~360地號,64.1,農,,,1061120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,7500,117,,0.0,0,,RPWNMLSKKIMFFAU87CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉北昌五街61~90號,109.0,住,,,1061215,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0720716,98.4,3,2,2,有,無,有,14000,142,,0.0,0,,RPRNMLTKKIMFFAU57DC
