¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥xªF¥«,¤g¦a,¿³¦w¬q31~60¦a¸¹,274.64,¦í,,,1061027,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7728130,28139,,0.0,0,,RPPOMLLKKIMFFAV09CA
¨õ«n¶m,¤g¦a,©M¥­¬q511~540¦a¸¹,1959.4,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,1061120,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,900000,459,,0.0,0,,RPXNMLMKKIMFFAV27CA
¨õ«n¶m,¤g¦a,¾ý¯»¬q511~540¦a¸¹,222.21,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,1061127,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,330000,1485,,0.0,0,,RPQOMLMKKIMFFAV66CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«§ó¥Í¸ô151«Ñ1~30¸¹,7.92,¦í,,,1061121,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤­¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830302,26.24,0,0,0,µL,µL,850000,32393,,0.0,0,,RPSNMLNKKIMFFAV86CA
¥xªF¥«,¤g¦a,±`¼w¬q421~450¦a¸¹,462.19,¦í,,,1061006,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10000000,21636,,0.0,0,,RPPNMLOKKIMFFAV66CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¤¤¿³¸ô¤G¬q450«Ñ28§Ë1~30¸¹,17.0,¦í,,,1061103,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤E¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850628,102.11,3,1,2,¦³,µL,3200000,31339,,0.0,0,,RPOOMLOKKIMFFAV66CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥««w¶§µó15«Ñ1~30¸¹,89.0,¦í,,,1060719,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0680426,101.26,4,2,2,¦³,µL,1674100,16533,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPUNMLOKKIMFFAV17CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥««w¶§µó31~60¸¹,90.0,¦í,,,1060719,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0680301,113.83,3,2,2,¦³,µL,1885800,16567,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPWNMLOKKIMFFAV37CA
¤Ó³Â¨½¶m,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤¨õ«n¶mÀs¬u¸ô53«Ñ1~30¸¹,10.39,¦í,,,1061118,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0840714,38.72,0,0,0,µL,µL,500000,12913,,0.0,0,,RPPNMLTKKIMFFDV47CA
¥xªF¥«,¤g¦a,¥ú©ú¬q301~330¦a¸¹,704.43,¨ä¥L,,,1061026,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1775174,2520,,0.0,0,¨óÄ³»ùÁÊ,RPPOMLMKKIMFFAV66DA
¦À¤W¶m,¤g¦a,¸U´Â¬q661~690¦a¸¹,4276.8,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1061122,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4918320,1150,,0.0,0,,RPPNMLMKKIMFFCV76DA
©µ¥­¶m,¤g¦a,±d·½¬q961~990¦a¸¹,102.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1061204,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,300000,2941,,0.0,0,,RPPNMLNKKIMFFCV86DA
¤Ó³Â¨½¶m,¤g¦a,¥_·Ë¬q1~30¦a¸¹,167.9,¦í,,,1060930,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2800000,16677,,0.0,0,,RPQNMLRKKIMFFDV37CA
¦¨¥\Âí,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤¦¨¥\Âí¤­Åv¸ô121~150¸¹,111.91,¦í,¦í¦v°Ï,,1061127,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0750130,148.37,6,2,2,¦³,µL,3500000,23590,,0.0,0,,RPPNMLPLKIMFFBV96CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«§ó¥Í¸ô689«Ñ16§Ë1~30¸¹,83.0,¦í,,,1061122,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0680209,98.88,2,2,2,¦³,µL,4100000,41464,,0.0,0,,RPRNMLOKKIMFFAV86CA
¨õ«n¶m,¤g¦a,¤U»«®Ô¬q751~780¦a¸¹,170.91,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,1061127,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,399000,2335,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPUNMLNKKIMFFAV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¤j¦P¸ô121~150¸¹,1.02,°Ó,,,1061124,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,¤E¼h,¿ì¤½°Ó·~¤j¼Ó,°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0831124,15.77,0,0,0,¦³,¦³,400000,25365,,0.0,0,,RPXNMLNKKIMFFAV37CA
¥xªF¥«,¤g¦a,®g°¨¤z¬q31~60¦a¸¹,899.17,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,1061107,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5200000,5783,,0.0,0,,RPTNMLOKKIMFFAV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¸k»·¸ô¤G¬q131«Ñ1§Ë1~30¸¹,20.48,¦í,,,1061109,¤g¦a2«Øª«1¨®¦ì0,¤­¼h,¤­¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0860926,72.67,2,2,1,¦³,µL,2400000,33026,,0.0,0,,RPSNMLTKKIMFFAV47CA
¥xªF¥«,¤g¦a,´¶Àuº¿¬q781~810¦a¸¹,133.0,¦í,,,1061108,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2735000,20564,,0.0,0,,RPSNMLOKKIMFFAV96CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«·s®iµó23«Ñ3§Ë1~30¸¹,20.65,¦í,,,1061106,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850628,119.02,3,2,2,¦³,µL,3400000,28567,,0.0,0,,RPQNMLNKKIMFFAV66CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªF¥«¥|ºû¸ô¤T¬q59«Ñ1~30¸¹,13.65,¦í,,,1061116,¤g¦a1«Øª«2¨®¦ì0,¤Q¥|¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830419,102.88,3,1,2,¦³,µL,3600000,34992,,0.0,0,,RPXNMLOKKIMFFAV47CA
¥xªF¥«,¤g¦a,¥xªF¬q631~660¦a¸¹,50.0,¦í,,,1061125,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1720000,34400,,0.0,0,,RPQNMLPKKIMFFAV86CA
ªøÀØ¶m,¤g¦a,¥ÃºÖ¬q871~900¦a¸¹,5618.59,,­·´º°Ï,¹Aªª¥Î¦a,1061109,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3370000,600,,0.0,0,,RPPNMLOKKIMFFBV76CA
