鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金沙鎮,土地,保生段1~30地號,83.95,住,,,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,33353,,0.0,0,,RPQNMLMLKIMFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,60.1,住,,,1061113,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,108.16,3,2,2,有,無,6300000,58247,,0.0,0,,RPRNMLMLKIMFFAW86CA
金湖鎮,房地(土地+建物),金門縣金湖鎮湖前241~270號,124.52,住,,,1061207,土地3建物3車位0,三層，見其他登記事項,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041230,300.08,3,2,2,有,無,13800000,45988,,0.0,0,,RPQNMLSKKIMFFAW37DA
金城鎮,土地,泗湖村段31~60地號,179.0,住,,,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,7542,,0.0,0,,RPVNMLMLKIMFFAW27CA
金沙鎮,土地,擎天段1411~1440地號,131.0,其他,,,1061205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,19084,,0.0,0,,RPTNMLSKKIMFFAW57CA
金湖鎮,房地(土地+建物),金門縣金湖鎮巿港三路151~180號,12.93,住,,,1061201,土地1建物1車位0,一層,八層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1060412,80.75999999999999,0,0,1,無,無,8000000,99059,,0.0,0,,RPPOMLMJJHNFFAW09CA
金湖鎮,房地(土地+建物),金門縣金湖鎮巿港三路151~180號,12.68,住,,,1061201,土地1建物1車位0,一層,八層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1060412,77.78999999999999,0,0,0,無,無,8000000,102841,,0.0,0,,SPPOMLMJJHNFFAW56CA
金湖鎮,房地(土地+建物),金門縣金湖鎮巿港三路151~180號,23.01,住,,,1061114,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060412,118.11,0,0,0,無,無,7900000,66887,,0.0,0,,RPPNMLNJJHNFFAW09CA
金湖鎮,房地(土地+建物),金門縣金湖鎮巿港三路151~180號,9.37,住,,,1061114,土地1建物1車位0,六層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060412,52.400000000000006,1,1,1,有,無,3200000,61069,,0.0,0,,SPPNMLNJJHNFFAW56CA
金湖鎮,房地(土地+建物),金門縣金湖鎮巿港三路151~180號,17.67,住,,,1061114,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060412,91.66,0,0,0,無,無,6000000,65459,,0.0,0,,TPPNMLNJJHNFFAW66CA
