鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
馬公市,土地,北極段781~810地號,141.39,商,,,1061120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,13084,,0.0,0,土地增值稅168411元整由買受人負擔繳納,RPRNMLOKKIMFFAX07CA
湖西鄉,土地,湖西南段751~780地號,263.8,,鄉村區,乙種建築用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,5118,,0.0,0,,RPPNMLPKKIMFFAX96CA
湖西鄉,土地,鼎灣新段691~720地號,8.2,,一般農業區,交通用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31980,3900,,0.0,0,協議價購(一般農業區交通用地),RPPNMLLLKIMFFAX66CA
湖西鄉,土地,許家段1~30地號,315.02,,一般農業區,農牧用地,1061019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1905,,0.0,0,,RPRNMLKKJHNFFAX56CA
湖西鄉,土地,東石新段121~150地號,6.1,,一般農業區,交通用地,1061212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23809,3903,,0.0,0,協議價購(一般農業區交通用地),RPXNMLTJJHNFFAX97CA
湖西鄉,土地,沙港北段661~690地號,81.44,,一般農業區,農牧用地,1061201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,4298,,0.0,0,,RPOOMLMJJHNFFAX56DA
馬公市,土地,山水東段181~210地號,290.58,,一般農業區,農牧用地,1061130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,2065,,0.0,0,,RPUNMLSKKIMFFAX77CA
馬公市,房地(土地+建物),澎湖縣馬公市三多路121~150號,212.44,住,,,1061122,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0780123,331.15,4,1,3,有,無,35000000,105692,,0.0,0,,RPPNMLSKKIMFFAX27CA
西嶼鄉,土地,合界段151~180地號,200.09,,鄉村區,乙種建築用地,1061211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,2749,,0.0,0,,RPRNMLSKKIMFFAX47CA
白沙鄉,房地(土地+建物),澎湖縣白沙鄉大赤崁361~390號,66.34,,鄉村區,乙種建築用地,1061124,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0760209,130.2,3,3,4,有,無,1100000,8449,,0.0,0,,RPSNMLSKKIMFFAX57CA
湖西鄉,土地,鼎灣新段691~720地號,8.2,,一般農業區,交通用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31980,3900,,0.0,0,,RPQNMLLLKIMFFAX76CA
湖西鄉,土地,鼎灣新段631~660地號,6.04,,一般農業區,農牧用地,1061213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23570,3902,,0.0,0,協議價購(一般農業區農牧用地、交通用地),RPUNMLMLKIMFFAX27CA
湖西鄉,土地,鼎灣新段661~690地號,6.04,,一般農業區,農牧用地,1061213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23570,3902,,0.0,0,協議價購(一般農業區 農牧用地、交通用地),RPVNMLMLKIMFFAX37CA
馬公市,房地(土地+建物),澎湖縣馬公市林森路61~90號,31.15,住,,,1061205,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870925,112.01,3,2,1,有,無,4800000,42853,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLTLKIMFFAX87CA
馬公市,土地,五福段871~900地號,841.98,,一般農業區,農牧用地,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48800000,57959,,0.0,0,權利人共5人含未來興建五戶之房屋價款,RPPNMLKKJHNFFAX98CA
湖西鄉,房地(土地+建物),澎湖縣湖西鄉湖西151~180號,107.98,,鄉村區,乙種建築用地,1061125,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830810,147.61,4,2,4,有,無,3500000,23711,,0.0,0,,RPRNMLMJJHNFFAX66CA
湖西鄉,土地,東石新段571~600地號,71.06,,一般農業區,交通用地,1061213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,277134,3900,,0.0,0,協議價購(一般農業區農牧用地、交通用地),RPPNMLMLKIMFFAX76CA
湖西鄉,土地,鼎灣新段661~690地號,6.04,,一般農業區,農牧用地,1061213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23570,3902,,0.0,0,協議價購(一般農業區農牧用地、交通用地),RPTNMLMLKIMFFAX17CA
馬公市,土地,雙湖段781~810地號,457.36,,一般農業區,農牧用地,1061121,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3036000,6638,,0.0,0,,RPPNMLPLKIMFFAX17DA
湖西鄉,土地,尖山南段151~180地號,1384.68,,一般農業區,農牧用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5643000,4075,,0.0,0,,RPPNMLQLKIMFFAX27DA
湖西鄉,土地,成功北段31~60地號,17.56,,鄉村區,乙種建築用地,1061204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126432,7200,,0.0,0,協議價購(鄉村區乙種建築用地),RPRNMLLLKIMFFAX86CA
湖西鄉,土地,鼎灣新段691~720地號,8.2,,一般農業區,交通用地,1061213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31980,3900,,0.0,0,協議價購(一般農業區交通用地),RPSNMLLLKIMFFAX96CA
湖西鄉,土地,成功北段91~120地號,8.41,,鄉村區,乙種建築用地,1061213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60516,7196,,0.0,0,協議價購(鄉村區遊憩用地、乙種建築用地),RPTNMLLLKIMFFAX07CA
湖西鄉,土地,東石新段421~450地號,135.24,,一般農業區,農牧用地,1061213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,527436,3900,,0.0,0,協議價購(一般農業區農牧用地),RPUNMLLLKIMFFAX17CA
湖西鄉,土地,東石新段601~630地號,171.46,,一般農業區,交通用地,1061213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,668694,3900,,0.0,0,協議價購(一般農業區交通用地),RPVNMLLLKIMFFAX27CA
馬公市,房地(土地+建物),澎湖縣馬公市惠安路1~30號,38.0,商,,,1061126,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,,51.52,0,0,1,無,無,7500000,145575,,0.0,0,,RPPNMLKLKIMFFAX56CA
馬公市,房地(土地+建物),澎湖縣馬公市西文澳61~90號,109.21,住,,,1061205,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681124,96.24,4,2,2,有,無,5530000,57461,,0.0,0,,RPQNMLKLKIMFFAX66CA
馬公市,土地,五德西段661~690地號,1571.18,,一般農業區,農牧用地,1060918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4622200,2942,,0.0,0,,RPSNMLKLKIMFFAX86CA
湖西鄉,土地,成功南段241~270地號,244.17,,一般農業區,甲種建築用地,1061210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6760000,27686,,0.0,0,交易總價含未建築之建物,RPRNMLPKJHNFFAX17DA
湖西鄉,土地,成功南段241~270地號,244.01,,一般農業區,甲種建築用地,1061130,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6760000,27704,,0.0,0,交易總價含未建築之建物,RPTNMLPKJHNFFAX37DA
湖西鄉,土地,東石新段31~60地號,26.89,,一般農業區,殯葬用地,1061215,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104883,3900,,0.0,0,協議價購(一般農業區農牧用地、交通用地、殯葬用地),RPOOMLTJJHNFFAX17CA
西嶼鄉,土地,赤馬一段421~450地號,501.58,,鄉村區,乙種建築用地,1061108,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2592,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLMLKIMFFAX86CA
馬公市,土地,光榮段121~150地號,206.77,其他,,,1061206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6254700,30250,,0.0,0,,RPPNMLOLKIMFFAX96CA
