編號,車位類別,車位價格,車位面積平方公尺
RPRQMLMLKIMFFCB08CC,坡道平面,3000,37.80
RPOOMLLLKIMFFCB47CC,坡道平面,0,49.40
RPWQMLMLKIMFFBB48CC,坡道平面,3200,31.88
RPPRMLMLKIMFFBB87CC,坡道平面,3000,31.88
RPRRMLMLKIMFFBB08CC,坡道平面,3200,27.89
RPXQMLMLKIMFFBB58CC,坡道平面,3200,27.89
RPTRMLMLKIMFFBB28CC,坡道機械,0,13.62
RPWPMLPLKIMFFBB68CC,坡道平面,0,42.99
RPSRMLMLKIMFFBB18CC,坡道機械,0,13.62
RPURMLMLKIMFFBB38CC,坡道平面,0,27.23
RPSOMLPLKIMFFIB88CC,坡道平面,0,
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道平面,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道平面,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPOOMLRLKIMFFCB08CC,坡道機械,0,9.19
RPXOMLSLKIMFFCB09CC,坡道機械,0,20.97
RPXPMLSLKIMFFCB56CC,坡道平面,0,21.37
RPXPMLSLKIMFFCB56CC,坡道平面,0,22.94
RPWPMLSLKIMFFBB98CC,坡道平面,0,36.33
RPQQMLSLKIMFFBB48CC,坡道平面,0,32.77
RPURMLTLKIMFFBB09CC,坡道平面,0,17.92
