編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLMLKIMFFAD18CA,22,27.51,共有部分,鋼筋混凝土造,84年5月30日,二十四層,
RPXNMLMLKIMFFAD18CA,22,116.15,住家用,鋼筋混凝土造,84年5月30日,二十四層,十九層
RPXNMLMLKIMFFAD18CA,22,32.66,共有部分,鋼筋混凝土造,84年5月30日,二十四層,
RPXNMLMLKIMFFAD18CA,22,.04,商業用,鋼筋混凝土造,84年5月30日,二十四層,
RPQOMLMJJHNFFAD27CA,39,48.43,住家用,鋼筋混凝土造,68年4月26日,四層,四層
RPTNMLOJJHNFFAD67CA,,210.85,見其他登記事項,見其他登記事項,106年7月24日,四層,一層 二層 三層 四層
RPROMLSLKIMFFAD28CA,10,248.92,見其他登記事項,鋼筋混凝土造,96年11月6日,四層,一層 二層 三層 四層 屋頂突出物
RPPOMLPKJHNFFAD57CA,17,108.07,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,十四層 夾層
RPPOMLPKJHNFFAD57CA,17,10.50,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPPOMLPKJHNFFAD57CA,17,30.86,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPOOMLPKJHNFFAD47CA,2,156.55,見其他登記事項,見其他登記事項,105年4月18日,十二層,六層
RPOOMLPKJHNFFAD47CA,2,27.98,見其他登記事項,見其他登記事項,105年4月18日,十二層,
RPOOMLPKJHNFFAD47CA,2,129.49,見其他登記事項,見其他登記事項,105年4月18日,十二層,
RPSNMLPLKIMFFAD97CA,21,.00,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPSNMLPLKIMFFAD97CA,21,99.58,見其他登記事項,鋼筋混凝土造,85年10月9日,九層,八層
RPSNMLPLKIMFFAD97CA,21,15.44,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPSNMLPLKIMFFAD97CA,21,27.44,共有部分,鋼筋混凝土造,85年10月9日,九層,
RPPNMLMJJHNFFAD07CA,17,74.57,見其他登記事項,鋼筋混凝土造,89年11月20日,十四層,十四層 夾層
RPPNMLMJJHNFFAD07CA,17,21.28,共有部分,鋼筋混凝土造,89年11月20日,十四層,
RPXOMLQKJHNFFAD48CA,,11.76,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPXOMLQKJHNFFAD48CA,,.07,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPXOMLQKJHNFFAD48CA,,194.61,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPXOMLQKJHNFFAD48CA,,264.42,見其他登記事項,見其他登記事項,106年6月28日,二十四層,五層
RPVOMLQKJHNFFAD28CA,,11.28,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPVOMLQKJHNFFAD28CA,,.06,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPVOMLQKJHNFFAD28CA,,130.36,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPVOMLQKJHNFFAD28CA,,267.25,見其他登記事項,見其他登記事項,106年6月28日,二十四層,二十二層
RPVOMLLLKIMFFAD97CA,41,101.65,住家用,加強磚造,65年8月19日,二層,一層 二層
RPQOMLKKJHNFFAD17CA,59,390.45,商業用,磚造,48年1月1日,四層,一層 二層 三層 四層 騎樓
RPWOMLLKJHNFFAD87CA,,872.16,住家用,見其他登記事項,106年10月20日,五層,一層 二層 三層 四層 五層
RPTOMLQKJHNFFAD08CA,,11.28,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPTOMLQKJHNFFAD08CA,,.06,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPTOMLQKJHNFFAD08CA,,130.53,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPTOMLQKJHNFFAD08CA,,267.48,見其他登記事項,見其他登記事項,106年6月28日,二十四層,二十二層
RPSNMLMLKIMFFAD67CA,14,.08,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPSNMLMLKIMFFAD67CA,14,.01,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPSNMLMLKIMFFAD67CA,14,.00,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPSNMLMLKIMFFAD67CA,14,.29,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPSNMLMLKIMFFAD67CA,14,.02,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPSNMLMLKIMFFAD67CA,14,97.36,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,六層
RPSNMLMLKIMFFAD67CA,14,.00,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPSNMLMLKIMFFAD67CA,14,18.16,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPSNMLMLKIMFFAD67CA,14,33.38,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPPPMLQKJHNFFAD77CA,,185.72,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPPPMLQKJHNFFAD77CA,,267.24,見其他登記事項,見其他登記事項,106年6月28日,二十四層,十層
RPPPMLQKJHNFFAD77CA,,11.47,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
RPPPMLQKJHNFFAD77CA,,.06,見其他登記事項,見其他登記事項,106年6月28日,二十四層,
