編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLLLKIMFFGE58CC,3,97.28,見其他登記事項,見其他登記事項,104年1月3日,十五層,
RPQNMLLLKIMFFIE48CC,37,103.50,住商用,加強磚造,69年6月1日,二層,
RPSOMLLLKIMFFBE08CC,21,145.12,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPWOMLLLKIMFFCE58CC,6,193.29,住家用,見其它登記事項,100年6月22日,二十七層,
RPWOMLLLKIMFFCE58CC,6,126.93,見其它登記事項,見其它登記事項,100年6月22日,二十七層,
RPPQMLLLKIMFFEE28CC,5,132.38,住家用,鋼筋混凝土造,101年11月9日,十五層,
RPUOMLLLKIMFFCE38CC,39,76.29,,鋼筋混凝土造,68年2月26日,五層,
RPTNMLLLKIMFFIE78CC,3,709.47,見其他登記事項,見其他登記事項,103年10月24日,四層,
RPWNMLLLKIMFFIE09CC,3,165.29,見其他登記事項,見其他登記事項,103年10月24日,四層,
RPSOMLMLKIMFFCE28CC,13,171.88,住家用,鋼筋混凝土造,94年4月22日,四層,
RPQNMLLLKIMFFEE18DC,1,80.96,見其它登記事項,見其它登記事項,105年8月19日,十五層,
RPQNMLLLKIMFFEE18DC,1,63.63,見其它登記事項,見其它登記事項,105年8月19日,十五層,
RPUOMLMLKIMFFDE58CC,32,90.18,,鋼筋混凝土造,75年6月17日,四層,
RPRNMLLLKIMFFGE48DC,34,116.40,住家用,鋼筋混凝土造,73年2月21日,十二層,
RPPOMLMLKIMFFDE08CC,5,84.39,住家用,鋼筋混凝土造,101年9月27日,十五層,
RPPOMLMLKIMFFDE08CC,5,63.52,共有部分,鋼筋混凝土造,101年9月27日,十五層,
RPQPMLMLKIMFFEE38CC,18,143.82,見其它登記事項,見其它登記事項,88年8月3日,二十九層,
RPQPMLMLKIMFFEE38CC,18,100.50,見使用執照,見使用執照,88年8月3日,二十九層,
RPTOMLMLKIMFFDE48CC,22,326.60,住商用,鋼筋混凝土造,85年2月15日,十六層,
RPXOMLMLKIMFFEE98CC,25,181.82,商業用,鋼筋混凝土造,82年1月18日,十六層,
RPXOMLMLKIMFFEE98CC,25,47.47,見使用執照,鋼筋混凝土造,82年1月18日,十六層,
RPWOMLMLKIMFFEE88CC,60,108.35,住商用,加強磚造,47年4月1日,二層,
RPTPMLMLKIMFFEE68CC,3,49.07,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPTPMLMLKIMFFEE68CC,3,6.34,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPTPMLMLKIMFFEE68CC,3,30.02,見其它登記事項,鋼筋混凝土造,103年11月4日,十五層,
RPUOMLMLKIMFFBE38CC,25,36.14,商業用,鋼骨混凝土造,81年9月14日,二十八層,
RPUOMLMLKIMFFBE38CC,25,76.03,商業用,鋼骨混凝土造,81年9月14日,二十八層,
RPXOMLMLKIMFFBE68CC,28,195.03,,鋼筋混凝土造,78年12月11日,十二層,
RPXOMLMLKIMFFBE68CC,28,73.96,,鋼筋混凝土造,78年12月11日,十二層,
RPPOMLPLKIMFFDE38CC,35,88.01,,鋼筋混凝土造,72年1月18日,五層,
RPPOMLPLKIMFFDE38CC,35,14.40,,鋼筋混凝土造,72年1月18日,五層,
RPPNMLNLKIMFFDE08CC,11,129.00,住家用,鋼筋混凝土造,96年6月8日,五層,
RPPNMLNLKIMFFDE08CC,11,30.42,見其它登記事項,鋼筋混凝土造,96年6月8日,五層,
RPXPMLPLKIMFFDE66CC,54,257.40,住家用,鋼筋混凝土加強磚造,52年8月8日,四層,
RPRNMLNLKIMFFEE38CC,19,63.93,住家用,鋼筋混凝土造,87年8月14日,二十三層,
RPRNMLNLKIMFFEE38CC,19,23.84,見使用執照,鋼筋混凝土造,87年8月14日,二十三層,
RPSOMLPLKIMFFGE09DC,28,77.28,住商用,鋼筋混凝土造,78年10月17日,四層,
RPXOMLPLKIMFFGE86CC,39,69.22,住家用,鋼筋混凝土造,67年9月10日,二層,
RPROMLPLKIMFFCE48CC,22,227.26,工業用,鋼筋混凝土造,84年7月27日,十四層,
RPROMLPLKIMFFCE48CC,22,18.26,見使用執照,鋼筋混凝土造,84年7月27日,十四層,
RPROMLPLKIMFFCE48CC,22,37.01,見使用執照,鋼筋混凝土造,84年7月27日,十四層,
RPROMLPLKIMFFCE48CC,22,61.13,見使用執照,鋼筋混凝土造,84年7月27日,十四層,
RPVNMLPLKIMFFFE56DC,11,424.59,見其他登記事項,鋼筋混凝土造,95年11月9日,四層,
RPTNMLPLKIMFFBE48CC,49,146.52,住商用,加強磚造,58年3月18日,三層,
RPROMLPLKIMFFEE68CC,13,225.67,住商用,鋼筋混凝土造,94年4月28日,四層,
RPXOMLPLKIMFFEE66CC,23,204.99,工業用,鋼筋混凝土造,84年5月2日,十三層,
RPVNMLQLKIMFFBE78CC,11,60.89,住家用,鋼筋混凝土造,96年5月8日,十五層,
RPVNMLQLKIMFFBE78CC,11,28.67,共有部分,鋼筋混凝土造,96年5月8日,十五層,
RPXOMLQLKIMFFEE76CC,21,98.31,住商用,鋼筋混凝土造,85年10月28日,二十三層,
RPWNMLQLKIMFFCE09DC,5,142.53,住商用,鋼筋混凝土造,102年3月11日,四層,
RPPNMLQLKIMFFDE38CC,11,56.04,住家用,鋼筋混凝土造,95年6月21日,十五層,
RPPNMLQLKIMFFDE38CC,11,21.00,見其它登記事項,鋼筋混凝土造,95年6月21日,十五層,
RPPNMLRLKIMFFDE48CC,37,13.46,,鋼筋混凝土造,70年1月28日,五層,
RPTOMLQLKIMFFDE88CC,35,108.58,,鋼筋混凝土造,71年10月30日,五層,
RPUOMLRLKIMFFDE09CC,32,199.93,,鋼筋混凝土造,74年11月1日,四層,
RPTOMLRLKIMFFDE98CC,24,100.79,住家用,鋼筋混凝土造,83年5月23日,十八層,
RPTOMLRLKIMFFDE98CC,24,53.49,見使用執照,鋼筋混凝土造,83年5月23日,十八層,
RPRNMLRLKIMFFDE68CC,37,13.46,,鋼筋混凝土造,70年1月28日,五層,
RPQOMLRLKIMFFGE98CC,45,73.90,住家用,加強磚造,62年3月27日,四層,
RPTOMLRLKIMFFGE66CC,32,160.00,住商用,鋼筋混凝土造,74年11月25日,四層,
RPUNMLRLKIMFFFE66DC,12,102.31,住家用,鋼筋混凝土造,95年5月12日,十二層,
RPPOMLRLKIMFFCE48CC,37,52.84,,鋼筋混凝土造,69年9月27日,五層,
RPWNMLRLKIMFFEE66CC,24,10.90,住商用,鋼筋混凝土造,82年11月17日,八層,
RPSNMLRLKIMFFEE88CC,44,6.94,,加強磚造,62年11月23日,二層,
RPRNMLRLKIMFFEE78CC,36,29.06,,鋼筋混凝土造,70年9月18日,四層,
RPPQMLRLKIMFFEE88CC,4,47.62,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPQMLRLKIMFFEE88CC,4,8.59,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPQMLRLKIMFFEE88CC,4,29.11,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPQQMLRLKIMFFEE98CC,4,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPQQMLRLKIMFFEE98CC,4,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPQQMLRLKIMFFEE98CC,4,29.11,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPRQMLRLKIMFFEE09CC,12,52.85,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPRQMLRLKIMFFEE09CC,12,57.15,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPRQMLRLKIMFFEE09CC,12,25.13,見其它登記事項,鋼筋混凝土造,94年11月14日,十五層,
RPOOMLRLKIMFFEE58CC,10,23.11,住商用,鋼筋混凝土造,96年7月6日,五層,
RPTNMLRLKIMFFBE68CC,14,138.71,住家用,鋼筋混凝土造,93年1月16日,十一層,
RPTNMLRLKIMFFBE68CC,14,72.94,見其他登記事項,鋼筋混凝土造,93年1月16日,十一層,
RPSQMLRLKIMFFEE56CC,12,67.37,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPSQMLRLKIMFFEE56CC,12,10.69,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPSQMLRLKIMFFEE56CC,12,32.14,見其它登記事項,鋼筋混凝土造,94年11月14日,十五層,
RPOPMLSLKIMFFBE48CC,40,52.06,,鋼筋混凝土造,66年11月10日,五層,
RPOPMLSLKIMFFBE48CC,40,7.91,,鋼筋混凝土造,66年11月10日,五層,
RPSPMLSLKIMFFCE98CC,7,31.32,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPSPMLSLKIMFFCE98CC,7,2.84,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPSPMLSLKIMFFCE98CC,7,18.41,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPSOMLSLKIMFFGE66CC,34,85.75,住家用,鋼筋混凝土造,73年5月30日,五層,
RPVNMLRLKIMFFBE88CC,25,193.29,商業用,鋼筋混凝土造,81年6月29日,二十五層,
RPVNMLRLKIMFFBE88CC,25,80.39,見使用執照,鋼筋混凝土造,81年6月29日,二十五層,
RPQNMLTLKIMFFDE78CC,3,83.17,住家用,鋼筋混凝土造,103年8月31日,十五層,
RPQNMLTLKIMFFDE78CC,3,11.74,住家用,鋼筋混凝土造,103年8月31日,十五層,
RPQNMLTLKIMFFDE78CC,3,74.84,共有部分,鋼筋混凝土造,103年8月31日,十五層,
RPXOMLSLKIMFFBE66CC,33,107.95,,鋼筋混凝土造,74年4月25日,五層,
RPWNMLRLKIMFFBE98CC,21,135.48,住商用,鋼筋混凝土造,86年4月21日,三十五層,
RPWNMLRLKIMFFBE98CC,21,47.94,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPPNMLSLKIMFFGE98DC,13,121.48,見其他登記事項,見其他登記事項,93年11月18日,十三層,
RPPNMLSLKIMFFGE98DC,13,107.59,見其他登記事項,見其他登記事項,93年11月18日,十三層,
RPPNMLSLKIMFFGE98DC,13,118.47,見其他登記事項,見其他登記事項,93年11月18日,十三層,
RPPOMLTLKIMFFDE78CC,8,159.83,見其它登記事項,鋼骨鋼筋混凝土造,99年2月9日,二十三層,
RPPOMLTLKIMFFDE78CC,8,123.27,見其它登記事項,鋼骨鋼筋混凝土造,99年2月9日,二十三層,
RPQNMLTLKIMFFJE76CC,27,153.30,住家用,鋼筋混凝土造,80年5月2日,三層,
RPRNMLKMKIMFFGE38CC,22,161.98,住家用,鋼筋混凝土造,84年9月25日,十五層,
RPSNMLTLKIMFFBE78CC,21,147.13,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPQNMLKMKIMFFCE87CC,3,183.23,住家用,鋼筋混凝土造,103年7月15日,二十九層,
RPQNMLKMKIMFFCE87CC,3,23.60,住家用,鋼筋混凝土造,103年7月15日,二十九層,
RPQNMLKMKIMFFCE87CC,3,118.42,見其它登記事項,鋼筋混凝土造,103年7月15日,二十九層,
RPPNMLKMKIMFFAE57CC,3,91.06,住家用,鋼筋混凝土造,103年12月10日,十五層,
RPPNMLKMKIMFFAE57CC,3,75.06,見其它登記事項,鋼筋混凝土造,103年12月10日,十五層,
RPQOMLTLKIMFFBE68CC,5,258.77,商業用,鋼筋混凝土造,102年1月10日,十五層,
RPQOMLTLKIMFFBE68CC,5,100.62,共有部分,鋼筋混凝土造,102年1月10日,十五層,
RPRNMLTLKIMFFBE68CC,21,147.13,住家用,鋼筋混凝土造,86年4月21日,三十五層,
