編號,車位類別,車位價格,車位面積平方公尺
RPXNMLTLKIMFFAI76CA,坡道機械,0,
RPSOMLKKJHNFFAI87CA,坡道平面,1000000,29.42
RPQOMLSJJHNFFAI38CA,坡道機械,0,
RPVOMLOJJHNFFAI48CA,坡道平面,0,
RPVNMLSKJHNFFAI88CA,一樓平面,0,
RPVNMLSKJHNFFAI88CA,一樓平面,0,
RPVNMLSKJHNFFAI88CA,一樓平面,0,
RPVNMLSKJHNFFAI88CA,一樓平面,0,
RPPNMLNJJHNFFAI87EA,升降機械,0,
RPPNMLNJJHNFFAI87EA,升降機械,0,
RPRNMLKKJHNFFAI67CA,升降機械,0,
RPPOMLTLJHNFFAI58CA,坡道平面,500000,46.85
RPSNMLOJJHNFFAI28EA,坡道平面,0,
RPQNMLKLJHNFFAI67CA,坡道平面,0,
RPQNMLLKJHNFFAI67CA,坡道平面,1280000,
RPQNMLLKJHNFFAI67CA,坡道平面,0,
RPQNMLLKJHNFFAI67CA,坡道平面,0,
RPQNMLLKJHNFFAI67CA,坡道平面,0,
RPQNMLQJJHNFFAI08CA,坡道平面,0,
RPXNMLMJJHNFFAI38CA,坡道平面,0,
RPRNMLMKJHNFFAI87CA,坡道機械,0,
