編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLQKJHNFFBM68CA,新御史段,293.67,都市：農
RPQNMLQKJHNFFBM68CA,新御史段,924.72,都市：農
RPPNMLQKJHNFFBM58CA,新御史段,382.23,都市：住
RPPNMLQKJHNFFBM58CA,新御史段,682.79,都市：住
RPQNMLTLKIMFFBM56CA,新虎山段,205.24,都市：住
RPQNMLTLKIMFFBM56CA,新虎山段,7.24,都市：住
RPPNMLMLKIMFFBM38CA,草屯段,21.59,都市：住
RPQNMLSKJHNFFBM88CA,新富寮段,9.69,都市：住
RPQNMLSKJHNFFBM88CA,新富寮段,16.80,都市：住
RPQNMLSKJHNFFBM88CA,新富寮段,91.16,都市：住
RPUNMLRLKIMFFAM66CA,新小半山段,155.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXNMLTLKIMFFAM17CA,光復段,697.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLLKIMFFAM58CA,名松段,1425.73,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLLLKIMFFAM58CA,名松段,3290.48,都市：農
RPVNMLMLKIMFFAM88CA,三塊厝段,14.46,都市：住
RPSNMLLLKIMFFAM48CA,北松嶺段,131.17,都市：住
RPQNMLPLKIMFFCM88CA,眉原段,276.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLMLKIMFFCM48CA,香茶段,497.57,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQLKIMFFCM56CA,北山坑段,2200.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJJHNFFCM48CA,桃米坑段,4210.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNJJHNFFCM48CA,桃米坑段,2033.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLNJJHNFFCM48CA,桃米坑段,184.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLTLKIMFFCM07CA,育英段,66.75,都市：住
RPUNMLTLKIMFFCM07CA,育英段,19.20,都市：住
RPUNMLTLKIMFFCM07CA,育英段,1.69,都市：住
RPRNMLPJJHNFFCM68CA,大林段,517.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTLKIMFFEM76CA,郡坑段,26.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTLKIMFFEM76CA,郡坑段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTLKIMFFEM76CA,郡坑段,16.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTLKIMFFEM76CA,郡坑段,4.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLKIMFFDM58CA,平正段,99.67,都市：農
RPPNMLMLKIMFFDM58CA,平正段,5615.96,都市：農
RPROMLSJJHNFFCM09CA,北山坑段,1120.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLQLKIMFFDM17CA,頂堀段,1718.01,都市：農
RPXNMLQLKIMFFDM17CA,頂堀段,15.50,都市：農
RPPNMLNLKIMFFEM78CA,柴橋頭段北勢坑小段,99.00,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地
RPQNMLLLKIMFFEM78DA,營子段,4068.92,都市：農
RPPNMLPLKIMFFDM88CA,延正段,165.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPLKIMFFDM88CA,延正段,56.81,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPLKIMFFDM88CA,延正段,20.12,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPLKIMFFDM88CA,延正段,30.27,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPLKIMFFDM88CA,延正段,21.35,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPLKIMFFDM88CA,延正段,116.67,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPLKIMFFDM88CA,照鏡段,166.17,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPLKIMFFDM88CA,照鏡段,11.23,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLPLKIMFFDM88CA,照鏡段,29.34,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLPLKIMFFDM88CA,照鏡段,10.17,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLPLKIMFFDM88CA,照鏡段,.28,非都市：特定農業區 ; 非都市編定：交通用地
RPPNMLPLKIMFFDM88CA,照鏡段,3.18,非都市：特定農業區 ; 非都市編定：交通用地
RPQNMLMJJHNFFEM58DA,社子段,153.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLLKJHNFFEM38CA,郡坑段,6268.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLLKJHNFFEM68CA,社子段,240.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLQKJHNFFEM98CA,中溝段,129.12,都市：住
RPPNMLQKJHNFFEM88CA,中溝段,5.04,都市：其他
RPPNMLQKJHNFFEM88CA,中溝段,117.12,都市：住
RPQNMLPJJHNFFEM78CA,郡坑段,3930.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,6912.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,1974.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,5627.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,4319.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,3156.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJJHNFFEM78CA,郡坑段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLNLKIMFFEM88CA,和平段,117.56,都市：住
RPROMLPLKIMFFCM09CA,眉溪段,11270.00,非都市：森林區 ; 非都市編定：農牧用地
RPPNMLMJJHNFFDM28CA,東照段,1370.12,非都市：特定農業區 ; 非都市編定：農牧用地
