編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLQLKIMFFAO88CA,21,69.72,住家用,鋼筋混凝土造,85年8月30日,十二層,七層
RPOOMLQLKIMFFAO88CA,21,41.01,共有部分,鋼筋混凝土造,85年8月30日,十二層,
RPPNMLSLKIMFFAO09CA,37,72.24,住家用,鋼筋混凝土造,69年8月20日,五層,五層
RPPNMLSLKIMFFAO09CA,37,7.20,共有部分,鋼筋混凝土造,69年8月20日,五層,
RPPNMLSLKIMFFAO09CA,37,5.25,共有部分,鋼筋混凝土造,69年8月20日,五層,
RPQQMLPLKIMFFAO56CA,17,96.73,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,二層
RPQQMLPLKIMFFAO56CA,17,.07,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPQQMLPLKIMFFAO56CA,17,.33,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPQQMLPLKIMFFAO56CA,17,.09,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPQQMLPLKIMFFAO56CA,17,19.98,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPQQMLPLKIMFFAO56CA,17,24.39,見其他登記事項,鋼筋混凝土造,89年9月30日,十二層,
RPUQMLPLKIMFFAO96CA,36,119.48,住家用,加強磚造,71年4月1日,二層,一層 二層 夾層
RPTPMLPLKIMFFAO76CA,18,30.60,住家用,鋼筋混凝土造,89年4月17日,十四層,七層
RPTPMLPLKIMFFAO76CA,18,8.73,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPWPMLMLKIMFFAO76CA,,68.40,住家用,加強磚造,,二層,一層 二層 騎樓
RPWPMLMLKIMFFAO76CA,,68.40,住家用,加強磚造,,二層,一層 二層 騎樓
RPUOMLMLKIMFFAO09CA,19,91.71,住家用,鋼筋混凝土造,87年7月20日,八層,七層
RPUOMLMLKIMFFAO09CA,19,10.35,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPUOMLMLKIMFFAO09CA,19,13.40,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPUOMLMLKIMFFAO09CA,19,.08,見其他登記事項,鋼筋混凝土造,87年7月20日,八層,
RPUOMLMLKIMFFAO09CA,19,.00,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPUOMLMLKIMFFAO09CA,19,28.49,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPROMLMLKIMFFAO78CA,19,95.72,住家用,鋼筋混凝土造,87年7月20日,八層,七層
RPROMLMLKIMFFAO78CA,19,.00,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPROMLMLKIMFFAO78CA,19,.08,見其他登記事項,鋼筋混凝土造,87年7月20日,八層,
RPROMLMLKIMFFAO78CA,19,28.49,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPROMLMLKIMFFAO78CA,19,10.80,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPROMLMLKIMFFAO78CA,19,13.94,共有部分,鋼筋混凝土造,87年7月20日,八層,
RPVNMLPLKIMFFAO76CA,4,93.29,見其他登記事項,鋼筋混凝土造,102年12月11日,十五層,三層
RPVNMLPLKIMFFAO76CA,4,20.37,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPVNMLPLKIMFFAO76CA,4,22.85,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPVNMLPLKIMFFAO76CA,4,.02,見其他登記事項,鋼筋混凝土造,102年12月11日,十五層,
RPVNMLPLKIMFFAO76CA,4,.00,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPVNMLPLKIMFFAO76CA,4,27.25,共有部分,鋼筋混凝土造,102年12月11日,十五層,
RPRPMLSLKIMFFAO86CA,9,9.22,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPRPMLSLKIMFFAO86CA,9,73.76,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,九層
RPRPMLSLKIMFFAO86CA,9,3.38,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPRPMLSLKIMFFAO86CA,9,25.95,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPTTMLRLKIMFFAO37CA,2,92.41,見其他登記事項,鋼筋混凝土造,105年1月15日,十三層,十層
RPTTMLRLKIMFFAO37CA,2,32.88,共有部分,鋼筋混凝土造,105年1月15日,十三層,
RPTTMLRLKIMFFAO37CA,2,48.37,共有部分,鋼筋混凝土造,105年1月15日,十三層,
RPUPMLPLKIMFFAO86CA,9,26.52,辦公室,鋼筋混凝土造,98年3月19日,十層,六層
RPUPMLPLKIMFFAO86CA,9,5.01,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPUPMLPLKIMFFAO86CA,9,.03,辦公室,鋼筋混凝土造,98年3月19日,十層,
RPUPMLPLKIMFFAO86CA,9,11.98,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPUPMLPLKIMFFAO86CA,9,4.05,見其他登記事項,鋼筋混凝土造,98年3月19日,十層,
RPSOMLMJJHNFFAO58CA,6,.03,辦公室,鋼筋混凝土造,100年11月21日,二十四層,
RPSOMLMJJHNFFAO58CA,6,132.80,見其他登記事項,鋼筋混凝土造,100年11月21日,二十四層,十九層
RPSOMLMJJHNFFAO58CA,6,22.87,共有部分,鋼筋混凝土造,100年11月21日,二十四層,
RPSOMLMJJHNFFAO58CA,6,35.74,共有部分,鋼筋混凝土造,100年11月21日,二十四層,
RPSOMLMJJHNFFAO58CA,6,28.50,共有部分,鋼筋混凝土造,100年11月21日,二十四層,
RPSNMLMKJHNFFAO58CA,2,22.98,共有部分,鋼筋混凝土造,105年5月10日,十二層,
RPSNMLMKJHNFFAO58CA,2,85.00,見其他登記事項,鋼筋混凝土造,105年5月10日,十二層,九層
RPSNMLMKJHNFFAO58CA,2,47.33,共有部分,鋼筋混凝土造,105年5月10日,十二層,
RPPPMLPJJHNFFAO68CA,20,110.56,住家用,鋼筋混凝土造,87年2月23日,五層,一層 二層
RPPPMLPJJHNFFAO68CA,21,.03,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,22,.29,見使用執照,鋼筋混凝土造,84年10月9日,一層,
RPPPMLPJJHNFFAO68CA,21,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.04,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.00,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,1.78,見其他登記事項,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.17,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPPPMLPJJHNFFAO68CA,21,.47,共有部分,鋼筋混凝土造,85年12月13日,十五層,
RPROMLSKJHNFFAO56CA,1,154.23,見其他登記事項,鋼筋混凝土造,106年1月10日,二十四層,七層
RPROMLSKJHNFFAO56CA,1,54.80,共有部分,鋼筋混凝土造,106年1月10日,二十四層,
RPROMLSKJHNFFAO56CA,1,84.57,共有部分,鋼筋混凝土造,106年1月10日,二十四層,
RPWNMLKKJHNFFAO78CA,2,34.91,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPRWMLRKJHNFFAO27CA,20,212.92,住家用,鋼筋混凝土造,86年12月31日,二十三層,十五層
RPRWMLRKJHNFFAO27CA,20,87.14,見其他登記事項,鋼筋混凝土造,86年12月31日,二十三層,
RPRWMLRKJHNFFAO27CA,20,22.83,共有部分,鋼筋混凝土造,86年12月31日,二十三層,
RPRWMLRKJHNFFAO27CA,20,.08,見其他登記事項,鋼筋混凝土造,86年12月31日,一層,
RPRWMLRKJHNFFAO27CA,20,3.28,見其他登記事項,鋼筋混凝土造,86年12月31日,二十三層,
RPPOMLPKJHNFFAO68CA,10,1.06,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,
RPPOMLPKJHNFFAO68CA,10,18.00,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,
RPPOMLPKJHNFFAO68CA,10,83.32,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,四層
RPPOMLPKJHNFFAO68CA,10,5.39,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,
RPPOMLPKJHNFFAO68CA,10,7.24,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,
RPPOMLPKJHNFFAO68CA,10,.37,見其他登記事項,鋼筋混凝土造,96年6月22日,十四層,
RPQNMLQKJHNFFAO78CA,11,88.02,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,九層
RPQNMLQKJHNFFAO78CA,11,17.44,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPQNMLQKJHNFFAO78CA,11,12.25,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPQNMLQKJHNFFAO78CA,11,.08,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
RPQNMLQKJHNFFAO78CA,11,24.05,見其他登記事項,鋼筋混凝土造,95年10月12日,十三層,
