編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLMLKIMFFAP58CA,1,70.56,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,七層
RPOOMLMLKIMFFAP58CA,1,33.24,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPPNMLPLKIMFFAP88CA,23,82.99,住家用,鋼筋混凝土造,84年1月25日,八層,七層
RPPNMLPLKIMFFAP88CA,23,28.17,共同部份,鋼筋混凝土造,84年1月25日,八層,
RPTNMLMLKIMFFAP98CA,13,17.99,住家用,鋼筋混凝土造,94年5月11日,四層,一層
RPTNMLMLKIMFFAP98CA,13,7.08,共同部份,鋼筋混凝土造,94年5月11日,四層,
RPVOMLMLKIMFFAP66CA,44,148.23,住家用,鋼筋混凝土造,62年11月11日,二層,一層 二層
RPQNMLNLKIMFFAP78CA,1,369.54,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLNLKIMFFAP98CA,1,263.17,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPXPMLOJJHNFFAP86CA,,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPOOMLQLKIMFFAP98CA,,182.89,見其他登記事項,鋼筋混凝土造,106年5月2日,三層,一層 二層 三層 屋頂突出物
RPRNMLNLKIMFFAP88CA,1,274.82,見其他登記事項,鋼筋混凝土造,106年5月15日,四層,一層 二層 三層 四層 屋頂突出物
RPTPMLOJJHNFFAP09CA,,163.35,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPWPMLOJJHNFFAP76CA,,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPSNMLPJJHNFFAP88CA,,178.39,住家用,鋼筋混凝土造,106年7月24日,三層,一層 二層 三層
RPTNMLPJJHNFFAP98CA,,164.51,住家用,鋼筋混凝土造,106年7月24日,三層,一層 二層 三層
RPUPMLOJJHNFFAP56CA,,163.35,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPUOMLPJJHNFFAP56CA,,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPTOMLPJJHNFFAP09CA,1,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPSOMLPJJHNFFAP98CA,1,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPROMLPJJHNFFAP88CA,,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPVOMLPJKHNFFAP76CA,1,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPSOMLOJJHNFFAP88CA,1,154.25,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPVOMLPJJHNFFAP66CA,,159.21,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPTNMLPLKIMFFCP86CA,,212.56,見其他登記事項,鋼筋混凝土造,106年7月4日,三層,一層 二層 三層 屋頂突出物
RPPNMLQLKIMFFDP66CA,2,208.81,住家用,鋼筋混凝土造,105年4月29日,三層,一層 二層 三層
RPPOMLSLKIMFFDP96CA,8,219.22,住家用,鋼筋混凝土造,99年4月16日,三層,一層 二層 三層 電梯樓梯間
RPTNMLTLKIMFFCP27CA,1,183.23,見其他登記事項,鋼筋混凝土造,106年5月26日,四層,一層 二層 三層 四層
RPQNMLTLKIMFFCP96CA,1,183.23,見其他登記事項,鋼筋混凝土造,106年5月26日,四層,一層 二層 三層 四層
RPQNMLMLKIMFFCP88CA,24,167.85,住商用,鋼筋混凝土造,82年11月5日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPUNMLMJJHNFFCP98CA,12,260.62,見其他登記事項,鋼筋混凝土造,95年5月16日,四層,一層 二層 三層 四層 地下層
RPUNMLMJJHNFFCP98CA,12,30.23,共有部份,鋼筋混凝土造,95年5月16日,,
RPUNMLTLKIMFFCP37CA,1,183.23,見其他登記事項,鋼筋混凝土造,106年5月26日,四層,一層 二層 三層 四層
RPSNMLRJKHNFFAP56CA,23,81.21,住家用,鋼筋混凝土造,83年10月15日,七層,五層
RPSNMLRJKHNFFAP56CA,23,32.27,共同部份,鋼筋混凝土造,83年10月15日,七層,
RPSNMLQKJHNFFAP56DA,36,120.78,住商用,加強磚造,70年11月15日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLRLKIMFFDP86DA,77,51.44,住商用,見其他登記事項,29年7月15日,二層,一層 二層
RPUNMLSJJHNFFAP86DA,,178.59,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPVNMLSJJHNFFAP96DA,,156.59,見其他登記事項,鋼筋混凝土造,106年4月27日,二層,一層 二層 見其他登記事項
RPQNMLTLKIMFFDP07CA,,228.43,住家用,鋼筋混凝土造,106年9月19日,三層,一層 二層 三層
RPOOMLTKJHNFFAP66EA,1,70.56,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,六層
RPOOMLTKJHNFFAP66EA,1,63.04,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPQNMLOJJHNFFBP68CA,21,165.88,住商用,鋼筋混凝土造,85年10月20日,十一層,一層 二層 三層 騎樓
RPQNMLOJJHNFFBP68CA,21,33.55,共有部份,鋼筋混凝土造,85年10月20日,十一層,
RPTNMLRLKIMFFCP07CA,22,208.26,農舍,加強磚造,84年7月4日,二層,一層 二層
RPPNMLOKJHNFFFP09CA,23,138.86,住家用,加強磚造,83年12月1日,二層,一層 二層 電梯樓梯間
RPWNMLRKJHNFFAP96CA,39,108.76,住家用,加強磚造,68年4月29日,二層,一層 二層 騎樓
RPSNMLQLKIMFFBP76CA,25,205.40,住家用,鋼筋混凝土造,81年6月25日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPUNMLQLKIMFFAP86CA,18,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPUNMLQLKIMFFAP86CA,18,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPUNMLQLKIMFFAP86CA,18,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPROMLTKJHNFFDP07CA,3,208.15,住家用,鋼筋混凝土造,104年1月21日,四層,一層 二層 三層 四層
RPQOMLRLKIMFFAP66CA,36,184.70,住家用,見其他登記事項,71年2月26日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSOMLQLKIMFFAP76CA,19,187.88,住家用,鋼筋混凝土造,87年10月8日,四層,一層 二層 三層 四層
RPRNMLRLKIMFFAP66CA,37,127.47,住商用,加強磚造,70年1月20日,二層,一層 二層 騎樓 電梯樓梯間
