編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPOMLSLKIMFFAU17CA,仁禮段,100.00,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,2.81,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,105.00,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,6.42,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,11.42,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,11.77,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,3.00,都市：住
RPQOMLSLKIMFFAU27CA,宜安段,2.50,都市：住
RPOOMLSJJHNFFAU76CA,莊敬段,19.97,都市：住
RPUOMLSLKIMFFAU67CA,慶豐段,86.00,都市：住
RPUOMLSLKIMFFAU67CA,慶豐段,26.00,都市：住
RPQNMLMLKIMFFAU56CA,路內段,53.04,都市：住
RPVNMLPLKIMFFAU37CA,南埔段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQLKIMFFAU27CA,民心段,59.34,都市：工
RPTNMLQLKIMFFAU27CA,民心段,95.00,都市：工
RPTNMLQLKIMFFAU27CA,民心段,956.00,都市：工
RPTNMLQLKIMFFAU27CA,民心段,31.66,都市：工
RPPNMLPLKIMFFAU76CA,慈惠段一小段,80.11,都市：住
RPPNMLKKJHNFFBU78CA,中原段,109.89,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,90.10,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,5124.04,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,136.30,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,4773.07,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,5176.95,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,238.66,非都市：特定專用區 ; 非都市編定：交通用地
RPPNMLKKJHNFFBU78CA,中原段,5042.04,非都市：特定專用區 ; 非都市編定：交通用地
