編號,車位類別,車位價格,車位面積平方公尺
RPXNMLMJJILFFBJ48CA,坡道平面,0,
RPWPMLMJJILFFBJ58CA,坡道平面,0,
RPPNMLNKJILFFBJ87CA,坡道平面,0,
RPRNMLRKJILFFBJ48CA,坡道平面,0,
RPOOMLPLJILFFBJ18CA,坡道平面,0,28.09
RPOOMLPLJILFFBJ18CA,坡道平面,0,28.09
RPRNMLKMJILFFBJ97CA,坡道平面,0,44.23
RPUNMLKMJILFFBJ28CA,坡道平面,0,44.23
RPUNMLKMJILFFBJ28CA,坡道平面,0,44.23
RPPNMLKKJILFFCJ67CA,坡道平面,0,31.53
RPPNMLRKJILFFDJ48CA,坡道平面,950000,49.79
RPQNMLRKJILFFDJ58CA,坡道平面,950000,51.03
RPRNMLRKJILFFDJ68CA,坡道平面,900000,49.79
RPSNMLRKJILFFDJ78CA,坡道平面,950000,49.79
RPRNMLKKJILFFCJ87CA,坡道平面,0,
RPQNMLKMJILFFBJ87CA,坡道平面,800000,33.10
RPSPMLQKJILFFBJ68CA,一樓平面,0,
RPSPMLQKJILFFBJ68CA,一樓平面,0,
RPPNMLRKJILFFBJ28CA,坡道平面,0,
RPXOMLTJJILFFBJ66CA,坡道平面,0,28.76
RPXOMLTJJILFFBJ66CA,坡道平面,0,28.76
RPXOMLKKJILFFBJ48CA,坡道平面,0,
RPOOMLTJJILFFBJ38CA,坡道平面,1200000,28.76
RPROMLTJJILFFBJ68CA,坡道平面,1050000,28.76
RPSOMLTJJILFFBJ78CA,坡道平面,1150000,28.76
RPTOMLTJJILFFBJ88CA,坡道平面,1100000,28.76
RPUQMLSJJILFFBJ09CA,坡道平面,1200000,28.76
RPVQMLSJJILFFBJ56CA,坡道平面,1200000,28.76
RPXQMLSJJILFFBJ76CA,坡道平面,1200000,28.76
RPVRMLSJJILFFBJ66CA,坡道平面,1200000,28.76
RPOUMLSJJILFFBJ88CA,升降機械,0,21.84
RPRNMLTJJILFFBJ58CA,坡道平面,1150000,28.76
RPSNMLTJJILFFBJ68CA,坡道平面,1300000,28.76
RPRQMLSJJILFFBJ78CA,坡道平面,0,28.76
RPRQMLSJJILFFBJ78CA,坡道平面,0,28.76
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.17
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.18
RPUQMLOJJILFFBJ68CA,其他,0,30.17
RPSNMLQJJILFFBJ38CA,坡道平面,0,
RPTNMLQJJILFFBJ48CA,坡道平面,0,
RPTNMLQJJILFFBJ48CA,坡道平面,0,
RPQNMLRJJILFFBJ28CA,坡道平面,0,32.72
RPSPMLNJJILFFBJ28CA,坡道平面,0,
RPQRMLRJJILFFBJ68CA,坡道平面,0,
RPQRMLRJJILFFBJ68CA,坡道平面,0,
RPPNMLKKJILFFBJ57CA,坡道平面,0,35.75
RPUPMLLLJILFFBJ48CA,坡道平面,0,
RPUPMLLLJILFFBJ48CA,坡道平面,0,
RPPNMLRJJILFFCJ28CA,升降機械,0,
RPQOMLRJJILFFCJ48CA,坡道平面,0,
RPROMLRJJILFFBJ58DA,一樓平面,0,
RPSNMLPLJILFFBJ48CA,坡道平面,0,23.31
RPSNMLPLJILFFBJ48CA,坡道平面,0,27.08
RPUPMLKMJILFFBJ48CA,坡道平面,0,24.76
RPUPMLKMJILFFBJ48CA,坡道平面,0,24.76
RPSNMLPJKILFFBJ38CA,坡道平面,1300000,34.68
RPSNMLPJKILFFBJ38CA,坡道平面,1300000,34.68
RPSPMLTJJILFFBJ88CA,坡道平面,0,30.78
RPSPMLTJJILFFBJ88CA,坡道平面,0,35.69
RPXUMLSJJILFFBJ17CA,坡道平面,0,27.08
RPWSMLSJJILFFBJ86CA,坡道平面,0,
RPTNMLSJJILFFBJ68CA,坡道平面,0,
RPTOMLSJJILFFBJ78CA,坡道平面,0,32.64
