編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQOMLMJKHMFFAD47CC,開元段,.00,都市：商
RPSOMLMJKHMFFHR17CC,永康段,.00,都市：住
RPTNMLMJKHMFFER86CC,南港段,.00,都市：住
RPPNMLMJKHMFFFR56CC,二空段,.00,都市：住
RPTNMLNJKHMFFCD97CC,竹篙厝段,114.00,都市：商
RPTNMLNJKHMFFCD97CC,竹篙厝段,112.00,都市：商
RPWNMLQJKHMFFAD38CC,開元段,.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,4.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,956.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,13.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,11.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,521.00,都市：商
RPQPMLRJKHMFFAD08CC,自強段,6.00,都市：商
RPUNMLRJKHMFFFR57CC,中正段,40.84,都市：住
RPQNMLRJKHMFFHR37CC,六合段,.00,都市：住
RPQNMLRJKHMFFHR37CC,六合段,.00,都市：住
RPOOMLSJKHMFFAD87CC,金華段,.00,都市：住
RPPNMLSJKHMFFCD08CC,鹽埕段,.00,都市：住
RPVNMLSJKHMFFCD68CC,自由段,.00,都市：住
RPSOMLSJKHMFFCD48CC,虎尾寮段,3.81,都市：住
RPROMLTJKHMFFAD28CC,漁港段,.00,都市：住
RPWOMLTJKHMFFAD78CC,延平段,.00,都市：住
RPXOMLTJKHMFFAD88CC,立人段,.94,都市：住
RPXOMLTJKHMFFAD88CC,立人段,.94,都市：住
RPOPMLTJKHMFFAD08CC,立人段,3.26,都市：住
RPVPMLTJKHMFFAD78CC,五條港段,33.97,都市：商
RPVPMLTJKHMFFAD78CC,五條港段,32.08,都市：商
RPVPMLTJKHMFFAD78CC,五條港段,63.11,都市：商
RPVPMLTJKHMFFAD78CC,五條港段,55.79,都市：商
RPPNMLTJKHMFFHR47CC,大灣段,.00,都市：農
RPROMLTJKHMFFHR77CC,永信段,.00,都市：住
RPTOMLTJKHMFFHR97CC,六合段,8.25,都市：住
RPUOMLTJKHMFFHR08CC,成功段,.00,都市：商
RPVOMLTJKHMFFHR18CC,六甲頂段,12.00,都市：住
RPSNMLTJKHMFFCR37DC,莊禮段,310.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTJKHMFFCR37DC,莊禮段,703.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLNKKHMFFFR67CC,大同段,523.65,都市：住
RPWNMLNKKHMFFCD38CC,公英段,.00,都市：住
RPOOMLNKKHMFFCD67CC,虎尾寮段,3.17,都市：其他
RPPOMLNKKHMFFCD77CC,虎尾寮段,3.17,都市：其他
RPTNMLOKKHMFFCD18CC,天后段,331.93,都市：其他
RPTOMLOKKHMFFCD28CC,路東段,.00,都市：住
RPUOMLOKKHMFFCD38CC,富裕段,.00,非都市： ; 非都市編定：
RPQNMLOKKHMFFAD67CC,延平段,.00,都市：住
RPQPMLOKKHMFFAD87CC,金華段,.00,都市：住
RPVNMLOKKHMFFBD28CC,安西段,.00,非都市： ; 非都市編定：
RPQPMLOKKHMFFHR37CC,六甲頂段,.00,都市：住
RPUPMLOKKHMFFHR77CC,六甲頂段,.00,都市：住
RPRNMLPKKHMFFAD87CC,新南段,.00,都市：商
RPTOMLPKKHMFFAD18CC,富台段,91.00,都市：商
