編號,車位類別,車位價格,車位面積平方公尺
RPRPMLNJNHMFFAH28CA,坡道平面,0,
RPVOMLLJNHMFFAH38CA,坡道平面,1200000,29.34
RPWOMLLJNHMFFAH48CA,坡道平面,0,29.34
RPVPMLLJNHMFFAH48CA,坡道平面,0,35.61
RPPOMLMJNHMFFAH87CA,坡道平面,0,57.75
RPPNMLPJNHMFFAH08CA,坡道平面,0,36.59
RPVNMLPJNHMFFAH68CA,坡道平面,1800000,33.85
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07
RPRNMLSJNHMFFAH58CA,坡道平面,0,32.44
RPURMLTJNHMFFAH76CA,坡道平面,0,
RPXNMLRKNHMFFAH56CA,坡道平面,0,
RPVNMLSKNHMFFAH09CA,坡道平面,1100000,29.82
RPXNMLSKNHMFFAH66CA,坡道平面,1100000,29.82
RPPNMLNLNHMFFAH08CA,坡道平面,0,
RPQRMLNLNHMFFAH58CA,坡道平面,0,31.24
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09
RPXRMLMJNHMFFBH09CA,坡道平面,1000000,27.39
RPQNMLNJNHMFFBH08CA,坡道平面,0,
RPVNMLNJNHMFFBH58CA,一樓平面,0,
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05
RPXRMLSJNHMFFBH07CA,坡道平面,1300000,21.05
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05
RPRNMLTJNHMFFBH78CA,坡道平面,0,
RPPPMLKKNHMFFBH97CA,坡道平面,0,59.63
RPSOMLOLNHMFFBH68CA,坡道平面,0,13.35
RPWOMLPLNHMFFBH56CA,坡道平面,0,40.68
RPOPMLPLNHMFFBH48CA,坡道平面,0,40.68
RPQNMLOJNHMFFCH28CA,坡道平面,1000000,35.78
RPTNMLPJNHMFFCH68CA,坡道平面,0,
RPQNMLLKNHMFFCH08CA,坡道平面,1200000,27.99
RPRNMLLKNHMFFCH18CA,坡道平面,1150000,27.99
RPWNMLLJNHMFFDH68CA,坡道平面,0,
RPOOMLMJNHMFFDH08CA,坡道平面,1150000,27.28
RPQOMLMJNHMFFDH28CA,坡道平面,1100000,25.28
RPROMLNJNHMFFDH48CA,坡道平面,1250000,33.66
RPSNMLLKNHMFFDH38CA,坡道平面,1300000,36.38
RPRNMLNLNHMFFDH58CA,坡道平面,1000000,36.38
RPVOMLTJNHMFFEH96CA,坡道平面,0,
RPWOMLTJNHMFFEH07CA,坡道平面,0,
RPQPMLMKNHMFFEH58CA,一樓平面,0,
RPQNMLSKNHMFFEH98CA,其他,270000,29.58
RPRNMLSKNHMFFEH09CA,其他,270000,29.58
RPTOMLSKNHMFFEH76CA,坡道平面,850000,42.08
RPSOMLNLNHMFFFH98CA,坡道平面,1200000,31.60
RPUOMLNLNHMFFFH56CA,坡道平面,1250000,31.60
RPVOMLNLNHMFFFH66CA,坡道平面,1200000,31.60
RPSNMLPLNHMFFFH09CA,坡道平面,0,
RPRNMLRKNHMFFGH56CA,坡道平面,1750000,26.83
RPSNMLPJNHMFFAH48DA,坡道平面,0,41.54
RPSPMLPJNHMFFAH68DA,坡道平面,1100000,
RPXNMLSJNHMFFAH66DA,坡道平面,1500000,33.34
RPXNMLSJNHMFFAH66DA,坡道平面,1500000,33.34
RPROMLSJNHMFFAH78DA,坡道平面,1500000,37.29
RPPOMLTJNHMFFAH68DA,坡道平面,1200000,
RPQNMLPJNHMFFEH68DA,坡道平面,1200000,
RPWNMLSJNHMFFBH76EA,坡道平面,0,
RPVNMLLKQHMFFCH09EA,坡道平面,0,15.43
RPPNMLRJNHMFFBH48DA,坡道平面,0,32.44
RPQNMLPKNHMFFHH98CA,坡道平面,0,
RPTNMLOJNHMFFHH09CA,坡道平面,1200000,36.25
RPPNMLPJNHMFFHH78CA,坡道平面,1100000,33.00
RPTNMLRKNHMFFGH76CA,坡道平面,1750000,26.83
RPROMLPJNHMFFGH98CA,坡道平面,1350000,39.70
RPWNMLTJNHMFFGH17CA,坡道平面,0,
RPUNMLSJNHMFFFH76CA,坡道平面,1350000,16.68
RPVNMLSJNHMFFFH86CA,坡道平面,1350000,16.68
RPWNMLSJNHMFFFH96CA,坡道平面,1200000,16.68
RPXNMLMLNHMFFEH56CA,坡道平面,0,37.35
RPPNMLMLNHMFFEH38CA,坡道平面,1250000,46.10
RPSOMLTJNHMFFEH66CA,坡道平面,0,
RPTNMLLKNHMFFEH58CA,坡道平面,0,
RPTNMLLKNHMFFEH58CA,坡道平面,0,
RPVNMLOJNHMFFEH98CA,坡道平面,1400000,31.19
RPVNMLOJNHMFFEH98CA,坡道平面,1400000,31.19
RPWNMLOJNHMFFEH09CA,坡道平面,1400000,31.19
RPWNMLOJNHMFFEH09CA,坡道平面,1400000,31.19
RPOOMLOJNHMFFEH38CA,坡道平面,1400000,31.46
RPPNMLRJNHMFFEH68CA,坡道平面,0,
RPOOMLKKNHMFFDH97CA,一樓平面,0,
RPQNMLOJNHMFFDH38CA,坡道平面,0,41.97
RPSNMLNJNHMFFDH48CA,坡道平面,0,
RPQOMLNJNHMFFDH38CA,坡道平面,0,
RPSNMLSJNHMFFCH88CA,坡道平面,0,
RPXOMLPLNHMFFBH66CA,坡道平面,0,40.68
RPXOMLPLNHMFFBH66CA,坡道平面,0,40.68
RPUNMLQLNHMFFBH98CA,坡道平面,900000,29.62
RPWQMLLMNHMFFBH09CA,坡道平面,0,27.97
RPPQMLLJOHMFFBH18CA,一樓平面,0,
RPSQMLTKNHMFFBH66CA,坡道平面,0,
RPRQMLQKNHMFFBH88CA,坡道平面,0,
RPRNMLQKNHMFFBH58CA,坡道平面,1400000,37.65
RPSNMLQKNHMFFBH68CA,坡道平面,0,37.65
RPSNMLQKNHMFFBH68CA,坡道平面,0,37.65
RPROMLTJNHMFFBH88CA,坡道平面,1100000,21.05
RPVOMLSJNHMFFBH56CA,坡道平面,1200000,21.05
RPXOMLSJNHMFFBH76CA,坡道平面,1100000,21.05
RPOPMLSJNHMFFBH58CA,坡道平面,0,21.05
RPOPMLSJNHMFFBH58CA,坡道平面,0,21.05
RPPPMLSJNHMFFBH68CA,坡道平面,0,21.05
RPPPMLSJNHMFFBH68CA,坡道平面,0,21.05
RPQPMLSJNHMFFBH78CA,坡道平面,1100000,21.05
RPRPMLSJNHMFFBH88CA,坡道平面,1100000,21.05
RPWPMLOJNHMFFBH98CA,坡道平面,0,
RPSNMLOJNHMFFBH38CA,坡道平面,0,24.28
RPWNMLOJNHMFFBH78CA,坡道平面,1000000,27.39
RPOSMLMJNHMFFBH28CA,坡道平面,1000000,27.39
RPOOMLQLNHMFFAH38CA,坡道平面,1450000,33.34
RPQNMLQLNHMFFAH48CA,坡道平面,1650000,27.09
RPRNMLQLNHMFFAH58CA,坡道平面,1650000,27.09
RPVPMLTJNHMFFAH66CA,坡道平面,0,
RPSNMLSJNHMFFAH68CA,坡道平面,0,32.44
RPRNMLNJNHMFFAH08CA,坡道平面,0,
RPRNMLNJNHMFFAH08CA,坡道平面,0,
RPPRMLNJNHMFFAH28CA,坡道機械,0,
RPSNMLOJNHMFFAH28CA,坡道平面,1600000,30.17
RPTNMLOJNHMFFAH38CA,坡道平面,1600000,30.17
RPUNMLOJNHMFFAH48CA,坡道平面,1600000,30.17
RPROMLOJNHMFFAH28CA,坡道平面,1750000,27.85
RPROMLOJNHMFFAH28CA,坡道平面,1750000,27.85
RPTOMLOJNHMFFAH48CA,坡道平面,1750000,27.85
RPTOMLOJNHMFFAH48CA,坡道平面,1750000,27.85
RPQPMLOJNHMFFAH28CA,坡道平面,0,
RPTOMLLKNHMFFAH28CA,坡道機械,0,
RPWNMLQLNHMFFAH09CA,坡道平面,1300000,33.34
RPOPMLOJNHMFFBH18CA,坡道平面,0,
RPVQMLNJNHMFFEH56CA,坡道平面,0,
RPTOMLTJNHMFFEH76CA,坡道平面,0,
RPSOMLNLNHMFFEH88CA,坡道平面,1460000,47.18
RPUOMLNLNHMFFEH09CA,坡道平面,1460000,47.18
RPVOMLNLNHMFFEH56CA,坡道平面,1490000,45.15
RPWOMLNLNHMFFEH66CA,坡道平面,1370000,47.18
RPXOMLNLNHMFFEH76CA,坡道平面,1420000,47.18
RPOOMLMLNHMFFEH38CA,坡道平面,0,29.05
RPPOMLMLNHMFFEH48CA,坡道平面,0,33.89
RPXOMLPLNHMFFEH96CA,坡道平面,1100000,34.83
RPXOMLPLNHMFFEH96CA,坡道平面,1050000,30.04
RPVNMLQLNHMFFEH76CA,坡道平面,0,47.18
RPVNMLQLNHMFFEH76CA,坡道平面,0,47.18
RPTQMLTKNHMFFFH17CA,坡道平面,1350000,36.82
RPOOMLMKNHMFFGH48CA,坡道平面,0,
RPXOMLKKNHMFFGH56CA,坡道平面,0,
RPQNMLPJNHMFFHH88CA,坡道平面,1200000,35.06
RPRNMLPJNHMFFHH98CA,坡道平面,1200000,35.06
RPQOMLSJNHMFFAH68DA,坡道平面,1100000,38.94
RPPNMLNKNHMFFBH18DA,坡道平面,1000000,28.39
RPROMLMLOHMFFAH58EA,坡道平面,1350000,29.82
RPPPMLMKPHMFFAH48EA,坡道平面,1000000,36.64
RPPPMLMKPHMFFAH48EA,坡道平面,1000000,36.64
RPRPMLMKPHMFFAH68EA,坡道平面,1000000,36.64
RPQNMLQJOHMFFGH56EA,坡道平面,0,
RPPOMLPJNHMFFFH78DA,坡道平面,950000,27.61
RPUNMLPKNHMFFFH66DA,坡道平面,1100000,32.88
RPVPMLPKNHMFFFH96DA,坡道平面,1200000,26.56
RPVNMLTJNHMFFFH07DA,坡道平面,1000000,28.56
RPQOMLLKNHMFFBH18DA,坡道平面,1200000,43.65
RPQOMLLKNHMFFAH08DA,坡道平面,0,32.44
RPROMLLKNHMFFAH18DA,坡道平面,1500000,
RPSNMLLKNHMFFHH78CA,坡道平面,0,
RPWNMLNJOHMFFGH66CA,坡道平面,0,16.32
RPOQMLTJNHMFFFH56CA,坡道平面,1100000,29.96
RPWOMLPKNHMFFFH86CA,坡道平面,0,26.19
RPWOMLPKNHMFFFH86CA,坡道平面,0,26.19
RPWOMLTJNHMFFFH17CA,坡道平面,0,26.93
RPWOMLTJNHMFFFH17CA,坡道平面,0,26.93
RPXOMLTJNHMFFFH27CA,坡道平面,0,29.25
RPXOMLTJNHMFFFH27CA,坡道平面,0,26.93
RPOPMLTJNHMFFFH09CA,坡道平面,1300000,29.25
RPVNMLQLNHMFFFH86CA,坡道平面,1350000,25.84
RPXNMLMLNHMFFFH66CA,坡道平面,0,
RPWOMLTKNHMFFEH17CA,坡道平面,1400000,31.67
RPXOMLTKNHMFFEH27CA,坡道平面,1300000,31.67
RPOPMLTKNHMFFEH09CA,坡道平面,1400000,31.67
RPPPMLTKNHMFFEH56CA,坡道平面,1300000,31.67
RPQPMLTKNHMFFEH66CA,坡道平面,1400000,31.67
RPQOMLNLNHMFFEH68CA,坡道平面,1350000,35.04
RPSNMLQKNHMFFEH98CA,坡道平面,1400000,22.53
RPXOMLMKNHMFFEH56CA,坡道平面,1850000,28.77
RPXOMLMKNHMFFEH56CA,坡道平面,1850000,28.77
RPOPMLMKNHMFFEH38CA,坡道平面,1550000,28.77
RPOPMLMKNHMFFEH38CA,坡道平面,1550000,28.77
RPRNMLPJNHMFFEH68CA,坡道平面,0,
RPQNMLTJNHMFFEH98CA,坡道平面,900000,36.93
RPOOMLTJNHMFFEH88CA,坡道平面,0,
RPQNMLQJOHMFFDH68CA,坡道平面,1200000,36.38
RPVNMLQJNHMFFDH09CA,坡道平面,0,
RPQNMLSJNHMFFDH78CA,坡道平面,1200000,29.13
RPRNMLPJNHMFFCH48CA,坡道平面,0,
RPWPMLRKNHMFFBH76CA,坡道平面,0,36.07
RPXNMLSJNHMFFBH66CA,坡道平面,1150000,36.04
RPPOMLSJNHMFFBH58CA,坡道平面,1050000,36.04
RPTQMLSJNHMFFBH56CA,坡道平面,1250000,36.04
RPWPMLLMNHMFFBH98CA,坡道平面,0,33.90
RPWPMLLMNHMFFBH98CA,坡道平面,0,33.90
RPTNMLMJOHMFFBH38CA,坡道平面,1600000,33.62
RPXPMLPLNHMFFBH76CA,其他,0,
RPSRMLQLNHMFFBH56CA,坡道平面,0,
RPROMLMJOHMFFAH18CA,坡道平面,750000,13.55
RPSOMLPLNHMFFAH68CA,坡道平面,1400000,47.26
RPRQMLQLNHMFFAH88CA,坡道平面,0,51.57
RPXNMLPLNHMFFAH09CA,坡道平面,1300000,47.26
RPPOMLPLNHMFFAH38CA,坡道平面,1300000,47.26
RPXPMLNLNHMFFAH09CA,坡道平面,0,
RPXPMLNLNHMFFAH09CA,坡道平面,0,
RPSNMLQKNHMFFAH58CA,坡道平面,0,28.82
RPSNMLQKNHMFFAH58CA,坡道平面,0,28.82
RPSNMLQKNHMFFAH58CA,坡道平面,0,28.82
RPWRMLTJNHMFFAH96CA,坡道平面,0,
RPWOMLSJNHMFFAH56CA,坡道平面,0,
RPVNMLTJNHMFFAH09CA,坡道平面,1350000,33.02
RPSOMLSJNHMFFAH78CA,坡道平面,0,30.47
RPOPMLRKNHMFFAH48CA,坡道平面,0,
RPUPMLNLNHMFFAH78CA,坡道平面,0,
RPUPMLNLNHMFFAH78CA,坡道平面,0,
RPSNMLOLNHMFFAH48CA,坡道平面,0,
RPVOMLLMNHMFFAH68CA,坡道平面,1050000,29.99
RPVOMLLMNHMFFAH68CA,坡道平面,1050000,29.99
RPVOMLLMNHMFFAH68CA,坡道平面,1050000,29.99
RPVOMLLMNHMFFAH68CA,坡道平面,1050000,29.99
RPRPMLKMOHMFFAH38CA,坡道機械,0,11.49
RPQOMLPLNHMFFBH58CA,坡道平面,1100000,32.17
RPQOMLPLNHMFFBH58CA,坡道平面,1100000,32.17
RPQOMLMJOHMFFBH18CA,坡道平面,800000,29.62
RPROMLMJOHMFFBH28CA,坡道平面,900000,29.62
RPXNMLLJOHMFFBH68CA,坡道平面,970000,31.07
RPPOMLLJOHMFFBH97CA,坡道平面,970000,31.07
RPQOMLLJOHMFFBH08CA,坡道平面,970000,31.07
RPVNMLQJNHMFFBH88CA,一樓平面,0,
RPRPMLQKNHMFFBH78CA,坡道平面,1300000,33.35
RPUPMLQKNHMFFBH09CA,坡道平面,1300000,33.35
RPTNMLQKNHMFFBH78CA,坡道平面,1600000,39.17
RPUNMLQKNHMFFBH88CA,坡道平面,1600000,43.65
RPWNMLQKNHMFFBH09CA,坡道平面,1600000,39.17
RPSRMLPKNHMFFBH98CA,一樓平面,0,
RPVQMLMKNHMFFBH88CA,坡道平面,0,
RPUOMLKKNHMFFBH38CA,坡道平面,0,
RPRPMLKKNHMFFBH18CA,坡道平面,0,19.42
RPQPMLLKNHMFFBH18CA,坡道平面,0,35.43
RPQPMLLKNHMFFBH18CA,坡道平面,0,35.43
RPWSMLSJNHMFFBH07CA,坡道平面,0,
RPSNMLKKNHMFFBH08CA,坡道平面,0,50.64
RPQPMLMLNHMFFBH38CA,坡道平面,1500000,39.94
RPQPMLMLNHMFFBH38CA,坡道平面,1500000,39.94
RPXOMLOLNHMFFBH56CA,坡道平面,0,
RPSNMLLMNHMFFCH48CA,坡道平面,1200000,32.55
RPPOMLSJNHMFFDH78CA,坡道平面,0,
