編號,車位類別,車位價格,車位面積平方公尺
RPPNMLPJNHMFFAX07CA,坡道平面,0,
RPQNMLOKOHMFFAX27CA,坡道平面,0,
RPTNMLNLOHMFFAX57CA,坡道平面,0,
RPQNMLOLOHMFFAX37CA,坡道平面,600000,23.30
RPTNMLOLOHMFFAX67CA,坡道平面,600000,23.30
RPOOMLOLOHMFFAX27CA,坡道平面,600000,23.30
RPPOMLOLOHMFFAX37CA,坡道平面,600000,23.30
RPQOMLOLOHMFFAX47CA,坡道平面,500000,23.25
RPTOMLOLOHMFFAX77CA,坡道平面,700000,23.30
RPWOMLOLOHMFFAX08CA,坡道平面,700000,23.30
RPPPMLOLOHMFFAX47CA,坡道平面,600000,23.30
RPQPMLOLOHMFFAX57CA,坡道平面,600000,23.30
RPRPMLOLOHMFFAX67CA,坡道平面,650000,23.30
RPSPMLOLOHMFFAX77CA,坡道平面,700000,23.30
RPUPMLOLOHMFFAX97CA,坡道平面,500000,23.25
RPWPMLOLOHMFFAX18CA,坡道平面,700000,23.30
RPOQMLOLOHMFFAX47CA,坡道平面,700000,23.30
RPPQMLOLOHMFFAX57CA,坡道平面,600000,23.30
RPVQMLOLOHMFFAX18CA,坡道平面,600000,23.30
RPSNMLMLOHMFFAX37CA,坡道平面,0,
RPUOMLPJPHMFFAX87CA,坡道平面,600000,23.30
RPSNMLPJPHMFFAX57CA,坡道平面,600000,23.30
RPXNMLPJPHMFFAX08CA,坡道平面,500000,23.30
RPSOMLPJPHMFFAX67CA,坡道平面,700000,23.30
RPTOMLPJPHMFFAX77CA,坡道平面,700000,23.30
RPWOMLPJPHMFFAX08CA,坡道平面,700000,23.30
RPSNMLOJPHMFFAX47CA,坡道平面,0,
