編號,車位類別,車位價格,車位面積平方公尺
RPWOMLMJQHMFFAD48CA,坡道機械,0,
RPSPMLLJQHMFFAD08CA,坡道機械,0,
RPVNMLLKQHMFFAD28CA,坡道平面,0,
RPOQMLLLQHMFFAD97CA,坡道平面,0,
RPOQMLNJQHMFFAD97CA,坡道平面,0,
RPUNMLSLQHMFFAD98CA,升降機械,0,13.17
RPUOMLOJQHMFFCD68CA,坡道平面,0,
RPQNMLQLQHMFFCD58CA,坡道平面,1250000,
RPSOMLPLQHMFFCD78CA,坡道平面,1050000,
RPRNMLQLQHMFFCD68CA,坡道平面,1050000,
RPSNMLQLQHMFFCD78CA,坡道平面,1050000,
RPSNMLLKQHMFFER17CA,坡道平面,0,
RPSNMLPKQHMFFER57CA,坡道平面,750000,
RPRNMLRJQHMFFHR87CA,坡道平面,0,
RPOOMLLJQHMFFHR07CA,坡道平面,0,
RPPOMLSJQHMFFHR87CA,坡道機械,500000,
RPRNMLSJQHMFFHR97CA,坡道平面,0,
RPPNMLMJQHMFFCD97DA,坡道平面,0,
RPUNMLTJQHMFFHR38CA,坡道平面,0,
RPUNMLTJQHMFFHR38CA,坡道平面,0,
RPUNMLTJQHMFFHR38CA,坡道平面,0,
RPWNMLTJQHMFFHR58CA,坡道平面,0,
RPWNMLTJQHMFFHR58CA,坡道平面,0,
RPOQMLNJQHMFFHR47CA,坡道平面,0,
RPXOMLMLQHMFFER97CA,坡道平面,700000,31.43
RPTOMLLKQHMFFAD18CA,坡道平面,0,40.00
RPTOMLLKQHMFFAD18CA,坡道平面,0,35.00
RPPOMLPKQHMFFAD18CA,坡道平面,0,34.69
RPQPMLSJQHMFFAD58CA,坡道平面,900000,32.55
RPXNMLPJQHMFFAD78CA,坡道機械,0,
RPXPMLNJQHMFFAD78CA,坡道平面,1000000,28.34
RPVPMLRJQHMFFAD98CA,坡道平面,0,33.42
RPVOMLKKQHMFFAD28CA,坡道平面,0,
SPVOMLOJQHMFFAD68CA,坡道平面,1050000,
RPXPMLRJQHMFFAD56CA,坡道平面,0,24.86
RPUOMLOJQHMFFAD48CA,坡道平面,1050000,
RPVOMLOJQHMFFAD58CA,坡道平面,1100000,
RPQPMLNJQHMFFAD08CA,坡道機械,0,
RPQNMLRJQHMFFAD28CA,坡道平面,1100000,27.73
RPSPMLSJQHMFFAD78CA,坡道平面,0,
RPQNMLOKQHMFFAD08CA,坡道平面,860000,30.66
RPVNMLOKQHMFFAD58CA,坡道平面,960000,30.66
RPUNMLKMQHMFFAD28CA,坡道平面,1100000,38.74
RPUNMLKMQHMFFAD28CA,坡道平面,1300000,38.74
RPSOMLSKQHMFFAD78CA,坡道平面,0,30.66
RPPOMLSLQHMFFAD58CA,坡道平面,1000000,36.02
RPSNMLTLQHMFFCD09CA,坡道平面,1100000,
RPSNMLPJQHMFFCD48CA,坡道平面,0,
RPXNMLSJQHMFFCD66CA,坡道機械,400000,
RPPPMLRJQHMFFBD48CA,坡道機械,0,
RPVOMLSJQHMFFCD56CA,升降機械,600000,
RPQOMLQKQHMFFCD58CA,坡道機械,0,
RPVNMLQLQHMFFCD09CA,坡道平面,1250000,
RPXNMLQLQHMFFCD66CA,坡道平面,1350000,
RPXNMLQLQHMFFCD66CA,坡道平面,1250000,
RPWOMLOLQHMFFCD09CA,坡道平面,0,25.33
RPPNMLTLQHMFFCD78CA,坡道平面,0,25.33
RPWNMLNLQHMFFCD88CA,坡道機械,0,9.83
RPOPMLMLQHMFFER17CA,坡道平面,700000,31.43
RPQPMLMLQHMFFER37CA,坡道平面,600000,31.43
RPPPMLMLQHMFFER27CA,坡道平面,700000,31.43
RPQNMLTLQHMFFER87CA,坡道平面,750000,
