編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPPMLNJQHMFFAF18CA,5,194.46,住家用,鋼筋混凝土造,101年10月26日,二十九層,二十六層
RPPPMLNJQHMFFAF18CA,5,50.00,見其他登記事項,見其他登記事項,101年10月26日,二十九層,
RPPPMLNJQHMFFAF18CA,5,33.23,見其他登記事項,見其他登記事項,101年10月26日,二十九層,
RPPPMLNJQHMFFAF18CA,5,.30,住家用,鋼筋混凝土造,101年10月26日,二十九層,
RPPPMLNJQHMFFAF18CA,5,.07,見其他登記事項,見其他登記事項,101年10月26日,二十九層,
RPPPMLNJQHMFFAF18CA,5,72.11,見其他登記事項,見其他登記事項,101年10月26日,二十九層,
RPSOMLNJQHMFFAF38CA,35,89.06,住家用,鋼筋混凝土造,70年12月31日,五層,一層
RPQNMLNJQHMFFAF08CA,1,82.16,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,八層
RPQNMLNJQHMFFAF08CA,1,13.11,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPQNMLNJQHMFFAF08CA,1,51.17,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPXOMLMJQHMFFAF78CA,1,130.33,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,十八層
RPXOMLMJQHMFFAF78CA,1,36.22,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPXOMLMJQHMFFAF78CA,1,45.58,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,
RPUOMLOJQHMFFAF68CA,9,31.41,住家用,鋼筋混凝土造,97年11月20日,十三層,六層
RPUOMLOJQHMFFAF68CA,9,10.06,共有部份,鋼筋混凝土造,97年11月20日,十三層,
RPUOMLOJQHMFFAF68CA,9,6.82,共有部份,鋼筋混凝土造,97年11月20日,十三層,
RPORMLMJQHMFFAF18CA,22,80.34,住家用,鋼筋混凝土造,84年11月9日,十四層,九層
RPORMLMJQHMFFAF18CA,22,5.95,共有部份,鋼筋混凝土造,84年11月9日,十四層,
RPSNMLRJQHMFFAF68CA,,58.93,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,五層
RPSNMLRJQHMFFAF68CA,,28.98,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPRRMLNJQHMFFAF58CA,21,24.51,住家用,鋼筋混凝土造,85年8月2日,十九層,十層
RPRRMLNJQHMFFAF58CA,21,4.57,共有部份,鋼筋混凝土造,85年8月2日,十九層,
RPRRMLNJQHMFFAF58CA,21,2.62,共有部份,鋼筋混凝土造,85年8月2日,十九層,
RPUOMLMJQHMFFAF48CA,1,66.99,見其他登記事項,鋼筋混凝土造,105年2月5日,二十四層,十九層
