編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLLJQHMFFHN96CC,40,99.93,住商用,鋼筋混凝土加強磚造,66年10月13日,三層,
RPUNMLQKQHMFFDN67DC,50,52.02,住商用,加強磚造,56年4月21日,三層,
RPQOMLPLQHMFFAN07DC,20,86.01,住家用,鋼筋混凝土造,86年5月26日,十七層,
RPQOMLPLQHMFFAN07DC,20,23.59,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPSNMLLKQHMFFBN76DC,23,208.00,農舍,見其他登記事項,83年3月23日,一層,
RPUNMLMJQHMFFDN07CC,1,189.01,見其他登記事項,鋼筋混凝土造,105年6月3日,三層,
RPTNMLMJQHMFFDN96CC,4,165.04,見其他登記事項,鋼筋混凝土造,102年10月3日,五層,
RPPOMLOKQHMFFBN86DC,29,57.71,住商用,鋼筋混凝土造,77年10月8日,三層,
RPSNMLNKRHMFFDN17CC,5,193.46,見其他登記事項,鋼筋混凝土造,101年12月12日,三層,
RPXNMLMKRHMFFCN57DC,1,134.66,見其他登記事項,鋼筋混凝土造,102年7月30日,四層,
RPSNMLRLRHMFFDN67CC,43,61.28,住家用,鋼筋混凝土加強磚造,64年2月6日,三層,
RPRNMLPKRHMFFBN07CC,45,948.37,工業用,鋼筋混凝土加強磚造,61年5月1日,一層,
RPUNMLMLRHMFFAN07CC,42,608.85,工業用,見其他登記事項,64年10月4日,一層,
RPUNMLMLRHMFFAN07CC,30,23.01,見其他登記事項,鋼造,77年2月27日,一層,
RPUNMLMLRHMFFAN07CC,37,1084.13,工商用,鋼造,70年2月19日,一層,
RPUNMLMLRHMFFAN07CC,38,594.00,工業用,加強磚造,68年12月18日,一層,
RPPNMLPLRHMFFHN57CC,34,42.21,住商用,鋼筋混凝土造,73年2月16日,四層,
RPQNMLMJIIMFFCN48CC,20,201.57,見其他登記事項,鋼筋混凝土造,86年8月14日,四層,
RPQNMLQJIIMFFDN98CC,39,152.84,住商用,鋼筋混凝土加強磚造,67年4月27日,三層,
RPPNMLNLIIMFFCN78DC,4,26.44,見其他登記事項,鋼筋混凝土造,102年7月30日,四層,
RPPNMLQKIIMFFDN09DC,10,144.12,住商用,鋼筋混凝土造,96年5月15日,四層,
