編號,車位類別,車位價格,車位面積平方公尺
RPPNMLOKQHMFFAP56CA,坡道平面,0,29.80
RPWNMLMJQHMFFAP96CA,坡道平面,0,
RPQNMLOKQHMFFAP66CA,坡道平面,0,29.80
RPSOMLOKQHMFFAP96CA,坡道平面,0,29.80
RPUNMLOKQHMFFAP07CA,坡道平面,0,29.80
RPUNMLKKQHMFFDP96CA,坡道平面,0,33.00
RPPNMLPKQHMFFFP17CA,升降機械,0,8.28
RPSNMLLLQHMFFAP66CA,坡道平面,600000,
RPTNMLLLQHMFFAP76CA,坡道平面,600000,
RPXOMLOKQHMFFAP47CA,坡道平面,0,29.80
RPWOMLOKQHMFFAP37CA,坡道平面,0,29.80
RPVOMLOKQHMFFAP27CA,坡道平面,0,29.80
RPOPMLOKQHMFFAP66CA,坡道平面,0,29.80
RPPOMLOKQHMFFAP66CA,坡道平面,0,29.80
RPWNMLOKQHMFFAP27CA,坡道平面,0,29.80
RPOOMLOKQHMFFAP56CA,坡道平面,0,29.80
RPOQMLRJQHMFFAP07DA,坡道機械,0,
RPPOMLSLQHMFFAP17CA,坡道機械,0,
RPRNMLOLQHMFFBP17EA,坡道平面,0,25.78
RPVNMLNLQHMFFAP17CA,坡道機械,0,3.16
RPXNMLRKQHMFFAP67CA,坡道平面,0,
RPTNMLLMQHMFFAP86CA,一樓平面,0,
RPVOMLSKQHMFFAP67CA,一樓平面,0,
RPPNMLSKQHMFFAP96CA,坡道機械,0,
RPPNMLPLQHMFFDP07CA,升降機械,0,25.54
RPQNMLOLQHMFFDP07CA,坡道平面,0,33.00
RPQNMLOLQHMFFDP07CA,坡道平面,0,33.00
RPSNMLNLQHMFFAP86CA,坡道平面,0,29.80
RPRNMLNKRHMFFAP96EA,坡道平面,0,
RPROMLKMQHMFFAP66CA,一樓平面,0,
RPQNMLLJRHMFFBP09CA,升降機械,0,11.67
RPQOMLLJRHMFFDP76CA,坡道機械,0,
RPVNMLRKIIMFFDP07CA,升降機械,0,
RPUNMLPJRHMFFDP47CA,坡道平面,0,33.00
RPRNMLMKRHMFFAP66CA,升降機械,0,
RPUNMLTKRHMFFBP77CA,坡道機械,0,11.86
RPPNMLLKIIMFFDP48CA,坡道機械,0,
RPROMLNKRHMFFAP86CA,坡道平面,0,
RPPNMLOLRHMFFAP76CA,坡道機械,0,
RPXNMLTKRHMFFAP97CA,坡道機械,0,
RPROMLTKRHMFFAP47CA,坡道平面,0,29.80
RPRNMLLLRHMFFAP66CA,坡道機械,0,
RPUOMLLLRHMFFAP07CA,一樓平面,0,
RPSNMLRLRHMFFAP37CA,坡道機械,0,
RPSNMLMLRHMFFCP07CA,坡道平面,0,
RPRNMLKMRHMFFDP96CA,坡道平面,0,33.00
RPROMLRLRHMFFAP47DA,坡道機械,0,
RPQNMLNKIIMFFAP68EA,坡道平面,500000,13.75
RPSOMLTLRHMFFAP67CA,坡道平面,0,
RPVOMLLKIIMFFAP88CA,一樓平面,0,
RPOOMLPJIIMFFAP48CA,坡道機械,0,
RPPNMLPJIIMFFAP58DA,升降機械,0,
RPVNMLQJIIMFFAP76EA,一樓平面,0,
RPVNMLQJIIMFFAP76EA,一樓平面,0,
RPTNMLRKIIMFFAP66DA,坡道平面,0,
RPQNMLRKIIMFFBP98CA,一樓平面,0,
RPWNMLSJJIMFFAP17EA,升降機械,0,
RPRNMLKMIIMFFEP88CA,升降機械,0,
RPSNMLSKIIMFFEP07DA,坡道機械,0,11.60
RPOOMLSKIIMFFAP88CA,坡道機械,0,
RPPNMLQLIIMFFDP09CA,升降機械,0,
RPPOMLKLIIMFFAP28CA,坡道機械,0,3.16
RPPNMLOLIIMFFAP58CA,坡道平面,0,
RPWNMLOKKIMFFDP07CA,坡道機械,0,6.45
RPRNMLLJKIMFFFP98CA,其他,0,26.18
RPSNMLQJJIMFFBP09CA,坡道平面,0,
RPXNMLTJJIMFFAP17CA,坡道平面,0,29.80
RPOOMLTJJIMFFAP98CA,坡道平面,0,29.80
RPTNMLTLJIMFFAP96CA,坡道機械,0,
RPRNMLNKJIMFFAP68CA,一樓平面,0,19.15
RPRNMLRKJIMFFAP09CA,其他,0,
