編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQOMLMJJHNFFCA37CC,中山段一小段,.00,都市：商
RPTOMLMJJHNFFCA67CC,文德段一小段,37.93,都市：住
RPRNMLMJJHNFFCA37CC,長安段一小段,.00,非都市： ; 非都市編定：
RPTPMLMJJHNFFCA77CC,碧湖段二小段,.00,都市：商
RPVOMLMJJHNFFCA87CC,碧湖段二小段,.00,都市：住
RPOPMLMJJHNFFCA27CC,石潭段五小段,.00,非都市： ; 非都市編定：
RPOOMLMJJHNFFCA17CC,碧湖段四小段,.00,都市：住
RPRPMLMJJHNFFCA57CC,文德段一小段,41.56,都市：住
RPUPMLMJJHNFFCA87CC,西湖段四小段,.00,都市：工
RPVPMLMJJHNFFCA97CC,文德段一小段,.00,都市：住
RPXQMLMJJHNFFCA28CC,中山段一小段,.00,都市：住
RPWQMLMJJHNFFCA18CC,長安段一小段,.00,都市：住
RPTPMLMJJHNFFDA87CC,信義段四小段,71.85,都市：其他
RPVOMLMJJHNFFEA08CC,溫泉段一小段,.00,都市：其他
RPTOMLMJJHNFFBA57CC,福星段三小段,.00,都市：商
RPPOMLMJJHNFFFA57CC,大安段一小段,.00,都市：商
RPVPMLMJJHNFFDA08CC,信義段三小段,.00,都市：其他
RPSPMLMJJHNFFDA77CC,信義段四小段,74.04,都市：其他
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPSOMLMJJHNFFBA47CC,市府段二小段,.00,都市：商
RPUOMLNJJHNFFFA18CC,大安段三小段,.00,都市：住
RPVOMLNJJHNFFBA87CC,大龍段三小段,236.92,都市：其他
RPRNMLNJJHNFFAA27CC,永昌段五小段,.00,都市：住
RPRNMLNJJHNFFAA27CC,永昌段五小段,.00,都市：住
RPRNMLNJJHNFFAA27CC,永昌段五小段,.00,都市：住
RPXNMLNJJHNFFFA38CC,仁愛段四小段,.00,都市：其他
RPXNMLNJJHNFFFA38CC,仁愛段四小段,.00,都市：其他
RPWOMLNJJHNFFFA38CC,通化段四小段,.00,都市：商
RPVOMLNJJHNFFFA28CC,懷生段二小段,.00,都市：商
RPVNMLNJJHNFFEA08CC,永新段四小段,.00,都市：住
RPTOMLNJJHNFFEA97CC,立農段一小段,.00,都市：住
RPWNMLNJJHNFFEA18CC,陽明段一小段,.00,都市：商
RPTOMLNJJHNFFEA97CC,立農段一小段,.00,都市：住
RPVOMLNJJHNFFEA18CC,百齡段六小段,.00,都市：住
RPXOMLNJJHNFFEA38CC,芝蘭段一小段,623.25,都市：住
RPUNMLNJJHNFFDA87CC,美仁段一小段,.00,都市：住
RPUNMLNJJHNFFDA87CC,美仁段一小段,.00,都市：住
RPOPMLNJJHNFFEA57CC,芝山段一小段,.00,都市：住
RPVNMLNJJHNFFDA97CC,敦化段五小段,.00,都市：住
RPVNMLNJJHNFFCA87CC,德惠段二小段,.00,都市：住
RPWOMLNJJHNFFDA18CC,信義段四小段,52.33,都市：其他
RPVOMLNJJHNFFDA08CC,寶清段二小段,.00,都市：商
RPSOMLNJJHNFFCA67CC,中山段三小段,.00,都市：商
RPXNMLNJJHNFFCA08CC,長安段三小段,.00,都市：住
RPWOMLNJJHNFFCA08CC,北安段四小段,.00,都市：住
RPROMLNJJHNFFCA57CC,北安段三小段,.00,都市：住
RPUOMLNJJHNFFCA87CC,北安段三小段,.00,都市：住
RPWOMLOJJHNFFCA18CC,德惠段三小段,.00,都市：其他
RPOQMLNJJHNFFCA47CC,北安段三小段,.00,都市：住
RPUOMLOJJHNFFCA97CC,德惠段三小段,.00,都市：其他
RPXPMLOJJHNFFCA38CC,康寧段三小段,.00,都市：住
RPXNMLOJJHNFFCA18CC,吉林段四小段,.00,都市：商
RPRPMLOJJHNFFCA77CC,長安段四小段,.00,都市：住
RPWPMLNJJHNFFCA18CC,金泰段,.00,都市：住
RPOQMLOJJHNFFCA57CC,榮星段四小段,.00,都市：住
RPRPMLNJJHNFFCA67CC,舊宗段,.00,都市：其他
RPPNMLOJJHNFFDA47CC,美仁段二小段,.00,都市：住
RPQNMLOJJHNFFDA57CC,寶清段五小段,9.40,都市：住
RPSNMLOJJHNFFDA77CC,永春段三小段,.00,都市：住
RPSNMLOJJHNFFDA77CC,永春段三小段,.00,都市：住
RPUNMLOJJHNFFDA97CC,敦化段一小段,.00,都市：商
RPWNMLOJJHNFFDA18CC,敦化段一小段,.00,都市：商
RPWNMLOJJHNFFDA18CC,敦化段一小段,.00,都市：商
RPWNMLOJJHNFFDA18CC,敦化段一小段,.00,都市：商
RPWNMLOJJHNFFDA18CC,敦化段一小段,.00,都市：商
RPWNMLOJJHNFFDA18CC,敦化段一小段,.00,都市：商
RPTNMLOJJHNFFDA87CC,敦化段一小段,.00,都市：商
RPTNMLOJJHNFFDA87CC,敦化段一小段,.00,都市：商
RPTNMLOJJHNFFDA87CC,敦化段一小段,.00,都市：商
RPTNMLOJJHNFFDA87CC,敦化段一小段,.00,都市：商
RPTNMLOJJHNFFDA87CC,敦化段一小段,.00,都市：商
RPVNMLOJJHNFFEA18CC,三玉段三小段,.00,都市：住
RPVNMLOJJHNFFEA18CC,三玉段三小段,.00,都市：住
RPVNMLOJJHNFFEA18CC,三玉段三小段,.00,都市：住
RPUOMLOJJHNFFEA18CC,奇岩段五小段,.00,都市：住
RPXOMLOJJHNFFDA38CC,西松段二小段,.00,都市：住
RPROMLOJJHNFFEA87CC,福順段二小段,.00,都市：住
RPRNMLOJJHNFFFA87CC,仁愛段一小段,134.00,都市：商
RPXNMLOJJHNFFEA38CC,三玉段三小段,.00,都市：住
RPWOMLOJJHNFFEA38CC,溫泉段一小段,.00,都市：其他
RPRPMLOJJHNFFEA97CC,天母段三小段,.00,都市：住
RPOOMLOJJHNFFFA67CC,辛亥段四小段,.00,都市：其他
RPOOMLOJJHNFFFA67CC,辛亥段四小段,.00,都市：住
RPSOMLOJJHNFFFA08CC,復興段一小段,.00,都市：商
RPPNMLOJJHNFFAA17CC,政大段二小段,.00,都市：住
RPXOMLOJJHNFFFA68DC,瑞安段二小段,.00,都市：住
RPXOMLOJJHNFFFA68DC,瑞安段二小段,.00,都市：住
RPXOMLOJJHNFFFA68DC,瑞安段二小段,.00,都市：住
RPRNMLPJJHNFFBA57CC,市府段二小段,.00,都市：商
RPRNMLPJJHNFFFA97CC,通化段六小段,.00,都市：住
RPSOMLPJJHNFFBA77CC,漢中段三小段,.00,都市：商
RPQOMLPJJHNFFFA97CC,復興段二小段,.00,都市：住
RPXNMLPJJHNFFFA58CC,仁愛段二小段,.00,都市：商
RPXNMLPJJHNFFFA58CC,仁愛段二小段,.00,都市：商
RPTNMLPJJHNFFFA18CC,仁愛段二小段,.00,都市：商
RPTNMLPJJHNFFFA18CC,仁愛段二小段,.00,都市：商
RPSNMLPJJHNFFEA97CC,芝山段一小段,.00,都市：住
RPPOMLPJJHNFFFA87CC,仁愛段二小段,.00,都市：商
RPTNMLPJJHNFFEA08CC,文林段三小段,.00,都市：住
RPWOMLPJJHNFFEA48CC,三玉段四小段,.00,都市：住
RPVOMLPJJHNFFEA38CC,華岡段五小段,.00,都市：住
RPWNMLPJJHNFFFA48CC,仁愛段二小段,.00,都市：商
RPWNMLPJJHNFFFA48CC,仁愛段二小段,.00,都市：商
RPUOMLPJJHNFFDA18CC,西松段二小段,5.26,都市：住
RPUOMLPJJHNFFDA18CC,西松段二小段,.87,都市：住
RPOPMLPJJHNFFDA67CC,敦化段五小段,49.97,都市：商
RPWOMLPJJHNFFDA38CC,民生段,.00,都市：其他
RPSOMLPJJHNFFDA97CC,逸仙段三小段,15.74,都市：住
RPWNMLPJJHNFFCA18CC,正義段四小段,.00,都市：商
RPXNMLPJJHNFFCA28CC,中山段一小段,.00,都市：商
RPQOMLPJJHNFFCA67CC,正義段三小段,.00,都市：商
RPSOMLPJJHNFFCA87CC,長安段三小段,.00,都市：商
RPWOMLPJJHNFFCA28CC,正義段三小段,.00,都市：商
RPTOMLPJJHNFFCA97CC,吉林段四小段,.00,都市：住
RPTOMLPJJHNFFCA97CC,吉林段四小段,.00,都市：住
RPTRMLPJJHNFFCA28CC,吉林段四小段,.00,都市：商
RPVNMLSJJHNFFEA58CC,文林段一小段,.00,都市：住
RPQNMLQJJHNFFEA87CC,三玉段二小段,.00,都市：商
RPUNMLSJJHNFFEA48CC,關渡段二小段,.00,都市：住
RPSNMLQJJHNFFCA87CC,吉林段四小段,.00,都市：住
RPOPMLPJJHNFFCA57CC,榮星段二小段,.00,都市：住
RPPNMLQJJHNFFDA67CC,美仁段一小段,77.22,都市：住
RPTPMLPJJHNFFCA08CC,德惠段三小段,.00,都市：其他
RPPNMLSJJHNFFDA87CC,逸仙段三小段,.00,都市：商
RPPNMLSJJHNFFDA87CC,逸仙段三小段,.00,都市：住
RPPNMLSJJHNFFDA87CC,逸仙段三小段,.00,都市：商
RPWNMLSJJHNFFDA58CC,吳興段三小段,.00,都市：住
RPXNMLSJJHNFFDA68CC,美仁段一小段,.00,都市：商
RPOOMLSJJHNFFDA87CC,延吉段一小段,.00,都市：住
RPSOMLSJJHNFFDA28CC,延吉段三小段,.00,都市：住
RPPNMLSJJHNFFCA77CC,中山段四小段,.00,都市：商
RPSOMLSJJHNFFCA18CC,康寧段三小段,.00,都市：住
RPROMLSJJHNFFEA28CC,振興段二小段,.00,都市：商
RPTPMLSJJHNFFCA38CC,長安段三小段,.00,都市：商
RPTPMLSJJHNFFCA38CC,長安段三小段,.00,都市：住
RPSQMLSJJHNFFCA38CC,康寧段三小段,.00,非都市： ; 非都市編定：
RPPPMLSJJHNFFCA97CC,吉林段五小段,.00,都市：商
RPPPMLSJJHNFFCA97CC,吉林段五小段,.00,都市：商
RPRPMLSJJHNFFCA18CC,德惠段三小段,.00,都市：其他
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：住
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：商
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：商
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：商
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：商
RPXOMLSJJHNFFDA78CC,逸仙段三小段,.00,都市：商
RPUQMLSJJHNFFCA58CC,長春段一小段,29.00,都市：住
RPPRMLSJJHNFFCA18CC,中山段一小段,.00,非都市： ; 非都市編定：
RPRNMLSJJHNFFFA28CC,學府段二小段,.00,都市：住
RPTNMLSJJHNFFFA48CC,懷生段二小段,.00,都市：商
RPPSMLSJJHNFFCA28CC,北安段三小段,.00,非都市： ; 非都市編定：
RPWRMLSJJHNFFCA88CC,正義段三小段,.00,非都市： ; 非都市編定：
RPWOMLSJJHNFFBA48CC,城中段一小段,.00,都市：住
RPRNMLTJJHNFFBA97CC,玉泉段二小段,.00,都市：商
RPQNMLTJJHNFFBA87CC,市府段一小段,.00,都市：其他
RPVRMLSJJHNFFCA78CC,長安段三小段,.00,非都市： ; 非都市編定：
RPPNMLSJJHNFFFA08CC,通化段一小段,.00,都市：商
RPOOMLTJJHNFFBA77CC,雙連段二小段,.00,都市：商
RPOOMLTJJHNFFBA77CC,雙連段二小段,.00,都市：住
RPPNMLTJJHNFFBA77CC,市府段一小段,.00,都市：其他
RPSNMLTJJHNFFFA48CC,仁愛段五小段,.00,都市：住
RPWNMLTJJHNFFFA88CC,復興段二小段,.00,都市：住
RPTNMLTJJHNFFAA08CC,永昌段六小段,.00,都市：住
RPUOMLTJJHNFFFA78CC,仁愛段一小段,.00,都市：商
RPROMLTJJHNFFCA18CC,中山段一小段,.00,都市：商
RPWNMLTJJHNFFCA58CC,北安段二小段,.00,都市：住
RPWNMLTJJHNFFCA58CC,北安段二小段,.00,都市：住
RPPOMLTJJHNFFCA97CC,文德段五小段,.00,都市：工
RPPOMLTJJHNFFFA28CC,復興段三小段,.00,都市：其他
RPQOMLTJJHNFFCA08CC,西湖段四小段,.00,都市：工
RPPPMLTJJHNFFCA08CC,吉林段三小段,.00,都市：商
RPPPMLTJJHNFFDA18CC,福德段三小段,.00,都市：商
RPVNMLTJJHNFFDA58CC,南港段四小段,52.95,都市：住
RPXOMLTJJHNFFCA78CC,碧湖段二小段,.00,都市：住
RPQPMLTJJHNFFDA28CC,逸仙段三小段,.00,都市：商
RPQPMLTJJHNFFDA28CC,逸仙段三小段,.00,都市：商
RPTNMLTJJHNFFDA38CC,祥和段三小段,.00,都市：住
RPSPMLTJJHNFFDA48CC,美仁段一小段,.00,都市：其他
RPPNMLTJJHNFFDA97CC,敦化段一小段,.00,都市：商
RPOPMLTJJHNFFCA97CC,長安段三小段,.00,都市：住
RPWPMLTJJHNFFDA88CC,美仁段二小段,.00,都市：商
RPUPMLTJJHNFFDA68CC,中南段一小段,28.06,都市：住
RPPQMLTJJHNFFDA28CC,美仁段一小段,.00,都市：商
RPXPMLTJJHNFFDA98CC,西松段二小段,.00,都市：商
RPTNMLTJJHNFFEA48CC,芝山段一小段,.00,都市：住
RPUNMLTJJHNFFEA58CC,芝山段二小段,.00,都市：住
RPUOMLTJJHNFFEA68CC,豐年段二小段,.00,都市：住
RPSOMLTJJHNFFEA48CC,振興段三小段,.00,都市：住
RPVOMLTJJHNFFEA78CC,天母段一小段,.00,都市：商
RPPPMLTJJHNFFEA28CC,三玉段二小段,.00,都市：住
RPVNMLTJJHNFFEA68CC,陽明段四小段,.00,都市：住
RPXOMLTJJHNFFEA98CC,行義段三小段,.00,都市：住
RPTOMLTJJHNFFEA58CC,溫泉段一小段,.00,都市：其他
RPRNMLKKJHNFFEA47CC,三玉段二小段,.00,都市：商
RPTNMLKKJHNFFEA67CC,桃源段二小段,.00,都市：住
RPSOMLKKJHNFFEA67CC,三玉段二小段,.00,都市：商
RPPOMLKKJHNFFEA37CC,陽明段二小段,.00,都市：商
RPPNMLKKJHNFFCA07CC,金泰段,.00,都市：商
RPSNMLKKJHNFFEA57CC,振興段二小段,.00,都市：商
RPRNMLKKJHNFFCA27CC,文德段五小段,234.55,都市：工
RPROMLKKJHNFFDA47CC,西松段二小段,.00,都市：其他
RPROMLKKJHNFFDA47CC,西松段二小段,.00,都市：其他
RPTPMLKKJHNFFCA67CC,康寧段三小段,.00,都市：商
RPSOMLKKJHNFFCA47CC,長安段三小段,.00,都市：住
RPSOMLKKJHNFFCA47CC,長安段三小段,.00,都市：住
RPROMLKKJHNFFCA37CC,長安段四小段,.00,都市：商
RPUPMLKKJHNFFCA77CC,康寧段三小段,.00,都市：商
RPPQMLKKJHNFFCA37CC,長安段三小段,.00,都市：住
RPPQMLKKJHNFFCA37CC,長安段三小段,.00,都市：住
RPXPMLKKJHNFFCA08CC,中山段二小段,.00,都市：商
RPRQMLKKJHNFFCA57CC,吉林段二小段,.00,都市：商
RPOQMLKKJHNFFCA27CC,長安段二小段,.00,都市：商
RPQQMLKKJHNFFCA47CC,吉林段四小段,.00,都市：商
RPQNMLKKJHNFFFA47CC,學府段二小段,.00,都市：住
RPQNMLKKJHNFFFA47CC,學府段二小段,.00,都市：住
RPQOMLKKJHNFFBA17CC,中正段二小段,.00,都市：商
RPSNMLKKJHNFFFA67CC,金華段二小段,.00,都市：住
RPROMLKKJHNFFFA67CC,瑞安段二小段,.00,都市：住
