編號,車位類別,車位價格,車位面積平方公尺
RPTOMLMJJHNFFCA67CC,坡道平面,3500,37.93
RPRPMLMJJHNFFCA57CC,坡道平面,0,41.56
RPUPMLMJJHNFFCA87CC,坡道平面,0,27.60
RPUPMLMJJHNFFCA87CC,坡道平面,0,27.60
RPVPMLMJJHNFFCA97CC,坡道平面,0,41.56
RPVOMLNJJHNFFFA28CC,升降平面,0,28.38
RPVNMLNJJHNFFEA08CC,坡道平面,0,45.36
RPWNMLNJJHNFFEA18CC,坡道平面,0,31.72
RPXOMLNJJHNFFEA38CC,坡道平面,0,38.00
RPXOMLNJJHNFFEA38CC,坡道平面,0,38.00
RPVOMLNJJHNFFDA08CC,升降機械,0,11.78
RPWOMLNJJHNFFCA08CC,坡道平面,0,
RPUOMLNJJHNFFCA87CC,坡道平面,0,
RPWPMLNJJHNFFCA18CC,坡道平面,0,60.54
RPUNMLOJJHNFFDA97CC,坡道平面,0,30.09
RPWOMLPJJHNFFEA48CC,坡道平面,0,35.09
RPTOMLPJJHNFFCA97CC,坡道平面,5000,
RPOPMLPJJHNFFCA57CC,坡道平面,0,
RPWNMLSJJHNFFDA58CC,坡道平面,0,14.54
RPWNMLSJJHNFFDA58CC,坡道平面,0,14.54
RPWNMLSJJHNFFDA58CC,坡道平面,0,14.54
RPROMLTJJHNFFCA18CC,升降平面,0,41.24
RPXOMLTJJHNFFCA78CC,坡道機械,0,
RPSPMLTJJHNFFDA48CC,坡道平面,7000,32.89
RPSOMLTJJHNFFEA48CC,坡道平面,0,16.62
RPPPMLTJJHNFFEA28CC,坡道平面,0,
RPPNMLKKJHNFFCA07CC,坡道機械,0,4.93
RPSOMLKKJHNFFCA47CC,坡道平面,0,11.51
RPPQMLKKJHNFFCA37CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPQNMLKKJHNFFFA47CC,坡道平面,0,
RPSNMLKKJHNFFFA67CC,坡道機械,0,31.11
RPSNMLKKJHNFFFA67CC,坡道機械,0,31.11
RPSNMLKKJHNFFFA67CC,坡道平面,0,51.86
