鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
東區,房地(土地+建物),臺中市東區東南街91~120號,5.91,住,,,1061201,土地1建物1車位0,四層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850703,30.72,1,1,1,有,有,1000000,32552,,0.0,0,,RPQNMLNJJHNFFAB07CA
西區,房地(土地+建物),臺中市西區民生路121~150號,2.6,商,,,1061201,土地1建物1車位0,二十層,二十二層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850119,43.55,1,1,1,有,有,1500000,34443,,0.0,0,,RPSNMLNJJHNFFAB27CA
中區,房地(土地+建物),臺中市中區繼光街1~30號,92.0,商,,,1061101,土地3建物1車位0,全,二層,透天厝,商業用,磚造,,117.36,0,0,0,無,無,16100000,137185,,0.0,0,,RPUNMLNJJHNFFAB47CA
中區,房地(土地+建物),臺中市中區臺灣大道一段306巷31~60號,3.71,商,,,1061101,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820827,37.77,1,1,1,有,有,1260000,33360,,0.0,0,,RPROMLNJJHNFFAB27CA
中區,房地(土地+建物),臺中市中區臺灣大道一段306巷31~60號,9.17,商,,,1061101,土地1建物2車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820827,93.35,2,2,2,有,有,3000000,32137,,0.0,0,,RPSOMLNJJHNFFAB37CA
南區,房地(土地+建物)+車位,臺中市南區復興路一段301~330號,15.06,商,,,1061101,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941219,136.04,4,0,4,有,有,5500000,40429,坡道平面,0.0,1000000,,RPRPMLOJJHNFFAB47CA
東區,房地(土地+建物)+車位,臺中市東區一心街391~420號,20.64,商,,,1051001,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060922,187.95,3,2,2,有,有,8520000,46858,坡道平面,50.94,2100000,,RPSPMLPJJHNFFAB67CA
東區,房地(土地+建物)+車位,臺中市東區一心街391~420號,20.38,商,,,1051001,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060922,163.3,3,2,2,有,有,7980000,49554,坡道平面,25.47,1150000,,RPTPMLPJJHNFFAB77CA
西區,房地(土地+建物),臺中市西區忠明南路301~330號,13.75,商,,,1061101,土地1建物1車位0,二十層,二十七層,辦公商業大樓,商業用,鋼筋混凝土造,0800119,259.6,0,0,0,無,有,11600000,44684,,0.0,0,,RPRNMLSJJHNFFAB67CA
東區,房地(土地+建物),臺中市東區建智街121~150號,8.06,住,,,1060901,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830617,58.58,2,1,1,有,有,1600000,27313,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLSJJHNFFAB28CA
南區,房地(土地+建物),臺中市南區五權南路721~750號,155.0,住,,,1061001,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691111,98.58,5,2,3,有,無,12800000,129844,,0.0,0,,RPOOMLSJJHNFFAB47CA
