編號,車位類別,車位價格,車位面積平方公尺
RPOPMLTKJHNFFBC97CA,坡道平面,1050000,35.96
RPPPMLTKJHNFFBC08CA,坡道平面,1050000,35.96
RPOPMLSJJHNFFCC87CA,坡道平面,0,
RPTOMLNLJHNFFBC87CA,坡道平面,950000,31.21
RPTOMLNLJHNFFBC87CA,坡道平面,1000000,35.96
RPVWMLPJJHNFFBC88CA,坡道平面,500000,34.70
RPVOMLTKJHNFFBC58CA,坡道平面,1000000,35.96
RPPPMLSJJHNFFCC97CA,坡道平面,0,15.21
RPPNMLLKJHNFFBC07CA,坡道平面,0,
RPTNMLSJJHNFFBC08CA,坡道平面,0,
RPWNMLMKJHNFFBC87CA,坡道平面,0,
RPURMLLKJHNFFBC97CA,坡道平面,0,
RPRNMLKKJHNFFCC27CA,坡道平面,1500000,15.87
RPWOMLTKJHNFFBC68CA,坡道平面,1200000,35.96
RPQOMLTKJHNFFBC08CA,坡道平面,1050000,35.96
RPXOMLTKJHNFFBC78CA,坡道平面,1200000,35.96
RPWNMLRKJHNFFCC48CA,坡道平面,0,30.77
RPQNMLKKJHNFFCC17CA,坡道平面,1500000,15.87
RPTNMLQKJHNFFCC08CA,坡道平面,0,34.65
RPPNMLQKJHNFFCC67CA,坡道平面,0,
RPPOMLTJJHNFFCC97CA,坡道平面,0,
RPXNMLSJJHNFFBC48CA,坡道平面,0,
RPQNMLRJJHNFFBC67CA,坡道平面,600000,41.38
RPRNMLRJJHNFFBC77CA,坡道平面,600000,41.38
RPRNMLPKJHNFFBC67CA,升降機械,0,7.01
RPRNMLPKJHNFFBC67CA,升降機械,0,7.01
RPQNMLOKJHNFFBC47CA,坡道平面,0,
RPQNMLQKJHNFFBC67CA,坡道平面,0,
RPPNMLNKJHNFFBC27CA,坡道平面,0,
RPQNMLSLJHNFFBC97CA,坡道平面,850000,24.17
RPRNMLSLJHNFFBC08CA,坡道平面,0,24.17
RPUNMLLKJHNFFBC57CA,坡道平面,0,
RPSNMLSLJHNFFBC18CA,坡道平面,700000,21.86
RPTNMLSLJHNFFBC28CA,坡道平面,850000,24.17
RPVNMLSLJHNFFBC48CA,坡道平面,800000,24.17
RPUNMLSLJHNFFBC38CA,坡道平面,850000,24.17
RPOOMLSLJHNFFBC87CA,坡道平面,850000,24.17
RPWNMLSLJHNFFBC58CA,坡道平面,800000,24.17
