編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXOMLMJJHNFFCD38CC,4,83.56,見其他登記事項,鋼筋混凝土構造,102年10月23日,十二層,
RPOPMLOJJHNFFAD57CC,11,233.83,見其他登記事項,鋼筋混凝土構造,96年4月27日,四層,
RPQNMLRJJHNFFKD88CC,23,60.42,住家用,鋼筋混凝土造,84年5月11日,十四層,
RPQNMLRJJHNFFKD88CC,23,7.66,住家用,鋼筋混凝土造,84年5月11日,十四層,
RPQNMLRJJHNFFKD88CC,23,14.04,住家用,鋼筋混凝土造,84年5月11日,十四層,
RPQNMLRJJHNFFKD88CC,23,15.26,住家用,鋼筋混凝土造,84年5月11日,十四層,
RPQNMLRJJHNFFKD88CC,23,14.13,見其他登記事項,鋼筋混凝土造,84年5月11日,十四層,
RPSNMLNJJHNFFKD68CC,23,86.63,住家用,鋼筋混凝土造,84年5月23日,十六層,
RPSNMLNJJHNFFKD68CC,23,17.72,共有部分,鋼筋混凝土造,84年5月23日,十六層,
RPVOMLMJJHNFFCD18CC,31,1000.00,見其他登記事項,鋼筋混凝土構造,75年12月8日,三層,
RPVNMLNJJHNFFCD18CC,12,246.48,見其他登記事項,鋼筋混凝土構造,94年10月14日,四層,
RPVOMLMJJHNFFBD08CC,2,178.93,見其他登記事項,鋼筋混凝土造,104年12月16日,四層,
RPVOMLMJJHNFFBD08CC,2,32.03,見其他登記事項,鋼筋混凝土造,104年12月16日,四層,
RPXNMLKKJHNFFKD98CC,21,103.21,住家用,鋼筋混凝土造,85年7月29日,十三層,
RPXNMLKKJHNFFKD98CC,21,16.26,共有部分,鋼筋混凝土造,85年7月29日,十三層,
RPXNMLKKJHNFFKD98CC,21,33.75,共有部分,鋼筋混凝土造,85年7月29日,十三層,
RPTNMLOJJHNFFCD08CC,10,21.48,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPTNMLOJJHNFFCD08CC,10,5.30,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPTNMLOJJHNFFCD08CC,10,6.99,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPOOMLKKJHNFFBD27CC,7,330.62,住家用,鋼筋混凝土構造,100年6月13日,四層,
RPOOMLKKJHNFFBD27CC,7,.36,見其他登記事項,鋼筋混凝土構造,100年6月13日,一層,
RPSOMLKKJHNFFCD77CC,10,26.72,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPSOMLKKJHNFFCD77CC,10,6.62,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPSOMLKKJHNFFCD77CC,10,7.89,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
