編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLPJJHNFFAG08CA,36,26.35,住家用,鋼筋混凝土造,70年10月16日,十一層,七層
RPTNMLPJJHNFFAG08CA,36,8.70,見其他登記事項,鋼筋混凝土造,70年10月16日,十一層,
RPOOMLSKJHNFFAG08CA,,35.13,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,二層
RPOOMLSKJHNFFAG08CA,,12.57,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPXNMLTKJHNFFAG98CA,,43.87,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,四層
RPXNMLTKJHNFFAG98CA,,14.29,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPXOMLSKJHNFFAG98CA,,78.84,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,三層
RPXOMLSKJHNFFAG98CA,,39.20,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPUOMLMLJHNFFAG18CA,,75.88,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,六層
RPUOMLMLJHNFFAG18CA,,38.40,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPWOMLSKJHNFFAG88CA,,34.18,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,三層
RPWOMLSKJHNFFAG88CA,,12.29,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
SPXOMLSKJHNFFAG09CA,,36.63,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,三層
SPXOMLSKJHNFFAG09CA,,11.43,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPVOMLPJJHNFFAG38CA,11,207.22,農舍,鋼筋混凝土造,95年8月8日,二層,一層 二層
RPOOMLTKJHNFFAG18CA,,34.18,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,四層
RPOOMLTKJHNFFAG18CA,,12.29,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
RPWOMLMLJHNFFAG38CA,,36.63,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,三層
RPWOMLMLJHNFFAG38CA,,11.43,見其他登記事項,鋼筋混凝土造,106年9月8日,七層,
