╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧л╪░ъкF╕Ї12л╤1~30╕╣,29.35,жэ,,,1061101,дgжa1л╪кл1иожь0,д@╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0800119,114.07000000000001,3,2,1,ж│,╡L,4800000,42079,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPQNMLNJJHNFFAH67CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧жP╝wдQдG╡є361~390╕╣,38.22,жэ,,,1061101,дgжa1л╪кл1иожь2,дQе|╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030327,272.68,3,2,2,ж│,ж│,22000000,85299,йY╣Dенн▒,58.14,3700000,,RPQOMLOJJHNFFAH87CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧▓°дG╡є211~240╕╣,16.3,жэ,,,1050601,дgжa1л╪кл1иожь1,е|╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1060816,96.21000000000001,1,2,1,ж│,ж│,6880000,84863,йY╣Dенн▒,28.1,1100000,,RPSOMLPJJHNFFAH18CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧▓°дG╡є211~240╕╣,16.3,жэ,,,1060701,дgжa1л╪кл1иожь1,дE╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1060816,96.21000000000001,1,2,1,ж│,ж│,7100000,88093,йY╣Dенн▒,28.1,1100000,,RPTOMLPJJHNFFAH28CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дjж│╕Ї541~570╕╣,13.28,жэ,,,1061101,дgжa1л╪кл1иожь1,дQдC╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840419,134.42,4,2,2,ж│,ж│,5700000,42404,йY╣Dенн▒,0.0,0,,RPVNMLOKJHNFFAH38CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧лnен╕Ї571~600╕╣,43.04,жэ,,,1061101,дgжa1л╪кл1иожь2,дQдG╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1021025,280.88,3,2,2,ж│,ж│,22800000,84918,йY╣Dенн▒,54.78,3600000,,RPSPMLQKJHNFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧║╓▓M╡є1~30╕╣,55.0,жэ,,,1060101,дgжa3л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0610422,101.86,2,2,2,ж│,╡L,4200000,41233,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLQKJHNFFAH97CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖Oе·╡є91л╤1~30╕╣,19.26,жэ,,,1061201,дgжa1л╪кл1иожь1,е|╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1060123,143.47,2,2,2,ж│,ж│,8380000,69900,йY╣Dенн▒,48.62,1750000,,RPTQMLQKJHNFFAH68CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖Oдх╕Ї1~30╕╣,21.23,жэ,,,1061101,дgжa1л╪кл1иожь1,дQе|╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040427,156.98000000000002,3,2,2,ж│,ж│,10280000,71216,йY╣Dенн▒,35.8,1650000,,RPXQMLNLJHNFFAH88CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╖Oдх╕Ї31~60╕╣,22.86,жэ,,,1061001,дgжa1л╪кл1иожь1,е|╝h,дQдн╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040427,166.13,3,2,2,ж│,ж│,9880000,63147,йY╣Dенн▒,35.8,1650000,╕╙дг░╩▓гж@ж│дH╝╞2дH┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLPLJHNFFAH08CA
