編號,車位類別,車位價格,車位面積平方公尺
RPPPMLMJJHNFFAH87DB,坡道平面,1450000,29.99
RPRPMLMJJHNFFAH08DB,坡道平面,1650000,29.99
RPQPMLMJJHNFFAH97DB,坡道平面,1450000,29.99
RPSPMLMJJHNFFAH18DB,坡道平面,1750000,29.99
RPTPMLMJJHNFFAH28DB,坡道平面,1600000,28.17
RPXOMLMJJHNFFAH58DB,坡道平面,1600000,28.17
RPXOMLMJJHNFFAH58DB,坡道平面,1650000,29.99
RPVPMLMJJHNFFAH48DB,坡道平面,1650000,29.99
RPUPMLMJJHNFFAH38DB,坡道平面,1450000,29.99
RPWPMLMJJHNFFAH58DB,坡道平面,1450000,29.99
RPWOMLMJJHNFFAH48DB,坡道平面,1550000,29.99
RPXPMLMJJHNFFAH68DB,坡道平面,1650000,29.99
RPOQMLMJJHNFFAH87DB,坡道平面,1650000,29.99
