編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLMJJHNFFBJ78CC,10,156.84,商業用,鋼筋混凝土造,96年11月9日,十二層,
RPWOMLMJJHNFFBJ78CC,10,219.63,共用部分,鋼筋混凝土造,96年11月9日,十二層,
RPUPMLMJJHNFFBJ68CC,7,66.96,住家用,鋼筋混凝土造,99年12月14日,十五層,
RPUPMLMJJHNFFBJ68CC,7,45.48,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPUPMLMJJHNFFBJ68CC,7,18.33,見其他登記事項,鋼筋混凝土造,99年12月14日,十五層,
RPWOMLMJJHNFFDJ98CC,5,70.12,住家用,鋼筋混凝土造,102年6月5日,五層,
RPWOMLMJJHNFFDJ98CC,5,17.93,見其他登記事項,鋼筋混凝土造,102年6月5日,五層,
RPWOMLMJJHNFFDJ98CC,5,6.70,見其他登記事項,鋼筋混凝土造,102年6月5日,五層,
RPVPMLMJJHNFFBJ78CC,9,33.40,商業用,鋼筋混凝土造,97年9月15日,十六層,
RPVPMLMJJHNFFBJ78CC,9,4.82,共用部分,鋼筋混凝土造,97年9月15日,十六層,
RPVPMLMJJHNFFBJ78CC,9,2.05,共用部分,鋼筋混凝土造,97年9月15日,十六層,
RPVPMLMJJHNFFBJ78CC,9,10.08,共用部分,鋼筋混凝土造,97年9月15日,十六層,
RPOOMLOJJHNFFBJ18CC,8,168.70,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPOOMLOJJHNFFBJ18CC,8,70.44,共用部分,鋼筋混凝土造,99年1月6日,二十層,
RPOOMLOJJHNFFBJ18CC,8,15.27,共用部分,鋼筋混凝土造,99年1月6日,二十層,
RPOOMLOJJHNFFBJ18CC,8,199.58,共用部分,鋼筋混凝土造,99年1月6日,二十三層,
RPOOMLOJJHNFFBJ18CC,8,95.94,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPPPMLMJJHNFFBJ18CC,9,41.03,商業用,鋼筋混凝土造,98年1月21日,九層,
RPPPMLMJJHNFFBJ18CC,9,4.62,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPPPMLMJJHNFFBJ18CC,9,13.34,共用部分,鋼筋混凝土造,98年1月21日,九層,
RPQPMLMJJHNFFBJ28CC,24,99.76,住家用,鋼筋混凝土造,83年5月4日,六層,
RPQPMLMJJHNFFBJ28CC,24,13.36,共用部分,鋼筋混凝土造,83年5月4日,六層,
RPQPMLMJJHNFFBJ28CC,24,23.28,共用部分,鋼筋混凝土造,83年5月4日,七層,
RPRNMLPJJHNFFBJ48CC,8,168.70,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPRNMLPJJHNFFBJ48CC,8,70.44,共有部份,鋼筋混凝土造,99年1月6日,二十層,
RPRNMLPJJHNFFBJ48CC,8,15.27,共有部份,鋼筋混凝土造,99年1月6日,二十層,
RPRNMLPJJHNFFBJ48CC,8,199.58,共有部份,鋼筋混凝土造,99年1月6日,二十三層,
RPRNMLPJJHNFFBJ48CC,8,95.94,商業用,鋼筋混凝土造,99年1月6日,二十層,
RPPNMLKKJHNFFBJ87CC,8,140.57,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPPNMLKKJHNFFBJ87CC,8,79.11,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPPOMLPJJHNFFBJ38CC,,368.44,見其他登記事項,見其他登記事項,106年9月1日,二十層,
RPPOMLPJJHNFFBJ38CC,,119.80,見其他登記事項,見其他登記事項,106年9月1日,二十層,
RPPOMLPJJHNFFBJ38CC,,27.53,見其他登記事項,見其他登記事項,106年9月1日,二十層,
RPPOMLPJJHNFFBJ38CC,,3.14,見其他登記事項,見其他登記事項,106年9月1日,二十層,
RPPOMLPJJHNFFBJ38CC,,80.57,見其他登記事項,見其他登記事項,106年9月1日,二十層,
RPWPMLMJJHNFFBJ88CC,2,72.54,住家用,鋼筋混凝土造,105年6月6日,十四層,
RPWPMLMJJHNFFBJ88CC,2,51.37,見其他登記事項,鋼筋混凝土造,105年6月6日,十四層,
RPWPMLMJJHNFFBJ88CC,2,11.53,見其他登記事項,鋼筋混凝土造,105年6月6日,十四層,
RPTOMLMJJHNFFBJ48CC,13,195.98,住家用,鋼筋混凝土造,94年1月11日,二十一層,
RPTOMLMJJHNFFBJ48CC,13,45.06,共用部分,鋼筋混凝土造,94年1月11日,二十一層,
RPRPMLMJJHNFFBJ38CC,3,99.47,住家用,鋼筋混凝土造,103年11月21日,十層,
RPTOMLMJJHNFFBJ48CC,13,22.05,共用部分,鋼筋混凝土造,94年1月11日,二十一層,
RPRPMLMJJHNFFBJ38CC,3,57.60,見其他登記事項,鋼筋混凝土造,103年11月21日,十層,
RPRPMLMJJHNFFBJ38CC,3,11.16,見其他登記事項,鋼筋混凝土造,103年11月21日,十層,
