編號,車位類別,車位價格,車位面積平方公尺
RPWOMLMJJHNFFBJ78CC,坡道平面,0,
RPWOMLMJJHNFFBJ78CC,坡道平面,0,
RPUPMLMJJHNFFBJ68CC,坡道平面,0,
RPWOMLMJJHNFFDJ98CC,升降機械,0,
RPOOMLOJJHNFFBJ18CC,坡道平面,0,30.77
RPOOMLOJJHNFFBJ18CC,坡道平面,0,35.69
RPOOMLOJJHNFFBJ18CC,坡道平面,0,35.69
RPOOMLOJJHNFFBJ18CC,坡道平面,0,35.69
RPOOMLOJJHNFFBJ18CC,坡道平面,0,30.77
RPPPMLMJJHNFFBJ18CC,坡道平面,0,
RPQPMLMJJHNFFBJ28CC,坡道機械,0,
RPRNMLPJJHNFFBJ48CC,坡道平面,0,35.69
RPRNMLPJJHNFFBJ48CC,坡道平面,0,30.77
RPRNMLPJJHNFFBJ48CC,坡道平面,0,35.69
RPRNMLPJJHNFFBJ48CC,坡道平面,0,35.69
RPRNMLPJJHNFFBJ48CC,坡道平面,0,30.77
RPWPMLMJJHNFFBJ88CC,坡道平面,0,
RPTOMLMJJHNFFBJ48CC,坡道平面,0,
RPTOMLMJJHNFFBJ48CC,坡道平面,0,
RPRPMLMJJHNFFBJ38CC,坡道平面,0,
