編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLSJJHNFFBK88CA,,190.36,住家用,鋼筋混凝土造,106年9月22日,三層,一層 二層 三層 屋頂突出物
RPPNMLPJJHNFFBK18CA,21,18.88,住家用,鋼筋混凝土造,85年10月30日,五層,四層
RPPNMLPJJHNFFBK18CA,22,6.67,住家用,鋼筋混凝土造,85年1月30日,五層,
RPQNMLOJJHNFFCK28CA,25,265.65,農舍,見其他登記事項,82年5月24日,1,一層
RPSNMLSJJHNFFBK78CA,,179.51,住家用,鋼筋混凝土造,106年9月22日,三層,一層 二層 三層 屋頂突出物
RPPNMLTJJHNFFBK58CA,22,91.48,住家用,鋼筋混凝土造,84年11月1日,六層,四層
RPPNMLTJJHNFFBK58CA,22,36.26,見其他登記事項,鋼筋混凝土造,84年11月1日,六層,
RPUNMLOLJHNFFBK78CA,,336.47,住家用,鋼筋混凝土造,106年5月11日,三層,一層 二層 三層 屋頂突出物
RPOOMLPJJHNFFCK28CA,1,170.55,住家用,鋼筋混凝土造,105年12月26日,三層,一層 二層 三層
RPPOMLPJJHNFFCK38CA,22,103.10,住家用,鋼筋混凝土造,84年3月30日,七層,三層
RPPOMLPJJHNFFCK38CA,22,33.39,共用部份,鋼筋混凝土造,84年3月30日,七層,
RPVNMLPJJHNFFCK88CA,,96.82,住家用,加強磚造,,二層,一層 二層 電梯樓梯間
RPQNMLOJJHNFFDK38CA,4,208.98,住商用,鋼筋混凝土造,102年9月30日,三層,一層 二層 三層 騎樓 見其他登記事項
RPOPMLTJJHNFFDK88CA,,59.94,見其他登記事項,鋼筋混凝土造,106年10月19日,七層,四層
RPOPMLTJJHNFFDK88CA,,20.70,共有部分,鋼筋混凝土造,106年10月19日,七層,
RPPOMLPLJHNFFDK68CA,24,187.71,住家用,鋼筋混凝土造,82年10月2日,三層,一層 二層 三層
RPPNMLRKJHNFFDK68CA,1,266.94,見其他登記事項,鋼筋混凝土造,105年7月22日,五層,一層 二層 三層 四層 五層
RPPNMLLKJHNFFDK08CA,2,204.94,見其他登記事項,鋼筋混凝土造,104年12月11日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLPKJHNFFDK98CA,6,235.27,見其他登記事項,鋼筋混凝土造,100年12月2日,三層,一層 二層 三層 地下一層
RPUNMLPKJHNFFDK98CA,6,21.57,見其他登記事項,鋼筋混凝土造,100年12月2日,三層,
RPRNMLMJJHNFFFK48CA,20,87.59,住家用,鋼筋混凝土造,86年8月27日,七層,二層
RPRNMLMJJHNFFFK48CA,20,14.62,見其他登記事項,鋼筋混凝土造,86年8月27日,,
RPRNMLMJJHNFFFK48CA,20,13.74,見其他登記事項,鋼筋混凝土造,86年8月27日,,
RPQNMLMJJHNFFFK38CA,21,82.94,住家用,鋼筋混凝土造,86年1月29日,九層,九層
RPQNMLMJJHNFFFK38CA,21,16.90,見其他登記事項,鋼筋混凝土造,86年1月29日,,
RPQNMLMJJHNFFFK38CA,21,2.82,見其他登記事項,鋼筋混凝土造,86年1月29日,九層,
RPQNMLMJJHNFFFK38CA,21,38.56,見其他登記事項,鋼筋混凝土造,86年1月29日,,
RPQNMLMJJHNFFFK38CA,21,3.94,見其他登記事項,鋼筋混凝土造,86年1月29日,,
RPPNMLNJJHNFFFK38CA,1,47.86,見其他登記事項,鋼筋混凝土造,105年8月16日,五層,一層
RPPNMLNJJHNFFFK38CA,1,23.38,見其他登記事項,鋼筋混凝土造,105年8月16日,五層,
RPWNMLNJJHNFFFK09CA,,87.97,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,三層
RPWNMLNJJHNFFFK09CA,,19.80,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPWNMLNJJHNFFFK09CA,,52.99,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPXNMLNJJHNFFFK56CA,,64.12,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,五層
RPXNMLNJJHNFFFK56CA,,14.93,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPXNMLNJJHNFFFK56CA,,48.32,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPSNMLMJJHNFFFK58CA,5,78.04,住家用,見其他登記事項,102年5月6日,五層,四層
RPSNMLMJJHNFFFK58CA,5,10.28,見其他登記事項,見其他登記事項,102年5月6日,五層,
RPOOMLNJJHNFFFK38CA,,76.61,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,四層
RPOOMLNJJHNFFFK38CA,,18.83,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPOOMLNJJHNFFFK38CA,,52.14,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPPOMLNJJHNFFFK48CA,,76.61,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,六層
RPPOMLNJJHNFFFK48CA,,18.83,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPPOMLNJJHNFFFK48CA,,52.14,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPQNMLOJJHNFFFK58CA,,116.16,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,七層
RPQNMLOJJHNFFFK58CA,,27.30,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPQNMLOJJHNFFFK58CA,,128.02,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPQOMLNJJHNFFFK58CA,,96.99,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,五層
RPQOMLNJJHNFFFK58CA,,22.35,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPQOMLNJJHNFFFK58CA,,55.53,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPVNMLNJJHNFFFK98CA,,90.83,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,九層
RPVNMLNJJHNFFFK98CA,,20.93,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPVNMLNJJHNFFFK98CA,,54.05,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPSNMLOJJHNFFFK78CA,,96.99,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,五層
RPSNMLOJJHNFFFK78CA,,22.35,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPSNMLOJJHNFFFK78CA,,55.53,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPTNMLOJJHNFFFK88CA,,96.99,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,十三層
RPRNMLOJJHNFFFK68CA,,116.16,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,十二層
