編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOJJHNFFAU56CC,40,53.38,住家用,鋼筋混凝土加強磚造,66年7月11日,一層,
RPRNMLOJJHNFFAU76CC,1,78.45,住家用,鋼筋混凝土造,105年7月11日,四層,
RPQNMLOJJHNFFAU66CC,43,75.36,住家用,鋼筋混凝土加強磚造,63年12月16日,二層,
RPUNMLOJJHNFFAU07CC,33,53.76,住商用,鋼筋混凝土造,73年12月26日,三層,
RPVNMLOJJHNFFAU17CC,32,132.57,住商用,鋼筋混凝土造,75年4月2日,五層,
RPVNMLOJJHNFFAU17CC,32,9.46,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPWNMLOJJHNFFAU27CC,22,33.90,住家用,鋼筋混凝土造,84年7月10日,五層,
RPWNMLOJJHNFFAU27CC,22,8.54,共有部份,鋼筋混凝土造,84年7月1日,五層,
RPPOMLOJJHNFFAU66CC,21,230.46,住商用,鋼筋混凝土造,85年8月6日,四層,
RPTNMLOJJHNFFAU96CC,24,55.06,住家用,鋼筋混凝土造,83年3月15日,十二層,
RPTNMLOJJHNFFAU96CC,24,14.17,共有部份,鋼筋混凝土造,83年3月15日,十二層,
RPXNMLOJJHNFFAU37CC,23,36.62,住家用,鋼筋混凝土造,83年8月11日,八層,
RPXNMLOJJHNFFAU37CC,23,14.78,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPSOMLOJJHNFFAU96CC,40,61.50,住家用,見其他登記事項,66年9月5日,一層,
RPTOMLOJJHNFFAU07CC,22,28.30,住家用,鋼筋混凝土造,84年8月25日,七層,
RPTOMLOJJHNFFAU07CC,22,14.18,共有部份,鋼筋混凝土造,84年8月25日,七層,
RPVOMLOJJHNFFAU27CC,19,214.01,住家用,鋼筋混凝土造,88年2月1日,四層,
RPTNMLSJJHNFFAU47DC,40,35.71,住家用,鋼筋混凝土加強磚造,67年4月11日,一層,
RPPQMLOJJHNFFAU86CC,36,79.05,住家用,鋼筋混凝土加強磚造,70年11月20日,二層,
RPPPMLOJJHNFFAU76CC,23,110.30,住家用,鋼筋混凝土造,83年10月6日,七層,
RPPPMLOJJHNFFAU76CC,23,44.65,共有部份,鋼筋混凝土造,83年10月6日,七層,
RPTPMLOJJHNFFAU17CC,32,113.59,住家用,鋼筋混凝土造,75年2月3日,二層,
RPRQMLOJJHNFFAU07CC,3,30.00,住家用,鋼筋混凝土造,104年6月2日,四層,
RPUNMLSJJHNFFAU57DC,37,117.93,住家用,鋼筋混凝土造,70年2月2日,二層,
RPWQMLOJJHNFFAU57CC,17,104.12,住家用,鋼筋混凝土造,89年8月7日,十層,
RPWQMLOJJHNFFAU57CC,17,26.90,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPWQMLOJJHNFFAU57CC,17,.89,共有部份,鋼筋混凝土造,89年8月7日,十五層,
RPWQMLOJJHNFFAU57CC,17,15.82,共有部份,鋼筋混凝土造,89年8月7日,十層,
